parameter,item1,item2,value,prob,MCMCprob
couch,branching,artifact,whereIsThing?,4.05497231663519e-8,0.0010000000000000002
couch,branching,artifact,whereIsSeat?,4.055210134281709e-8,0.0010000000000000002
couch,branching,artifact,whereIsFurniture?,4.785571143406814e-8,0.0010000000000000002
couch,branching,artifact,whereIsCouch?,0.9999998710424632,0.0010000000000000002
chair,branching,artifact,whereIsThing?,4.054698455813507e-8,0.0010000000000000002
chair,branching,artifact,whereIsSeat?,0.9999998783378178,0.0010000000000000002
chair,branching,artifact,whereIsFurniture?,4.0595253893598714e-8,0.0010000000000000002
chair,branching,artifact,whereIsCouch?,4.0519943104335176e-8,0.0010000000000000002
table,branching,artifact,whereIsThing?,0.000027257286228669994,0.0010000000000000002
table,branching,artifact,whereIsSeat?,4.7983500071811064e-8,0.0010000000000000002
table,branching,artifact,whereIsFurniture?,0.9999726467088303,0.0010000000000000002
table,branching,artifact,whereIsCouch?,4.8021440037711606e-8,0.0010000000000000002
lawnmower,branching,artifact,whereIsThing?,0.9999308723730039,0.0010000000000000002
lawnmower,branching,artifact,whereIsSeat?,0.000023029993366836667,0.0010000000000000002
lawnmower,branching,artifact,whereIsFurniture?,0.000023067572162397113,0.0010000000000000002
lawnmower,branching,artifact,whereIsCouch?,0.0000230300614661344,0.0010000000000000002
dalmatian,branching,animals,whereIsPet?,4.902989841933634e-8,0.0010000000000000002
dalmatian,branching,animals,whereIsDog?,8.405495726311098e-8,0.0010000000000000002
dalmatian,branching,animals,whereIsDalmatian?,0.9999998179126971,0.0010000000000000002
dalmatian,branching,animals,whereIsAnimal?,4.900244728948702e-8,0.0010000000000000002
poodle,branching,animals,whereIsPet?,0.000007851448268779684,0.0010000000000000002
poodle,branching,animals,whereIsDog?,0.9999917692565296,0.0010000000000000002
poodle,branching,animals,whereIsDalmatian?,9.70969353442887e-8,0.0010000000000000002
poodle,branching,animals,whereIsAnimal?,2.8219826463511984e-7,0.0010000000000000002
siamese cat,branching,animals,whereIsPet?,0.9999629593625675,0.0010000000000000002
siamese cat,branching,animals,whereIsDog?,0.000003893864398414966,0.0010000000000000002
siamese cat,branching,animals,whereIsDalmatian?,0.000003842085118890676,0.0010000000000000002
siamese cat,branching,animals,whereIsAnimal?,0.000029304687914455647,0.0010000000000000002
whale,branching,animals,whereIsPet?,0.000001052720457644352,0.0010000000000000002
whale,branching,animals,whereIsDog?,0.0000012381326106060694,0.0010000000000000002
whale,branching,animals,whereIsDalmatian?,0.0000010862638262407786,0.0010000000000000002
whale,branching,animals,whereIsAnimal?,0.9999966228831066,0.0010000000000000002
cottage,branching,places,whereIsPlace?,4.355413784910302e-8,0.0010000000000000002
cottage,branching,places,whereIsMansion?,4.3467956999856394e-8,0.0010000000000000002
cottage,branching,places,whereIsHouse?,0.9999998694908868,0.0010000000000000002
cottage,branching,places,whereIsBuilding?,4.3487020362614524e-8,0.0010000000000000002
mansion,branching,places,whereIsPlace?,4.3483035106927806e-8,0.0010000000000000002
mansion,branching,places,whereIsMansion?,0.9999998695869948,0.0010000000000000002
mansion,branching,places,whereIsHouse?,4.346640435721109e-8,0.0010000000000000002
mansion,branching,places,whereIsBuilding?,4.346356473495795e-8,0.0010000000000000002
office,branching,places,whereIsPlace?,4.368583637700635e-8,0.0010000000000000002
office,branching,places,whereIsMansion?,4.348557171375816e-8,0.0010000000000000002
office,branching,places,whereIsHouse?,4.348557236022904e-8,0.0010000000000000002
office,branching,places,whereIsBuilding?,0.9999998693430193,0.0010000000000000002
park,branching,places,whereIsPlace?,0.9999998686857852,0.0010000000000000002
park,branching,places,whereIsMansion?,4.3769895819854086e-8,0.0010000000000000002
park,branching,places,whereIsHouse?,4.3771458656858614e-8,0.0010000000000000002
park,branching,places,whereIsBuilding?,4.377286083269202e-8,0.0010000000000000002
carrot,branching,plants,whereIsPlant?,7.440474098932582e-8,0.0010000000000000002
carrot,branching,plants,whereIsLiving plant?,7.440477726112828e-8,0.0010000000000000002
carrot,branching,plants,whereIsFood?,7.45055314056367e-8,0.0010000000000000002
carrot,branching,plants,whereIsCarrot?,0.9999997766849519,0.0010000000000000002
dead flower,branching,plants,whereIsPlant?,0.990296562016514,0.0010000000000000002
dead flower,branching,plants,whereIsLiving plant?,0.0011660054543959227,0.0010000000000000002
dead flower,branching,plants,whereIsFood?,0.008114098734912038,0.0010000000000000002
dead flower,branching,plants,whereIsCarrot?,0.00042333379417745646,0.0010000000000000002
tomatos,branching,plants,whereIsPlant?,0.0000019097965161792334,0.0010000000000000002
tomatos,branching,plants,whereIsLiving plant?,0.0753986430545362,0.0010000000000000002
tomatos,branching,plants,whereIsFood?,0.9245980611310168,0.0010000000000000002
tomatos,branching,plants,whereIsCarrot?,0.0000013860179319318032,0.0010000000000000002
sunflower,branching,plants,whereIsPlant?,0.9784698098494683,0.0010000000000000002
sunflower,branching,plants,whereIsLiving plant?,0.021049194188903525,0.0010000000000000002
sunflower,branching,plants,whereIsFood?,0.0002463307473760006,0.0010000000000000002
sunflower,branching,plants,whereIsCarrot?,0.00023466521425395936,0.0010000000000000002
iron skillet,overlapping,artifact,whereIsThing?,3.3155530094060585e-8,0.0010000000000000002
iron skillet,overlapping,artifact,whereIsSkillet?,0.9999998918308061,0.0010000000000000002
