parameter,item1,item2,value,prob,MCMCprob
couch,branching,artifact,thing,0.00036696701490141154,0.0009999999999999994
couch,branching,artifact,seat,0.004059880961571203,0.0009999999999999994
couch,branching,artifact,furniture,0.002961732454128553,0.0009999999999999994
couch,branching,artifact,couch,0.9926114195693992,0.0009999999999999994
chair,branching,artifact,thing,0.035766621568903145,0.0009999999999999994
chair,branching,artifact,seat,0.8964809156505202,0.0009999999999999994
chair,branching,artifact,furniture,0.06408576528938696,0.0009999999999999994
chair,branching,artifact,couch,0.003666697491189805,0.0009999999999999994
table,branching,artifact,thing,0.33776947072141006,0.0009999999999999994
table,branching,artifact,seat,0.03127341411455453,0.0009999999999999994
table,branching,artifact,furniture,0.5996837010494809,0.0009999999999999994
table,branching,artifact,couch,0.03127341411455453,0.0009999999999999994
lawnmower,branching,artifact,thing,0.8953779236843661,0.0009999999999999994
lawnmower,branching,artifact,seat,0.03487402543854457,0.0009999999999999994
lawnmower,branching,artifact,furniture,0.03487402543854457,0.0009999999999999994
lawnmower,branching,artifact,couch,0.03487402543854457,0.0009999999999999994
dalmatian,branching,animals,pet,0.00165897647081749,0.0009999999999999994
dalmatian,branching,animals,dog,0.012969042540155651,0.0009999999999999994
dalmatian,branching,animals,dalmatian,0.9846292760329277,0.0009999999999999994
dalmatian,branching,animals,animal,0.0007427049560988656,0.0009999999999999994
poodle,branching,animals,pet,0.18618878237439704,0.0009999999999999994
poodle,branching,animals,dog,0.7206918493166371,0.0009999999999999994
poodle,branching,animals,dalmatian,0.009492591251997614,0.0009999999999999994
poodle,branching,animals,animal,0.0836267770569683,0.0009999999999999994
siamese cat,branching,animals,pet,0.6747855562536407,0.0009999999999999994
siamese cat,branching,animals,dog,0.022299852528005547,0.0009999999999999994
siamese cat,branching,animals,dalmatian,0.022299852528005547,0.0009999999999999994
siamese cat,branching,animals,animal,0.2806147386903489,0.0009999999999999994
whale,branching,animals,pet,0.06685031235343655,0.0009999999999999994
whale,branching,animals,dog,0.06685031235343655,0.0009999999999999994
whale,branching,animals,dalmatian,0.06685031235343655,0.0009999999999999994
whale,branching,animals,animal,0.7994490629396906,0.0009999999999999994
cottage,branching,places,place,0.038792523869833576,0.0009999999999999994
cottage,branching,places,mansion,0.0038438663869756976,0.0009999999999999994
cottage,branching,places,house,0.8947660172197685,0.0009999999999999994
cottage,branching,places,building,0.06259759252342291,0.0009999999999999994
mansion,branching,places,place,0.0008162041170059598,0.0009999999999999994
mansion,branching,places,mansion,0.9939331127081097,0.0009999999999999994
mansion,branching,places,house,0.0042698828624628486,0.0009999999999999994
mansion,branching,places,building,0.0009808003124227764,0.0009999999999999994
office,branching,places,place,0.14255163759597744,0.0009999999999999994
office,branching,places,mansion,0.013350030139092297,0.0009999999999999994
office,branching,places,house,0.013350030139092297,0.0009999999999999994
office,branching,places,building,0.8307483021258375,0.0009999999999999994
park,branching,places,place,0.7902136903147036,0.0009999999999999994
park,branching,places,mansion,0.06992876989509877,0.0009999999999999994
park,branching,places,house,0.06992876989509877,0.0009999999999999994
park,branching,places,building,0.06992876989509877,0.0009999999999999994
carrot,branching,plants,plant,0.00040228854451295127,0.0009999999999999994
carrot,branching,plants,living plant,0.0007590954509908067,0.0009999999999999994
carrot,branching,plants,food,0.005610878113303268,0.0009999999999999994
carrot,branching,plants,carrot,0.9932277378911928,0.0009999999999999994
dead flower,branching,plants,plant,0.7542846571354342,0.0009999999999999994
dead flower,branching,plants,living plant,0.08387600918354245,0.0009999999999999994
dead flower,branching,plants,food,0.08284002149897066,0.0009999999999999994
dead flower,branching,plants,carrot,0.07899931218205254,0.0009999999999999994
tomatos,branching,plants,plant,0.07387781210659825,0.0009999999999999994
tomatos,branching,plants,living plant,0.21655902018674833,0.0009999999999999994
tomatos,branching,plants,food,0.7053846246955239,0.0009999999999999994
tomatos,branching,plants,carrot,0.004178543011129778,0.0009999999999999994
sunflower,branching,plants,plant,0.3619800827871696,0.0009999999999999994
