parameter,value,MCMCprob
alpha,10,1.4069618846582176e-121
beta,1,1.4069618846582176e-121
expPragFlip,false,1.4069618846582176e-121
alpha,10,1.3416021443012656e-29
beta,1,1.3416021443012656e-29
expPragFlip,true,1.3416021443012656e-29
alpha,10,1.8065118414039514e-108
beta,0.975,1.8065118414039514e-108
expPragFlip,false,1.8065118414039514e-108
alpha,10,1.2776306406112575e-27
beta,0.975,1.2776306406112575e-27
expPragFlip,true,1.2776306406112575e-27
alpha,10,6.615624976023835e-106
beta,0.95,6.615624976023835e-106
expPragFlip,false,6.615624976023835e-106
alpha,10,9.976081264252008e-26
beta,0.95,9.976081264252008e-26
expPragFlip,true,9.976081264252008e-26
alpha,10,4.588652899395171e-104
beta,0.925,4.588652899395171e-104
expPragFlip,false,4.588652899395171e-104
alpha,10,6.413075568573065e-24
beta,0.925,6.413075568573065e-24
expPragFlip,true,6.413075568573065e-24
alpha,10,1.2746126380537682e-102
beta,0.9,1.2746126380537682e-102
expPragFlip,false,1.2746126380537682e-102
alpha,10,3.402321944718431e-22
beta,0.9,3.402321944718431e-22
expPragFlip,true,3.402321944718431e-22
alpha,10,1.8439761944362165e-101
beta,0.875,1.8439761944362165e-101
expPragFlip,false,1.8439761944362165e-101
alpha,10,1.4908709678660038e-20
beta,0.875,1.4908709678660038e-20
expPragFlip,true,1.4908709678660038e-20
alpha,10,1.5866016264474268e-100
beta,0.85,1.5866016264474268e-100
expPragFlip,false,1.5866016264474268e-100
alpha,10,5.392240609427103e-19
beta,0.85,5.392240609427103e-19
expPragFlip,true,5.392240609427103e-19
alpha,10,8.800293801845606e-100
beta,0.825,8.800293801845606e-100
expPragFlip,false,8.800293801845606e-100
alpha,10,1.6065809734638825e-17
beta,0.825,1.6065809734638825e-17
expPragFlip,true,1.6065809734638825e-17
alpha,10,3.3227340043784998e-99
beta,0.8,3.3227340043784998e-99
expPragFlip,false,3.3227340043784998e-99
alpha,10,3.9309784684823894e-16
beta,0.8,3.9309784684823894e-16
expPragFlip,true,3.9309784684823894e-16
alpha,10,8.883835055395135e-99
beta,0.775,8.883835055395135e-99
expPragFlip,false,8.883835055395135e-99
alpha,10,7.867644256524337e-15
beta,0.775,7.867644256524337e-15
expPragFlip,true,7.867644256524337e-15
alpha,10,1.7330698554897673e-98
beta,0.75,1.7330698554897673e-98
expPragFlip,false,1.7330698554897673e-98
alpha,10,1.282150973624582e-13
beta,0.75,1.282150973624582e-13
expPragFlip,true,1.282150973624582e-13
alpha,10,2.5253875653316936e-98
beta,0.725,2.5253875653316936e-98
expPragFlip,false,2.5253875653316936e-98
alpha,10,1.6928125361543999e-12
beta,0.725,1.6928125361543999e-12
expPragFlip,true,1.6928125361543999e-12
alpha,10,2.800859063469997e-98
beta,0.7,2.800859063469997e-98
expPragFlip,false,2.800859063469997e-98
alpha,10,1.8012946114869294e-11
beta,0.7,1.8012946114869294e-11
expPragFlip,true,1.8012946114869294e-11
alpha,10,2.4006681692741834e-98
beta,0.675,2.4006681692741834e-98
expPragFlip,false,2.4006681692741834e-98
alpha,10,1.5366421341485515e-10
beta,0.675,1.5366421341485515e-10
expPragFlip,true,1.5366421341485515e-10
alpha,10,1.6102198910532555e-98
beta,0.65,1.6102198910532555e-98
expPragFlip,false,1.6102198910532555e-98
alpha,10,1.0454507721905902e-9
beta,0.65,1.0454507721905902e-9
expPragFlip,true,1.0454507721905902e-9
alpha,10,8.539397806150048e-99
beta,0.625,8.539397806150048e-99
expPragFlip,false,8.539397806150048e-99
alpha,10,5.643708450400782e-9
beta,0.625,5.643708450400782e-9
expPragFlip,true,5.643708450400782e-9
alpha,10,3.6111477383462475e-99
beta,0.6,3.6111477383462475e-99
expPragFlip,false,3.6111477383462475e-99
alpha,10,2.405562519561026e-8
beta,0.6,2.405562519561026e-8
expPragFlip,true,2.405562519561026e-8
alpha,10,1.2261936371661513e-99
beta,0.575,1.2261936371661513e-99
expPragFlip,false,1.2261936371661513e-99
alpha,10,8.057542356692767e-8
beta,0.575,8.057542356692767e-8
expPragFlip,true,8.057542356692767e-8
alpha,10,3.36211346093049e-100
beta,0.55,3.36211346093049e-100
expPragFlip,false,3.36211346093049e-100
alpha,10,2.1113080156462124e-7
beta,0.55,2.1113080156462124e-7
expPragFlip,true,2.1113080156462124e-7
alpha,10,7.477224403935326e-101
beta,0.525,7.477224403935326e-101
expPragFlip,false,7.477224403935326e-101
alpha,10,4.3090781330883006e-7
beta,0.525,4.3090781330883006e-7
expPragFlip,true,4.3090781330883006e-7
alpha,10,1.3533799773138841e-101
beta,0.5,1.3533799773138841e-101
expPragFlip,false,1.3533799773138841e-101
alpha,10,6.822135821234427e-7
beta,0.5,6.822135821234427e-7
expPragFlip,true,6.822135821234427e-7
alpha,10,1.9984977745049546e-102
beta,0.475,1.9984977745049546e-102
expPragFlip,false,1.9984977745049546e-102
alpha,10,8.34614088340788e-7
beta,0.475,8.34614088340788e-7
expPragFlip,true,8.34614088340788e-7
alpha,10,2.4112685293986527e-103
beta,0.45,2.4112685293986527e-103
expPragFlip,false,2.4112685293986527e-103
alpha,10,7.861740374207465e-7
beta,0.45,7.861740374207465e-7
expPragFlip,true,7.861740374207465e-7
alpha,10,2.3785445623836576e-104
beta,0.425,2.3785445623836576e-104
expPragFlip,false,2.3785445623836576e-104
alpha,10,5.682883337881993e-7
beta,0.425,5.682883337881993e-7
expPragFlip,true,5.682883337881993e-7
alpha,10,1.9176997776265463e-105
beta,0.4,1.9176997776265463e-105
expPragFlip,false,1.9176997776265463e-105
alpha,10,3.1425765364165935e-7
beta,0.4,3.1425765364165935e-7
expPragFlip,true,3.1425765364165935e-7
alpha,10,1.2622269299596436e-106
beta,0.375,1.2622269299596436e-106
expPragFlip,false,1.2622269299596436e-106
alpha,10,1.325560109234941e-7
beta,0.375,1.325560109234941e-7
expPragFlip,true,1.325560109234941e-7
alpha,10,6.767784367837341e-108
beta,0.35,6.767784367837341e-108
expPragFlip,false,6.767784367837341e-108
alpha,10,4.252918163592097e-8
beta,0.35,4.252918163592097e-8
expPragFlip,true,4.252918163592097e-8
alpha,10,2.946547870138337e-109
beta,0.325,2.946547870138337e-109
expPragFlip,false,2.946547870138337e-109
alpha,10,1.0349892327023855e-8
beta,0.325,1.0349892327023855e-8
expPragFlip,true,1.0349892327023855e-8
alpha,10,1.0371045566519508e-110
beta,0.3,1.0371045566519508e-110
expPragFlip,false,1.0371045566519508e-110
alpha,10,1.9050161539412527e-9
beta,0.3,1.9050161539412527e-9
expPragFlip,true,1.9050161539412527e-9
alpha,10,2.9338748483138614e-112
beta,0.275,2.9338748483138614e-112
expPragFlip,false,2.9338748483138614e-112
alpha,10,2.643904391119195e-10
beta,0.275,2.643904391119195e-10
expPragFlip,true,2.643904391119195e-10
alpha,10,6.620321574173156e-114
beta,0.25,6.620321574173156e-114
expPragFlip,false,6.620321574173156e-114
alpha,10,2.7574693502286065e-11
beta,0.25,2.7574693502286065e-11
expPragFlip,true,2.7574693502286065e-11
alpha,10,1.17994912465186e-115
beta,0.225,1.17994912465186e-115
expPragFlip,false,1.17994912465186e-115
alpha,10,2.1529137148726017e-12
beta,0.225,2.1529137148726017e-12
expPragFlip,true,2.1529137148726017e-12
alpha,10,1.639801550750691e-117
beta,0.2,1.639801550750691e-117
expPragFlip,false,1.639801550750691e-117
alpha,10,1.2526982847336267e-13
beta,0.2,1.2526982847336267e-13
expPragFlip,true,1.2526982847336267e-13
alpha,10,1.7464084508742872e-119
beta,0.175,1.7464084508742872e-119
expPragFlip,false,1.7464084508742872e-119
alpha,10,5.403079713597072e-15
beta,0.175,5.403079713597072e-15
expPragFlip,true,5.403079713597072e-15
alpha,10,1.3914462007252322e-121
beta,0.15,1.3914462007252322e-121
expPragFlip,false,1.3914462007252322e-121
alpha,10,1.716219259180131e-16
beta,0.15,1.716219259180131e-16
expPragFlip,true,1.716219259180131e-16
alpha,10,8.005499145088846e-124
beta,0.125,8.005499145088846e-124
expPragFlip,false,8.005499145088846e-124
alpha,10,3.982345577574046e-18
beta,0.125,3.982345577574046e-18
expPragFlip,true,3.982345577574046e-18
alpha,10,3.1440864874529494e-126
beta,0.1,3.1440864874529494e-126
expPragFlip,false,3.1440864874529494e-126
alpha,10,6.683478779529288e-20
beta,0.1,6.683478779529288e-20
expPragFlip,true,6.683478779529288e-20
alpha,10,7.623478939030339e-129
beta,0.075,7.623478939030339e-129
expPragFlip,false,7.623478939030339e-129
alpha,10,8.013347989254054e-22
beta,0.075,8.013347989254054e-22
expPragFlip,true,8.013347989254054e-22
alpha,10,9.190343332520633e-132
beta,0.05,9.190343332520633e-132
expPragFlip,false,9.190343332520633e-132
alpha,10,6.761631288792543e-24
beta,0.05,6.761631288792543e-24
expPragFlip,true,6.761631288792543e-24
alpha,10,2.828598292603854e-135
beta,0.025,2.828598292603854e-135
expPragFlip,false,2.828598292603854e-135
alpha,10,3.94370048891055e-26
beta,0.025,3.94370048891055e-26
expPragFlip,true,3.94370048891055e-26
alpha,10,1.8409339772146924e-144
beta,0,1.8409339772146924e-144
expPragFlip,false,1.8409339772146924e-144
alpha,10,1.5567590154771048e-28
beta,0,1.5567590154771048e-28
expPragFlip,true,1.5567590154771048e-28
alpha,9.9,6.542821378871918e-121
beta,1,6.542821378871918e-121
expPragFlip,false,6.542821378871918e-121
alpha,9.9,4.7007414906540073e-29
beta,1,4.7007414906540073e-29
expPragFlip,true,4.7007414906540073e-29
alpha,9.9,5.415844134734091e-108
beta,0.975,5.415844134734091e-108
expPragFlip,false,5.415844134734091e-108
alpha,9.9,4.363750144174473e-27
beta,0.975,4.363750144174473e-27
expPragFlip,true,4.363750144174473e-27
alpha,9.9,1.9824321115210836e-105
beta,0.95,1.9824321115210836e-105
expPragFlip,false,1.9824321115210836e-105
alpha,9.9,3.3241358013658685e-25
beta,0.95,3.3241358013658685e-25
expPragFlip,true,3.3241358013658685e-25
alpha,9.9,1.3747269317111047e-103
beta,0.925,1.3747269317111047e-103
expPragFlip,false,1.3747269317111047e-103
alpha,9.9,2.086139956779899e-23
beta,0.925,2.086139956779899e-23
expPragFlip,true,2.086139956779899e-23
alpha,9.9,3.818070663277585e-102
beta,0.9,3.818070663277585e-102
expPragFlip,false,3.818070663277585e-102
alpha,9.9,1.0811256444248408e-21
beta,0.9,1.0811256444248408e-21
expPragFlip,true,1.0811256444248408e-21
alpha,9.9,5.522947987601508e-101
beta,0.875,5.522947987601508e-101
expPragFlip,false,5.522947987601508e-101
alpha,9.9,4.630495828458418e-20
beta,0.875,4.630495828458418e-20
expPragFlip,true,4.630495828458418e-20
alpha,9.9,4.751635936841792e-100
beta,0.85,4.751635936841792e-100
expPragFlip,false,4.751635936841792e-100
alpha,9.9,1.6380462104950357e-18
beta,0.85,1.6380462104950357e-18
expPragFlip,true,1.6380462104950357e-18
alpha,9.9,2.635354350223683e-99
beta,0.825,2.635354350223683e-99
expPragFlip,false,2.635354350223683e-99
alpha,9.9,4.776927107296587e-17
beta,0.825,4.776927107296587e-17
expPragFlip,true,4.776927107296587e-17
alpha,9.9,9.949686538005427e-99
beta,0.8,9.949686538005427e-99
expPragFlip,false,9.949686538005427e-99
alpha,9.9,1.1449956010403922e-15
beta,0.8,1.1449956010403922e-15
expPragFlip,true,1.1449956010403922e-15
alpha,9.9,2.6600553750955464e-98
beta,0.775,2.6600553750955464e-98
expPragFlip,false,2.6600553750955464e-98
alpha,9.9,2.24712431305264e-14
beta,0.775,2.24712431305264e-14
expPragFlip,true,2.24712431305264e-14
alpha,9.9,5.1890319162806156e-98
beta,0.75,5.1890319162806156e-98
expPragFlip,false,5.1890319162806156e-98
alpha,9.9,3.5948176339241505e-13
beta,0.75,3.5948176339241505e-13
expPragFlip,true,3.5948176339241505e-13
alpha,9.9,7.561041549206892e-98
beta,0.725,7.561041549206892e-98
expPragFlip,false,7.561041549206892e-98
alpha,9.9,4.664735600299982e-12
beta,0.725,4.664735600299982e-12
expPragFlip,true,4.664735600299982e-12
alpha,9.9,8.385539965544999e-98
beta,0.7,8.385539965544999e-98
expPragFlip,false,8.385539965544999e-98
alpha,9.9,4.88482452746795e-11
beta,0.7,4.88482452746795e-11
expPragFlip,true,4.88482452746795e-11
alpha,9.9,7.187216311249456e-98
beta,0.675,7.187216311249456e-98
expPragFlip,false,7.187216311249456e-98
alpha,9.9,4.1065602407526634e-10
beta,0.675,4.1065602407526634e-10
expPragFlip,true,4.1065602407526634e-10
alpha,9.9,4.820643262584372e-98
beta,0.65,4.820643262584372e-98
expPragFlip,false,4.820643262584372e-98
alpha,9.9,2.757171287715959e-9
beta,0.65,2.757171287715959e-9
expPragFlip,true,2.757171287715959e-9
alpha,9.9,2.5564691574310555e-98
beta,0.625,2.5564691574310555e-98
expPragFlip,false,2.5564691574310555e-98
alpha,9.9,1.4709595096493508e-8
beta,0.625,1.4709595096493508e-8
expPragFlip,true,1.4709595096493508e-8
alpha,9.9,1.0810711010967323e-98
beta,0.6,1.0810711010967323e-98
expPragFlip,false,1.0810711010967323e-98
alpha,9.9,6.205108565158059e-8
beta,0.6,6.205108565158059e-8
expPragFlip,true,6.205108565158059e-8
alpha,9.9,3.670843562560553e-99
beta,0.575,3.670843562560553e-99
expPragFlip,false,3.670843562560553e-99
alpha,9.9,2.059897483959968e-7
beta,0.575,2.059897483959968e-7
expPragFlip,true,2.059897483959968e-7
alpha,9.9,1.0065123506285136e-99
beta,0.55,1.0065123506285136e-99
expPragFlip,false,1.0065123506285136e-99
alpha,9.9,5.356826186636698e-7
beta,0.55,5.356826186636698e-7
expPragFlip,true,5.356826186636698e-7
alpha,9.9,2.2384593059002933e-100
beta,0.525,2.2384593059002933e-100
expPragFlip,false,2.2384593059002933e-100
alpha,9.9,0.0000010865316768318425
beta,0.525,0.0000010865316768318425
expPragFlip,true,0.0000010865316768318425
alpha,9.9,4.0516577663872484e-101
beta,0.5,4.0516577663872484e-101
expPragFlip,false,4.0516577663872484e-101
alpha,9.9,0.000001711805122478322
beta,0.5,0.000001711805122478322
expPragFlip,true,0.000001711805122478322
alpha,9.9,5.983057253817424e-102
beta,0.475,5.983057253817424e-102
expPragFlip,false,5.983057253817424e-102
alpha,9.9,0.0000020866656743528435
beta,0.475,0.0000020866656743528435
expPragFlip,true,0.0000020866656743528435
alpha,9.9,7.218948608687847e-103
beta,0.45,7.218948608687847e-103
expPragFlip,false,7.218948608687847e-103
alpha,9.9,0.000001960913683530278
beta,0.45,0.000001960913683530278
expPragFlip,true,0.000001960913683530278
alpha,9.9,7.121166452461559e-104
beta,0.425,7.121166452461559e-104
expPragFlip,false,7.121166452461559e-104
alpha,9.9,0.0000014157995733857467
beta,0.425,0.0000014157995733857467
expPragFlip,true,0.0000014157995733857467
alpha,9.9,5.741624458560629e-105
beta,0.4,5.741624458560629e-105
expPragFlip,false,5.741624458560629e-105
alpha,9.9,7.82913546355012e-7
beta,0.4,7.82913546355012e-7
expPragFlip,true,7.82913546355012e-7
alpha,9.9,3.7792804291801904e-106
beta,0.375,3.7792804291801904e-106
expPragFlip,false,3.7792804291801904e-106
alpha,9.9,3.306023344268099e-7
beta,0.375,3.306023344268099e-7
expPragFlip,true,3.306023344268099e-7
alpha,9.9,2.0264661226945507e-107
beta,0.35,2.0264661226945507e-107
expPragFlip,false,2.0264661226945507e-107
alpha,9.9,1.0630167337392461e-7
beta,0.35,1.0630167337392461e-7
expPragFlip,true,1.0630167337392461e-7
alpha,9.9,8.823314297972968e-109
beta,0.325,8.823314297972968e-109
expPragFlip,false,8.823314297972968e-109
alpha,9.9,2.5953246567808424e-8
beta,0.325,2.5953246567808424e-8
expPragFlip,true,2.5953246567808424e-8
alpha,9.9,3.1057842445242635e-110
beta,0.3,3.1057842445242635e-110
expPragFlip,false,3.1057842445242635e-110
alpha,9.9,4.79740436493132e-9
beta,0.3,4.79740436493132e-9
expPragFlip,true,4.79740436493132e-9
alpha,9.9,8.786724778559742e-112
beta,0.275,8.786724778559742e-112
expPragFlip,false,8.786724778559742e-112
alpha,9.9,6.693479304790116e-10
beta,0.275,6.693479304790116e-10
expPragFlip,true,6.693479304790116e-10
alpha,9.9,1.9829374716759336e-113
beta,0.25,1.9829374716759336e-113
expPragFlip,false,1.9829374716759336e-113
alpha,9.9,7.025290005872954e-11
beta,0.25,7.025290005872954e-11
expPragFlip,true,7.025290005872954e-11
alpha,9.9,3.534661288516265e-115
beta,0.225,3.534661288516265e-115
expPragFlip,false,3.534661288516265e-115
alpha,9.9,5.525636252451367e-12
beta,0.225,5.525636252451367e-12
expPragFlip,true,5.525636252451367e-12
alpha,9.9,4.912967989219299e-117
beta,0.2,4.912967989219299e-117
expPragFlip,false,4.912967989219299e-117
alpha,9.9,3.2424104857939236e-13
beta,0.2,3.2424104857939236e-13
expPragFlip,true,3.2424104857939236e-13
alpha,9.9,5.233419164049538e-119
beta,0.175,5.233419164049538e-119
expPragFlip,false,5.233419164049538e-119
alpha,9.9,1.4119036808487626e-14
beta,0.175,1.4119036808487626e-14
expPragFlip,true,1.4119036808487626e-14
alpha,9.9,4.170816482478688e-121
beta,0.15,4.170816482478688e-121
expPragFlip,false,4.170816482478688e-121
alpha,9.9,4.532869624775492e-16
beta,0.15,4.532869624775492e-16
expPragFlip,true,4.532869624775492e-16
alpha,9.9,2.400501940099745e-123
beta,0.125,2.400501940099745e-123
expPragFlip,false,2.400501940099745e-123
alpha,9.9,1.0643851223056643e-17
beta,0.125,1.0643851223056643e-17
expPragFlip,true,1.0643851223056643e-17
alpha,9.9,9.432856193481103e-126
beta,0.1,9.432856193481103e-126
expPragFlip,false,9.432856193481103e-126
alpha,9.9,1.8100419730656453e-19
beta,0.1,1.8100419730656453e-19
expPragFlip,true,1.8100419730656453e-19
alpha,9.9,2.2892200871054961e-128
beta,0.075,2.2892200871054961e-128
expPragFlip,false,2.2892200871054961e-128
alpha,9.9,2.2022233612825145e-21
beta,0.075,2.2022233612825145e-21
expPragFlip,true,2.2022233612825145e-21
alpha,9.9,2.764543614008539e-131
beta,0.05,2.764543614008539e-131
expPragFlip,false,2.764543614008539e-131
alpha,9.9,1.8888428115808922e-23
beta,0.05,1.8888428115808922e-23
expPragFlip,true,1.8888428115808922e-23
alpha,9.9,8.552139356399612e-135
beta,0.025,8.552139356399612e-135
expPragFlip,false,8.552139356399612e-135
alpha,9.9,1.122072618041693e-25
beta,0.025,1.122072618041693e-25
expPragFlip,true,1.122072618041693e-25
alpha,9.9,8.549663150943398e-144
beta,0,8.549663150943398e-144
expPragFlip,false,8.549663150943398e-144
alpha,9.9,4.522414914421478e-28
beta,0,4.522414914421478e-28
expPragFlip,true,4.522414914421478e-28
alpha,9.8,3.0422241699515054e-120
beta,1,3.0422241699515054e-120
expPragFlip,false,3.0422241699515054e-120
alpha,9.8,1.6037101885764891e-28
beta,1,1.6037101885764891e-28
expPragFlip,true,1.6037101885764891e-28
alpha,9.8,1.6235178491697294e-107
beta,0.975,1.6235178491697294e-107
expPragFlip,false,1.6235178491697294e-107
alpha,9.8,1.45059417545672e-26
beta,0.975,1.45059417545672e-26
expPragFlip,true,1.45059417545672e-26
alpha,9.8,5.9397531424718504e-105
beta,0.95,5.9397531424718504e-105
expPragFlip,false,5.9397531424718504e-105
alpha,9.8,1.077600095837653e-24
beta,0.95,1.077600095837653e-24
expPragFlip,true,1.077600095837653e-24
alpha,9.8,4.1179316840229415e-103
beta,0.925,4.1179316840229415e-103
expPragFlip,false,4.1179316840229415e-103
alpha,9.8,6.599658243930377e-23
beta,0.925,6.599658243930377e-23
expPragFlip,true,6.599658243930377e-23
alpha,9.8,1.1434931456233017e-101
beta,0.9,1.1434931456233017e-101
expPragFlip,false,1.1434931456233017e-101
alpha,9.8,3.3398619788288854e-21
beta,0.9,3.3398619788288854e-21
expPragFlip,true,3.3398619788288854e-21
alpha,9.8,1.65388246764697e-100
beta,0.875,1.65388246764697e-100
expPragFlip,false,1.65388246764697e-100
alpha,9.8,1.3977325358905325e-19
beta,0.875,1.3977325358905325e-19
expPragFlip,true,1.3977325358905325e-19
alpha,9.8,1.4227604382826243e-99
beta,0.85,1.4227604382826243e-99
expPragFlip,false,1.4227604382826243e-99
alpha,9.8,4.834519416157062e-18
beta,0.85,4.834519416157062e-18
expPragFlip,true,4.834519416157062e-18
alpha,9.8,7.890242401893061e-99
beta,0.825,7.890242401893061e-99
