parameter,value,MCMCprob
alpha,20,4.5152785932326715e-187
beta,1,4.5152785932326715e-187
expPragFlip,false,4.5152785932326715e-187
alpha,20,6.077858388087399e-114
beta,1,6.077858388087399e-114
expPragFlip,true,6.077858388087399e-114
alpha,20,4.989786172617167e-149
beta,0.9,4.989786172617167e-149
expPragFlip,false,4.989786172617167e-149
alpha,20,8.917370022862241e-103
beta,0.9,8.917370022862241e-103
expPragFlip,true,8.917370022862241e-103
alpha,20,1.3046910815263193e-145
beta,0.8,1.3046910815263193e-145
expPragFlip,false,1.3046910815263193e-145
alpha,20,3.8133789215076956e-93
beta,0.8,3.8133789215076956e-93
expPragFlip,true,3.8133789215076956e-93
alpha,20,1.1013895842265567e-144
beta,0.7,1.1013895842265567e-144
expPragFlip,false,1.1013895842265567e-144
alpha,20,3.220195393759579e-86
beta,0.7,3.220195393759579e-86
expPragFlip,true,3.220195393759579e-86
alpha,20,1.4208878421152477e-145
beta,0.6,1.4208878421152477e-145
expPragFlip,false,1.4208878421152477e-145
alpha,20,1.3161849367625541e-82
beta,0.6,1.3161849367625541e-82
expPragFlip,true,1.3161849367625541e-82
alpha,20,5.324752296407383e-148
beta,0.5,5.324752296407383e-148
expPragFlip,false,5.324752296407383e-148
alpha,20,4.8441028087232564e-82
beta,0.5,4.8441028087232564e-82
expPragFlip,true,4.8441028087232564e-82
alpha,20,7.53884991226087e-152
beta,0.4,7.53884991226087e-152
expPragFlip,false,7.53884991226087e-152
alpha,20,2.494215726610105e-84
beta,0.4,2.494215726610105e-84
expPragFlip,true,2.494215726610105e-84
alpha,20,4.0694051007405094e-157
beta,0.3,4.0694051007405094e-157
expPragFlip,false,4.0694051007405094e-157
alpha,20,4.873446308163493e-89
beta,0.3,4.873446308163493e-89
expPragFlip,true,4.873446308163493e-89
alpha,20,6.408242962343229e-164
beta,0.2,6.408242962343229e-164
expPragFlip,false,6.408242962343229e-164
alpha,20,6.134963569224721e-96
beta,0.2,6.134963569224721e-96
expPragFlip,true,6.134963569224721e-96
alpha,20,1.2141797027847757e-172
beta,0.1,1.2141797027847757e-172
expPragFlip,false,1.2141797027847757e-172
alpha,20,1.7849742591918536e-105
beta,0.1,1.7849742591918536e-105
expPragFlip,true,1.7849742591918536e-105
alpha,20,5.975399992876911e-210
beta,0,5.975399992876911e-210
expPragFlip,false,5.975399992876911e-210
alpha,20,2.316790819753776e-118
beta,0,2.316790819753776e-118
expPragFlip,true,2.316790819753776e-118
alpha,19.5,9.874913101687592e-184
beta,1,9.874913101687592e-184
expPragFlip,false,9.874913101687592e-184
alpha,19.5,7.324750796675761e-109
beta,1,7.324750796675761e-109
expPragFlip,true,7.324750796675761e-109
alpha,19.5,1.2125178445997698e-146
beta,0.9,1.2125178445997698e-146
expPragFlip,false,1.2125178445997698e-146
alpha,19.5,6.759403696115444e-98
beta,0.9,6.759403696115444e-98
expPragFlip,true,6.759403696115444e-98
alpha,19.5,3.1703986989042405e-143
beta,0.8,3.1703986989042405e-143
expPragFlip,false,3.1703986989042405e-143
alpha,19.5,1.8247840077000193e-88
beta,0.8,1.8247840077000193e-88
expPragFlip,true,1.8247840077000193e-88
alpha,19.5,2.676376109800452e-142
beta,0.7,2.676376109800452e-142
expPragFlip,false,2.676376109800452e-142
alpha,19.5,1.1878879439434411e-81
beta,0.7,1.1878879439434411e-81
expPragFlip,true,1.1878879439434411e-81
alpha,19.5,3.4527566821724897e-143
beta,0.6,3.4527566821724897e-143
expPragFlip,false,3.4527566821724897e-143
alpha,19.5,4.857188681415682e-78
beta,0.6,4.857188681415682e-78
expPragFlip,true,4.857188681415682e-78
alpha,19.5,1.2939145192101652e-145
beta,0.5,1.2939145192101652e-145
expPragFlip,false,1.2939145192101652e-145
alpha,19.5,2.1255578748496567e-77
beta,0.5,2.1255578748496567e-77
expPragFlip,true,2.1255578748496567e-77
alpha,19.5,1.831940138378499e-149
beta,0.4,1.831940138378499e-149
expPragFlip,false,1.831940138378499e-149
alpha,19.5,1.5070301472162434e-79
beta,0.4,1.5070301472162434e-79
expPragFlip,true,1.5070301472162434e-79
alpha,19.5,9.888652518784044e-155
beta,0.3,9.888652518784044e-155
expPragFlip,false,9.888652518784044e-155
alpha,19.5,4.262210726342944e-84
beta,0.3,4.262210726342944e-84
expPragFlip,true,4.262210726342944e-84
alpha,19.5,1.5572028228871866e-161
beta,0.2,1.5572028228871866e-161
expPragFlip,false,1.5572028228871866e-161
alpha,19.5,7.649593142295076e-91
beta,0.2,7.649593142295076e-91
expPragFlip,true,7.649593142295076e-91
alpha,19.5,2.9504567031949866e-170
beta,0.1,2.9504567031949866e-170
expPragFlip,false,2.9504567031949866e-170
alpha,19.5,3.3622809633604817e-100
beta,0.1,3.3622809633604817e-100
expPragFlip,true,3.3622809633604817e-100
alpha,19.5,1.306819638227093e-206
beta,0,1.306819638227093e-206
expPragFlip,false,1.306819638227093e-206
alpha,19.5,7.776237037054233e-113
beta,0,7.776237037054233e-113
expPragFlip,true,7.776237037054233e-113
alpha,19,2.159643047705242e-180
beta,1,2.159643047705242e-180
expPragFlip,false,2.159643047705242e-180
alpha,19,7.939206641735077e-104
beta,1,7.939206641735077e-104
expPragFlip,true,7.939206641735077e-104
alpha,19,2.946417540187655e-144
beta,0.9,2.946417540187655e-144
expPragFlip,false,2.946417540187655e-144
alpha,19,4.6210735032495876e-93
beta,0.9,4.6210735032495876e-93
expPragFlip,true,4.6210735032495876e-93
alpha,19,7.704066190086457e-141
beta,0.8,7.704066190086457e-141
expPragFlip,false,7.704066190086457e-141
alpha,19,7.914202898032823e-84
beta,0.8,7.914202898032823e-84
expPragFlip,true,7.914202898032823e-84
alpha,19,6.503591506210289e-140
beta,0.7,6.503591506210289e-140
expPragFlip,false,6.503591506210289e-140
alpha,19,3.9818497868733326e-77
beta,0.7,3.9818497868733326e-77
expPragFlip,true,3.9818497868733326e-77
alpha,19,8.39019547929295e-141
beta,0.6,8.39019547929295e-141
expPragFlip,false,8.39019547929295e-141
alpha,19,1.6295817915672937e-73
beta,0.6,1.6295817915672937e-73
expPragFlip,true,1.6295817915672937e-73
alpha,19,3.1442110660802525e-143
beta,0.5,3.1442110660802525e-143
expPragFlip,false,3.1442110660802525e-143
alpha,19,8.486369944298463e-73
beta,0.5,8.486369944298463e-73
expPragFlip,true,8.486369944298463e-73
alpha,19,4.4516128935269286e-147
beta,0.4,4.4516128935269286e-147
expPragFlip,false,4.4516128935269286e-147
alpha,19,8.270388323044771e-75
beta,0.4,8.270388323044771e-75
expPragFlip,true,8.270388323044771e-75
alpha,19,2.402941772472265e-152
beta,0.3,2.402941772472265e-152
expPragFlip,false,2.402941772472265e-152
alpha,19,3.3819769056018e-79
beta,0.3,3.3819769056018e-79
expPragFlip,true,3.3819769056018e-79
alpha,19,3.7840019464478076e-159
beta,0.2,3.7840019464478076e-159
expPragFlip,false,3.7840019464478076e-159
