parameter,value,MCMCprob
alpha,20,1.4676248534178239e-189
beta,0,1.4676248534178239e-189
expPragFlip,false,1.4676248534178239e-189
alpha,20,5.6902965346176e-98
beta,0,5.6902965346176e-98
expPragFlip,true,5.6902965346176e-98
alpha,19.9,6.832581116670703e-189
beta,0,6.832581116670703e-189
expPragFlip,false,6.832581116670703e-189
alpha,19.9,7.301234304053466e-97
beta,0,7.301234304053466e-97
expPragFlip,true,7.301234304053466e-97
alpha,19.8,3.180933082679884e-188
beta,0,3.180933082679884e-188
expPragFlip,false,3.180933082679884e-188
alpha,19.8,9.335791960542552e-96
beta,0,9.335791960542552e-96
expPragFlip,true,9.335791960542552e-96
alpha,19.7,1.4808950013995817e-187
beta,0,1.4808950013995817e-187
expPragFlip,false,1.4808950013995817e-187
alpha,19.7,1.1894989978287749e-94
beta,0,1.1894989978287749e-94
expPragFlip,true,1.1894989978287749e-94
alpha,19.6,6.894360664199513e-187
beta,0,6.894360664199513e-187
expPragFlip,false,6.894360664199513e-187
alpha,19.6,1.5100754745447685e-93
beta,0,1.5100754745447685e-93
expPragFlip,true,1.5100754745447685e-93
alpha,19.5,3.209694718818415e-186
beta,0,3.209694718818415e-186
expPragFlip,false,3.209694718818415e-186
alpha,19.5,1.9099305076244417e-92
beta,0,1.9099305076244417e-92
expPragFlip,true,1.9099305076244417e-92
alpha,19.4,1.494285056022162e-185
beta,0,1.494285056022162e-185
expPragFlip,false,1.494285056022162e-185
alpha,19.4,2.4064814965211495e-91
beta,0,2.4064814965211495e-91
expPragFlip,true,2.4064814965211495e-91
alpha,19.3,6.956698395683877e-185
beta,0,6.956698395683877e-185
expPragFlip,false,6.956698395683877e-185
alpha,19.3,3.0203290124907533e-90
beta,0,3.0203290124907533e-90
expPragFlip,true,3.0203290124907533e-90
alpha,19.2,3.2387161957377717e-184
beta,0,3.2387161957377717e-184
expPragFlip,false,3.2387161957377717e-184
alpha,19.2,3.775656241564888e-89
beta,0,3.775656241564888e-89
expPragFlip,true,3.775656241564888e-89
alpha,19.1,1.5077960681039712e-183
beta,0,1.5077960681039712e-183
expPragFlip,false,1.5077960681039712e-183
alpha,19.1,4.7006266114954513e-88
beta,0,4.7006266114954513e-88
expPragFlip,true,4.7006266114954513e-88
alpha,19,7.019599184782634e-183
beta,0,7.019599184782634e-183
expPragFlip,false,7.019599184782634e-183
alpha,19,5.827761322174243e-87
beta,0,5.827761322174243e-87
expPragFlip,true,5.827761322174243e-87
alpha,18.9,3.267999772797736e-182
beta,0,3.267999772797736e-182
expPragFlip,false,3.267999772797736e-182
alpha,18.9,7.194273234277664e-86
beta,0,7.194273234277664e-86
expPragFlip,true,7.194273234277664e-86
alpha,18.8,1.5214290845134109e-181
beta,0,1.5214290845134109e-181
expPragFlip,false,1.5214290845134109e-181
alpha,18.8,8.842327858490768e-85
beta,0,8.842327858490768e-85
expPragFlip,true,8.842327858490768e-85
alpha,18.7,7.08306787932612e-181
beta,0,7.08306787932612e-181
expPragFlip,false,7.08306787932612e-181
alpha,18.7,1.0819196259097353e-83
beta,0,1.0819196259097353e-83
expPragFlip,true,1.0819196259097353e-83
alpha,18.6,3.297547693462872e-180
beta,0,3.297547693462872e-180
expPragFlip,false,3.297547693462872e-180
alpha,18.6,1.3177258877172127e-82
beta,0,1.3177258877172127e-82
expPragFlip,true,1.3177258877172127e-82
alpha,18.5,1.5351851427105735e-179
beta,0,1.5351851427105735e-179
expPragFlip,false,1.5351851427105735e-179
alpha,18.5,1.5973814043376873e-81
beta,0,1.5973814043376873e-81
expPragFlip,true,1.5973814043376873e-81
alpha,18.4,7.147109272913058e-179
beta,0,7.147109272913058e-179
expPragFlip,false,7.147109272913058e-179
alpha,18.4,1.9270640863756153e-80
beta,0,1.9270640863756153e-80
expPragFlip,true,1.9270640863756153e-80
alpha,18.3,3.3273621705266567e-178
beta,0,3.3273621705266567e-178
expPragFlip,false,3.3273621705266567e-178
alpha,18.3,2.3133263916912476e-79
beta,0,2.3133263916912476e-79
expPragFlip,true,2.3133263916912476e-79
alpha,18.2,1.5490652630561815e-177
beta,0,1.5490652630561815e-177
expPragFlip,false,1.5490652630561815e-177
alpha,18.2,2.7629867592130766e-78
beta,0,2.7629867592130766e-78
expPragFlip,true,2.7629867592130766e-78
alpha,18.1,7.211728064884315e-177
beta,0,7.211728064884315e-177
expPragFlip,false,7.211728064884315e-177
alpha,18.1,3.2829811783952307e-77
beta,0,3.2829811783952307e-77
expPragFlip,true,3.2829811783952307e-77
alpha,18,3.3574453652987894e-176
beta,0,3.3574453652987894e-176
expPragFlip,false,3.3574453652987894e-176
alpha,18,3.8801708911526905e-76
beta,0,3.8801708911526905e-76
expPragFlip,true,3.8801708911526905e-76
alpha,17.9,1.5630704379936375e-175
beta,0,1.5630704379936375e-175
expPragFlip,false,1.5630704379936375e-175
alpha,17.9,4.561103566019965e-75
beta,0,4.561103566019965e-75
expPragFlip,true,4.561103566019965e-75
alpha,17.8,7.2769288040617e-175
beta,0,7.2769288040617e-175
expPragFlip,false,7.2769288040617e-175
alpha,17.8,5.331727209156015e-74
beta,0,5.331727209156015e-74
expPragFlip,true,5.331727209156015e-74
alpha,17.7,3.387799358328775e-174
beta,0,3.387799358328775e-174
expPragFlip,false,3.387799358328775e-174
alpha,17.7,6.197058621191068e-73
beta,0,6.197058621191068e-73
expPragFlip,true,6.197058621191068e-73
alpha,17.6,1.5772016168160075e-173
beta,0,1.5772016168160075e-173
expPragFlip,false,1.5772016168160075e-173
alpha,17.6,7.16081136831957e-72
beta,0,7.16081136831957e-72
expPragFlip,true,7.16081136831957e-72
alpha,17.5,7.342715809582203e-173
beta,0,7.342715809582203e-173
expPragFlip,false,7.342715809582203e-173
alpha,17.5,8.224991953449826e-71
beta,0,8.224991953449826e-71
expPragFlip,true,8.224991953449826e-71
alpha,17.4,3.4184261082664633e-172
beta,0,3.4184261082664633e-172
expPragFlip,false,3.4184261082664633e-172
alpha,17.4,9.389477023817364e-70
beta,0,9.389477023817364e-70
expPragFlip,true,9.389477023817364e-70
alpha,17.3,1.5914596842869049e-171
beta,0,1.5914596842869049e-171
expPragFlip,false,1.5914596842869049e-171
alpha,17.3,1.0651588836016086e-68
beta,0,1.0651588836016086e-68
expPragFlip,true,1.0651588836016086e-68
alpha,17.2,7.409093059711523e-171
beta,0,7.409093059711523e-171
expPragFlip,false,7.409093059711523e-171
alpha,17.2,1.2005690537570836e-67
beta,0,1.2005690537570836e-67
expPragFlip,true,1.2005690537570836e-67
alpha,17.1,3.44932739405427e-170
beta,0,3.44932739405427e-170
expPragFlip,false,3.44932739405427e-170
alpha,17.1,1.344282675828267e-66
beta,0,1.344282675828267e-66
expPragFlip,true,1.344282675828267e-66
alpha,17,1.6058454305882693e-169
beta,0,1.6058454305882693e-169
expPragFlip,false,1.6058454305882693e-169
alpha,17,1.4950438112199774e-65
beta,0,1.4950438112199774e-65
expPragFlip,true,1.4950438112199774e-65
alpha,16.9,7.476064035652445e-169
beta,0,7.476064035652445e-169
expPragFlip,false,7.476064035652445e-169
alpha,16.9,1.65121800251172e-64
beta,0,1.65121800251172e-64
expPragFlip,true,1.65121800251172e-64
alpha,16.8,3.480504733755556e-168
beta,0,3.480504733755556e-168
expPragFlip,false,3.480504733755556e-168
alpha,16.8,1.8107876350847322e-63
beta,0,1.8107876350847322e-63
expPragFlip,true,1.8107876350847322e-63
alpha,16.7,1.6203595091341181e-167
beta,0,1.6203595091341181e-167
expPragFlip,false,1.6203595091341181e-167
alpha,16.7,1.971363608450213e-62
beta,0,1.971363608450213e-62
expPragFlip,true,1.971363608450213e-62
alpha,16.6,7.543631502304416e-167
beta,0,7.543631502304416e-167
expPragFlip,false,7.543631502304416e-167
alpha,16.6,2.130215678056623e-61
beta,0,2.130215678056623e-61
expPragFlip,true,2.130215678056623e-61
alpha,16.5,3.511959270592121e-166
beta,0,3.511959270592121e-166
expPragFlip,false,3.511959270592121e-166
alpha,16.5,2.2843230846846548e-60
beta,0,2.2843230846846548e-60
expPragFlip,true,2.2843230846846548e-60
alpha,16.4,1.6350023773412982e-165
beta,0,1.6350023773412982e-165
expPragFlip,false,1.6350023773412982e-165
alpha,16.4,2.430446073405214e-59
beta,0,2.430446073405214e-59
expPragFlip,true,2.430446073405214e-59
alpha,16.3,7.611797200458226e-165
beta,0,7.611797200458226e-165
expPragFlip,false,7.611797200458226e-165
alpha,16.3,2.5652176459268795e-58
