parameter,value,MCMCprob
alpha,6.436941442079842,0.007000000000000009
beta,0.8885584776289761,0.007000000000000009
expVsPrag,0.9081050830427557,0.007000000000000009
alpha,6.436941442079842,0.0030000000000000044
beta,0.8885584776289761,0.0030000000000000044
expVsPrag,0.15307226683944464,0.0030000000000000044
alpha,6.436941442079842,0.002000000000000002
beta,0.8885584776289761,0.002000000000000002
expVsPrag,0.14807494031265378,0.002000000000000002
alpha,6.436941442079842,0.001000000000000001
beta,0.5032497199717909,0.001000000000000001
expVsPrag,0.14807494031265378,0.001000000000000001
alpha,6.436941442079842,0.001000000000000001
beta,0.29618672956712544,0.001000000000000001
expVsPrag,0.14807494031265378,0.001000000000000001
alpha,6.436941442079842,0.0030000000000000044
beta,0.29618672956712544,0.0030000000000000044
expVsPrag,0.5140884602442384,0.0030000000000000044
alpha,6.436941442079842,0.014000000000000007
beta,0.4475309669505805,0.014000000000000007
expVsPrag,0.5140884602442384,0.014000000000000007
alpha,6.436941442079842,0.007000000000000009
beta,0.4475309669505805,0.007000000000000009
expVsPrag,0.8333819075487554,0.007000000000000009
alpha,6.436941442079842,0.008000000000000004
beta,0.4475309669505805,0.008000000000000004
expVsPrag,0.6790867075324059,0.008000000000000004
alpha,6.436941442079842,0.002000000000000002
beta,0.4475309669505805,0.002000000000000002
expVsPrag,0.9048528037965298,0.002000000000000002
alpha,6.436941442079842,0.001000000000000001
beta,0.4475309669505805,0.001000000000000001
expVsPrag,0.745873787207529,0.001000000000000001
alpha,6.436941442079842,0.001000000000000001
beta,0.4475309669505805,0.001000000000000001
expVsPrag,0.6337439040653408,0.001000000000000001
alpha,6.436941442079842,0.001000000000000001
beta,0.4475309669505805,0.001000000000000001
expVsPrag,0.8895227056927979,0.001000000000000001
alpha,6.436941442079842,0.006000000000000009
beta,0.4475309669505805,0.006000000000000009
expVsPrag,0.20249215490184724,0.006000000000000009
alpha,6.436941442079842,0.005000000000000006
beta,0.4475309669505805,0.005000000000000006
expVsPrag,0.8894998575560749,0.005000000000000006
alpha,6.436941442079842,0.002000000000000002
beta,0.4475309669505805,0.002000000000000002
expVsPrag,0.46278669801540673,0.002000000000000002
alpha,6.436941442079842,0.002000000000000002
beta,0.4475309669505805,0.002000000000000002
expVsPrag,0.38328869990073144,0.002000000000000002
alpha,6.169321830384433,0.004000000000000005
beta,0.4475309669505805,0.004000000000000005
expVsPrag,0.38328869990073144,0.004000000000000005
alpha,6.169321830384433,0.001000000000000001
beta,0.4475309669505805,0.001000000000000001
expVsPrag,0.4066830493975431,0.001000000000000001
alpha,6.169321830384433,0.004000000000000005
beta,0.4475309669505805,0.004000000000000005
expVsPrag,0.8862507704179734,0.004000000000000005
alpha,6.169321830384433,0.002000000000000002
beta,0.34919273760169744,0.002000000000000002
expVsPrag,0.8862507704179734,0.002000000000000002
alpha,6.169321830384433,0.002000000000000002
beta,0.34919273760169744,0.002000000000000002
expVsPrag,0.4821966700255871,0.002000000000000002
alpha,6.169321830384433,0.0030000000000000044
beta,0.34919273760169744,0.0030000000000000044
expVsPrag,0.3800279861316085,0.0030000000000000044
alpha,6.169321830384433,0.0030000000000000044
beta,0.34919273760169744,0.0030000000000000044
expVsPrag,0.39817981398664415,0.0030000000000000044
alpha,6.169321830384433,0.0030000000000000044
beta,0.34919273760169744,0.0030000000000000044
expVsPrag,0.4389555132947862,0.0030000000000000044
alpha,6.169321830384433,0.0030000000000000044
beta,0.34919273760169744,0.0030000000000000044
expVsPrag,0.5512046308722347,0.0030000000000000044
alpha,6.169321830384433,0.001000000000000001
beta,0.34919273760169744,0.001000000000000001
expVsPrag,0.5255635352805257,0.001000000000000001
alpha,6.169321830384433,0.001000000000000001
beta,0.34919273760169744,0.001000000000000001
expVsPrag,0.8014112182427198,0.001000000000000001
alpha,6.169321830384433,0.0030000000000000044
beta,0.34919273760169744,0.0030000000000000044
expVsPrag,0.7848469705786556,0.0030000000000000044
alpha,6.169321830384433,0.0030000000000000044
beta,0.3668417609296739,0.0030000000000000044
expVsPrag,0.7848469705786556,0.0030000000000000044
alpha,6.169321830384433,0.001000000000000001
beta,0.3668417609296739,0.001000000000000001
expVsPrag,0.5318652559071779,0.001000000000000001
alpha,6.169321830384433,0.001000000000000001
beta,0.3278121321927756,0.001000000000000001
expVsPrag,0.5318652559071779,0.001000000000000001
alpha,6.169321830384433,0.004000000000000005
beta,0.4403331798966974,0.004000000000000005
expVsPrag,0.5318652559071779,0.004000000000000005
alpha,6.169321830384433,0.004000000000000005
beta,0.4403331798966974,0.004000000000000005
expVsPrag,0.9409619360230863,0.004000000000000005
alpha,6.169321830384433,0.0030000000000000044
beta,0.4403331798966974,0.0030000000000000044
expVsPrag,0.5233904113993049,0.0030000000000000044
alpha,6.169321830384433,0.007000000000000009
beta,0.4403331798966974,0.007000000000000009
expVsPrag,0.5864880152512342,0.007000000000000009
alpha,6.169321830384433,0.002000000000000002
beta,0.4403331798966974,0.002000000000000002
expVsPrag,0.8906201974023134,0.002000000000000002
alpha,6.169321830384433,0.005000000000000006
beta,0.4403331798966974,0.005000000000000006
expVsPrag,0.8198290816508234,0.005000000000000006
alpha,6.169321830384433,0.0030000000000000044
beta,0.4403331798966974,0.0030000000000000044
expVsPrag,0.9476086043287069,0.0030000000000000044
alpha,6.173195317387581,0.007000000000000009
beta,0.4403331798966974,0.007000000000000009
expVsPrag,0.9476086043287069,0.007000000000000009
alpha,6.173195317387581,0.009000000000000008
beta,0.4403331798966974,0.009000000000000008
expVsPrag,0.18827071879059076,0.009000000000000008
alpha,6.173195317387581,0.005000000000000006
beta,0.4403331798966974,0.005000000000000006
expVsPrag,0.03659467143006623,0.005000000000000006
alpha,6.173195317387581,0.001000000000000001
beta,0.4883888429030776,0.001000000000000001
expVsPrag,0.03659467143006623,0.001000000000000001
alpha,6.173195317387581,0.005000000000000006
beta,0.4883888429030776,0.005000000000000006
expVsPrag,0.4884558201301843,0.005000000000000006
alpha,6.173195317387581,0.009000000000000008
beta,0.4883888429030776,0.009000000000000008
expVsPrag,0.6785272564738989,0.009000000000000008
alpha,6.173195317387581,0.010000000000000014
beta,0.4883888429030776,0.010000000000000014
expVsPrag,0.7482505666557699,0.010000000000000014
alpha,6.173195317387581,0.002000000000000002
beta,0.4883888429030776,0.002000000000000002
expVsPrag,0.8186766274739057,0.002000000000000002
alpha,6.173195317387581,0.002000000000000002
beta,0.4883888429030776,0.002000000000000002
expVsPrag,0.8899300887715071,0.002000000000000002
alpha,6.173195317387581,0.001000000000000001
beta,0.4883888429030776,0.001000000000000001
expVsPrag,0.6775993334595114,0.001000000000000001
alpha,6.173195317387581,0.001000000000000001
beta,0.4883888429030776,0.001000000000000001
expVsPrag,0.9227024640422314,0.001000000000000001
alpha,6.173195317387581,0.006000000000000009
beta,0.4883888429030776,0.006000000000000009
expVsPrag,0.9916109263431281,0.006000000000000009
alpha,6.173195317387581,0.002000000000000002
beta,0.4883888429030776,0.002000000000000002
expVsPrag,0.26217654696665704,0.002000000000000002
alpha,6.173195317387581,0.01200000000000002
beta,0.39695405634120107,0.01200000000000002
expVsPrag,0.26217654696665704,0.01200000000000002
alpha,6.173195317387581,0.008000000000000004
beta,0.39695405634120107,0.008000000000000004
expVsPrag,0.6806875134352595,0.008000000000000004
alpha,6.173195317387581,0.01500000000000001
beta,0.39695405634120107,0.01500000000000001
expVsPrag,0.27361654257401824,0.01500000000000001
alpha,6.173195317387581,0.005000000000000006
beta,0.39695405634120107,0.005000000000000006
expVsPrag,0.35406232019886374,0.005000000000000006
alpha,6.173195317387581,0.001000000000000001
beta,0.39695405634120107,0.001000000000000001
expVsPrag,0.8354384547565132,0.001000000000000001
alpha,6.173195317387581,0.0030000000000000044
beta,0.39695405634120107,0.0030000000000000044
expVsPrag,0.7114457946736366,0.0030000000000000044
alpha,6.173195317387581,0.0030000000000000044
beta,0.39695405634120107,0.0030000000000000044
expVsPrag,0.9895741222426295,0.0030000000000000044
alpha,6.173195317387581,0.002000000000000002
beta,0.37901588692329824,0.002000000000000002
expVsPrag,0.9895741222426295,0.002000000000000002
alpha,6.173195317387581,0.004000000000000005
beta,0.37901588692329824,0.004000000000000005
expVsPrag,0.878863355377689,0.004000000000000005
alpha,6.173195317387581,0.001000000000000001
beta,0.37901588692329824,0.001000000000000001
expVsPrag,0.5671112246345729,0.001000000000000001
alpha,6.173195317387581,0.001000000000000001
beta,0.3863347165752202,0.001000000000000001
expVsPrag,0.5671112246345729,0.001000000000000001
alpha,6.173195317387581,0.006000000000000009
beta,0.3863347165752202,0.006000000000000009
expVsPrag,0.493841340765357,0.006000000000000009
alpha,6.173195317387581,0.006000000000000009
beta,0.3863347165752202,0.006000000000000009
expVsPrag,0.5150569265242666,0.006000000000000009
alpha,6.173195317387581,0.002000000000000002
beta,0.3863347165752202,0.002000000000000002
expVsPrag,0.6014475412666798,0.002000000000000002
alpha,6.173195317387581,0.001000000000000001
beta,0.3863347165752202,0.001000000000000001
expVsPrag,0.8959708788897842,0.001000000000000001
alpha,6.173195317387581,0.014000000000000007
beta,0.3863347165752202,0.014000000000000007
expVsPrag,0.5004510020371526,0.014000000000000007
alpha,6.173195317387581,0.002000000000000002
beta,0.3863347165752202,0.002000000000000002
expVsPrag,0.41488033276982605,0.002000000000000002
alpha,6.173195317387581,0.009000000000000008
beta,0.3863347165752202,0.009000000000000008
expVsPrag,0.883772291475907,0.009000000000000008
alpha,6.173195317387581,0.005000000000000006
beta,0.3863347165752202,0.005000000000000006
expVsPrag,0.05055471393279731,0.005000000000000006
alpha,6.173195317387581,0.02400000000000003
beta,0.3863347165752202,0.02400000000000003
expVsPrag,0.9892033934593201,0.02400000000000003
alpha,6.173195317387581,0.007000000000000009
beta,0.3863347165752202,0.007000000000000009
expVsPrag,0.2607470960356295,0.007000000000000009
alpha,6.173195317387581,0.004000000000000005
beta,0.3863347165752202,0.004000000000000005
expVsPrag,0.3610686764586717,0.004000000000000005
alpha,6.173195317387581,0.0030000000000000044
beta,0.3863347165752202,0.0030000000000000044
expVsPrag,0.5016185494605452,0.0030000000000000044
alpha,6.173195317387581,0.005000000000000006
beta,0.3863347165752202,0.005000000000000006
expVsPrag,0.9245904043782502,0.005000000000000006
alpha,6.173195317387581,0.0030000000000000044
beta,0.3863347165752202,0.0030000000000000044
expVsPrag,0.4232642170973122,0.0030000000000000044
alpha,6.173195317387581,0.0030000000000000044
beta,0.3863347165752202,0.0030000000000000044
expVsPrag,0.3082328385207802,0.0030000000000000044
alpha,6.173195317387581,0.0030000000000000044
beta,0.3863347165752202,0.0030000000000000044
expVsPrag,0.7878022457007319,0.0030000000000000044
alpha,6.173195317387581,0.005000000000000006
beta,0.3863347165752202,0.005000000000000006
expVsPrag,0.7487339023500681,0.005000000000000006
alpha,6.173195317387581,0.002000000000000002
beta,0.3863347165752202,0.002000000000000002
expVsPrag,0.6653974237851799,0.002000000000000002
alpha,6.173195317387581,0.007000000000000009
beta,0.3863347165752202,0.007000000000000009
expVsPrag,0.9314979265909642,0.007000000000000009
alpha,6.813329155556858,0.001000000000000001
beta,0.3863347165752202,0.001000000000000001
expVsPrag,0.9314979265909642,0.001000000000000001
alpha,6.813329155556858,0.002000000000000002
beta,0.3863347165752202,0.002000000000000002
expVsPrag,0.4851431152783334,0.002000000000000002
alpha,6.813329155556858,0.001000000000000001
beta,0.3863347165752202,0.001000000000000001
expVsPrag,0.4248456144705415,0.001000000000000001
alpha,6.813329155556858,0.007000000000000009
beta,0.3863347165752202,0.007000000000000009
expVsPrag,0.9604593010153621,0.007000000000000009
alpha,6.813329155556858,0.0030000000000000044
beta,0.3863347165752202,0.0030000000000000044
expVsPrag,0.6289174703415483,0.0030000000000000044
alpha,6.813329155556858,0.001000000000000001
beta,0.3863347165752202,0.001000000000000001
expVsPrag,0.7202431890182197,0.001000000000000001
alpha,6.813329155556858,0.001000000000000001
beta,0.3863347165752202,0.001000000000000001
expVsPrag,0.7399039352312684,0.001000000000000001
alpha,6.813329155556858,0.01200000000000002
beta,0.3863347165752202,0.01200000000000002
expVsPrag,0.9517086667474359,0.01200000000000002
alpha,6.813329155556858,0.006000000000000009
beta,0.3863347165752202,0.006000000000000009
expVsPrag,0.5690489178523421,0.006000000000000009
alpha,6.813329155556858,0.001000000000000001
beta,0.3863347165752202,0.001000000000000001
expVsPrag,0.730504980077967,0.001000000000000001
alpha,6.813329155556858,0.002000000000000002
beta,0.3847375134937465,0.002000000000000002
expVsPrag,0.730504980077967,0.002000000000000002
alpha,6.813329155556858,0.005000000000000006
beta,0.3847375134937465,0.005000000000000006
expVsPrag,0.6647242610342801,0.005000000000000006
alpha,6.813329155556858,0.0030000000000000044
beta,0.3847375134937465,0.0030000000000000044
expVsPrag,0.5048903923016042,0.0030000000000000044
alpha,6.813329155556858,0.002000000000000002
beta,0.3847375134937465,0.002000000000000002
expVsPrag,0.2769285407848656,0.002000000000000002
alpha,6.813329155556858,0.009000000000000008
beta,0.3847375134937465,0.009000000000000008
expVsPrag,0.31492436910048127,0.009000000000000008
alpha,6.813329155556858,0.01300000000000002
beta,0.3847375134937465,0.01300000000000002
expVsPrag,0.7297346850391477,0.01300000000000002
alpha,6.813329155556858,0.004000000000000005
beta,0.3847375134937465,0.004000000000000005
expVsPrag,0.45859615853987634,0.004000000000000005
alpha,6.813329155556858,0.008000000000000004
beta,0.3847375134937465,0.008000000000000004
expVsPrag,0.29712491226382554,0.008000000000000004
alpha,6.813329155556858,0.002000000000000002
beta,0.3847375134937465,0.002000000000000002
expVsPrag,0.46110293571837246,0.002000000000000002
alpha,6.813329155556858,0.01200000000000002
beta,0.3847375134937465,0.01200000000000002
expVsPrag,0.7420697852503508,0.01200000000000002
alpha,6.813329155556858,0.006000000000000009
beta,0.3847375134937465,0.006000000000000009
expVsPrag,0.7438030687626451,0.006000000000000009
alpha,6.813329155556858,0.004000000000000005
beta,0.3847375134937465,0.004000000000000005
expVsPrag,0.7549541343469173,0.004000000000000005
alpha,6.813329155556858,0.011000000000000013
beta,0.3847375134937465,0.011000000000000013
expVsPrag,0.3546520925592631,0.011000000000000013
alpha,6.813329155556858,0.001000000000000001
beta,0.3847375134937465,0.001000000000000001
expVsPrag,0.6290795051027089,0.001000000000000001
alpha,6.813329155556858,0.009000000000000008
beta,0.3847375134937465,0.009000000000000008
expVsPrag,0.4327960282098502,0.009000000000000008
alpha,6.813329155556858,0.001000000000000001
beta,0.3847375134937465,0.001000000000000001
expVsPrag,0.5057643800973892,0.001000000000000001
alpha,6.813329155556858,0.002000000000000002
beta,0.3847375134937465,0.002000000000000002
expVsPrag,0.4217146593146026,0.002000000000000002
alpha,6.813329155556858,0.01300000000000002
beta,0.3847375134937465,0.01300000000000002
expVsPrag,0.7383507452905178,0.01300000000000002
alpha,6.813329155556858,0.01600000000000001
beta,0.3847375134937465,0.01600000000000001
expVsPrag,0.6206176793202758,0.01600000000000001
alpha,6.813329155556858,0.0030000000000000044
beta,0.3847375134937465,0.0030000000000000044
expVsPrag,0.7370890458114445,0.0030000000000000044
alpha,6.813329155556858,0.002000000000000002
beta,0.3847375134937465,0.002000000000000002
expVsPrag,0.7509327251464128,0.002000000000000002
alpha,6.813329155556858,0.001000000000000001
beta,0.3847375134937465,0.001000000000000001
expVsPrag,0.6269088974222541,0.001000000000000001
alpha,6.813329155556858,0.009000000000000008
beta,0.4150069411844015,0.009000000000000008
expVsPrag,0.6269088974222541,0.009000000000000008
alpha,6.813329155556858,0.004000000000000005
beta,0.5068668345920742,0.004000000000000005
expVsPrag,0.6269088974222541,0.004000000000000005
alpha,6.3245871011167765,0.006000000000000009
beta,0.5068668345920742,0.006000000000000009
expVsPrag,0.6269088974222541,0.006000000000000009
alpha,6.3245871011167765,0.004000000000000005
beta,0.5068668345920742,0.004000000000000005
expVsPrag,0.5650311519857496,0.004000000000000005
alpha,6.3245871011167765,0.001000000000000001
beta,0.4728370748925954,0.001000000000000001
expVsPrag,0.5650311519857496,0.001000000000000001
alpha,6.3245871011167765,0.02600000000000003
beta,0.4728370748925954,0.02600000000000003
expVsPrag,0.9623678976204246,0.02600000000000003
alpha,6.3245871011167765,0.004000000000000005
beta,0.4728370748925954,0.004000000000000005
expVsPrag,0.5381892314180732,0.004000000000000005
alpha,6.3245871011167765,0.0030000000000000044
beta,0.4728370748925954,0.0030000000000000044
expVsPrag,0.5808734367601573,0.0030000000000000044
alpha,6.3245871011167765,0.01300000000000002
beta,0.4728370748925954,0.01300000000000002
