parameter,value,MCMCprob
alpha,15,3.742656800199717e-124
beta,1,3.742656800199717e-124
expPragFlip,false,3.742656800199717e-124
alpha,15,2.204746477183708e-220
beta,1,2.204746477183708e-220
expPragFlip,true,2.204746477183708e-220
alpha,15,3.0586676922693697e-112
beta,0.95,3.0586676922693697e-112
expPragFlip,false,3.0586676922693697e-112
alpha,15,8.445126464218658e-205
beta,0.95,8.445126464218658e-205
expPragFlip,true,8.445126464218658e-205
alpha,15,3.2405832730427046e-101
beta,0.9,3.2405832730427046e-101
expPragFlip,false,3.2405832730427046e-101
alpha,15,6.120593659053324e-191
beta,0.9,6.120593659053324e-191
expPragFlip,true,6.120593659053324e-191
alpha,15,5.019267074132667e-91
beta,0.85,5.019267074132667e-91
expPragFlip,false,5.019267074132667e-91
alpha,15,2.457279757905858e-177
beta,0.85,2.457279757905858e-177
expPragFlip,true,2.457279757905858e-177
alpha,15,1.3237223005924267e-81
beta,0.8,1.3237223005924267e-81
expPragFlip,false,1.3237223005924267e-81
alpha,15,1.8076737258054513e-163
beta,0.8,1.8076737258054513e-163
expPragFlip,true,1.8076737258054513e-163
alpha,15,6.967349160635805e-73
beta,0.75,6.967349160635805e-73
expPragFlip,false,6.967349160635805e-73
alpha,15,6.374796455182679e-152
beta,0.75,6.374796455182679e-152
expPragFlip,true,6.374796455182679e-152
alpha,15,8.465808481489038e-65
beta,0.7,8.465808481489038e-65
expPragFlip,false,8.465808481489038e-65
alpha,15,1.6405853105197233e-147
beta,0.7,1.6405853105197233e-147
expPragFlip,true,1.6405853105197233e-147
alpha,15,2.68066385234022e-57
beta,0.65,2.68066385234022e-57
expPragFlip,false,2.68066385234022e-57
alpha,15,3.1585317665042545e-149
beta,0.65,3.1585317665042545e-149
expPragFlip,true,3.1585317665042545e-149
alpha,15,2.4252302310582095e-50
beta,0.6,2.4252302310582095e-50
expPragFlip,false,2.4252302310582095e-50
alpha,15,9.011279576992647e-154
beta,0.6,9.011279576992647e-154
expPragFlip,true,9.011279576992647e-154
alpha,15,6.661503020435749e-44
beta,0.55,6.661503020435749e-44
expPragFlip,false,6.661503020435749e-44
alpha,15,1.4931132686094282e-158
beta,0.55,1.4931132686094282e-158
expPragFlip,true,1.4931132686094282e-158
alpha,15,5.708489737954806e-38
beta,0.5,5.708489737954806e-38
expPragFlip,false,5.708489737954806e-38
alpha,15,2.2870363090746184e-162
beta,0.5,2.2870363090746184e-162
expPragFlip,true,2.2870363090746184e-162
alpha,15,1.5102158092980276e-32
beta,0.45,1.5102158092980276e-32
expPragFlip,false,1.5102158092980276e-32
alpha,15,7.767988817407472e-167
beta,0.45,7.767988817407472e-167
expPragFlip,true,7.767988817407472e-167
alpha,15,1.1666642215076553e-27
beta,0.4,1.1666642215076553e-27
expPragFlip,false,1.1666642215076553e-27
alpha,15,5.928302392130516e-177
beta,0.4,5.928302392130516e-177
expPragFlip,true,5.928302392130516e-177
alpha,15,2.3521011672646718e-23
beta,0.35,2.3521011672646718e-23
expPragFlip,false,2.3521011672646718e-23
alpha,15,8.080562024378295e-190
beta,0.35,8.080562024378295e-190
expPragFlip,true,8.080562024378295e-190
alpha,15,1.0288365936243782e-19
beta,0.3,1.0288365936243782e-19
expPragFlip,false,1.0288365936243782e-19
alpha,15,1.9533501237270238e-200
beta,0.3,1.9533501237270238e-200
expPragFlip,true,1.9533501237270238e-200
alpha,15,7.409502434169826e-17
beta,0.25,7.409502434169826e-17
expPragFlip,false,7.409502434169826e-17
alpha,15,6.896100659072765e-208
beta,0.25,6.896100659072765e-208
expPragFlip,true,6.896100659072765e-208
alpha,15,5.979921674273472e-15
beta,0.2,5.979921674273472e-15
expPragFlip,false,5.979921674273472e-15
alpha,15,1.7292318923908808e-212
beta,0.2,1.7292318923908808e-212
expPragFlip,true,1.7292318923908808e-212
alpha,15,3.279433538257357e-14
beta,0.15,3.279433538257357e-14
expPragFlip,false,3.279433538257357e-14
alpha,15,6.134914605974231e-215
beta,0.15,6.134914605974231e-215
expPragFlip,true,6.134914605974231e-215
alpha,15,6.736560420903441e-15
beta,0.1,6.736560420903441e-15
expPragFlip,false,6.736560420903441e-15
alpha,15,1.9204299652268175e-216
beta,0.1,1.9204299652268175e-216
expPragFlip,true,1.9204299652268175e-216
alpha,15,2.767105718302042e-17
beta,0.05,2.767105718302042e-17
expPragFlip,false,2.767105718302042e-17
alpha,15,2.8014447891785465e-219
beta,0.05,2.8014447891785465e-219
expPragFlip,true,2.8014447891785465e-219
alpha,15,1.3041367469641509e-21
beta,0,1.3041367469641509e-21
expPragFlip,false,1.3041367469641509e-21
alpha,15,3.703779181388949e-227
beta,0,3.703779181388949e-227
expPragFlip,true,3.703779181388949e-227
alpha,14.75,7.989840479416924e-122
beta,1,7.989840479416924e-122
expPragFlip,false,7.989840479416924e-122
alpha,14.75,7.056270282515086e-213
beta,1,7.056270282515086e-213
expPragFlip,true,7.056270282515086e-213
alpha,14.75,4.3839870438738715e-110
beta,0.95,4.3839870438738715e-110
expPragFlip,false,4.3839870438738715e-110
alpha,14.75,1.4860516485002985e-197
beta,0.95,1.4860516485002985e-197
expPragFlip,true,1.4860516485002985e-197
alpha,14.75,3.272654533273119e-99
beta,0.9,3.272654533273119e-99
expPragFlip,false,3.272654533273119e-99
alpha,14.75,6.036003482371866e-184
beta,0.9,6.036003482371866e-184
expPragFlip,true,6.036003482371866e-184
alpha,14.75,3.723290469232243e-89
beta,0.85,3.723290469232243e-89
expPragFlip,false,3.723290469232243e-89
alpha,14.75,1.0876230947458697e-170
beta,0.85,1.0876230947458697e-170
expPragFlip,true,1.0876230947458697e-170
alpha,14.75,7.45818768644262e-80
beta,0.8,7.45818768644262e-80
expPragFlip,false,7.45818768644262e-80
alpha,14.75,2.3849389860971486e-157
beta,0.8,2.3849389860971486e-157
expPragFlip,true,2.3849389860971486e-157
alpha,14.75,3.059250840451821e-71
beta,0.75,3.059250840451821e-71
expPragFlip,false,3.059250840451821e-71
alpha,14.75,2.2919402617827965e-146
beta,0.75,2.2919402617827965e-146
expPragFlip,true,2.2919402617827965e-146
alpha,14.75,2.9530718567529004e-63
beta,0.7,2.9530718567529004e-63
expPragFlip,false,2.9530718567529004e-63
alpha,14.75,3.888664324368478e-142
beta,0.7,3.888664324368478e-142
expPragFlip,true,3.888664324368478e-142
alpha,14.75,7.5346076101475035e-56
beta,0.65,7.5346076101475035e-56
expPragFlip,false,7.5346076101475035e-56
alpha,14.75,9.454227579158933e-144
beta,0.65,9.454227579158933e-144
expPragFlip,true,9.454227579158933e-144
alpha,14.75,5.5493160661448155e-49
beta,0.6,5.5493160661448155e-49
expPragFlip,false,5.5493160661448155e-49
alpha,14.75,4.4094618796737015e-148
beta,0.6,4.4094618796737015e-148
expPragFlip,true,4.4094618796737015e-148
alpha,14.75,1.2497150745299214e-42
beta,0.55,1.2497150745299214e-42
expPragFlip,false,1.2497150745299214e-42
alpha,14.75,1.0841652916764612e-152
beta,0.55,1.0841652916764612e-152
expPragFlip,true,1.0841652916764612e-152
alpha,14.75,8.81921370013438e-37
beta,0.5,8.81921370013438e-37
expPragFlip,false,8.81921370013438e-37
alpha,14.75,1.9434791362918747e-156
beta,0.5,1.9434791362918747e-156
expPragFlip,true,1.9434791362918747e-156
alpha,14.75,1.9254197691640125e-31
beta,0.45,1.9254197691640125e-31
expPragFlip,false,1.9254197691640125e-31
alpha,14.75,8.313015144414724e-161
beta,0.45,8.313015144414724e-161
expPragFlip,true,8.313015144414724e-161
alpha,14.75,1.2277539212646585e-26
beta,0.4,1.2277539212646585e-26
expPragFlip,false,1.2277539212646585e-26
alpha,14.75,1.8675212877855067e-170
beta,0.4,1.8675212877855067e-170
expPragFlip,true,1.8675212877855067e-170
alpha,14.75,2.041588668774654e-22
beta,0.35,2.041588668774654e-22
expPragFlip,false,2.041588668774654e-22
alpha,14.75,6.301888707983379e-183
beta,0.35,6.301888707983379e-183
expPragFlip,true,6.301888707983379e-183
alpha,14.75,7.364709640731885e-19
beta,0.3,7.364709640731885e-19
expPragFlip,false,7.364709640731885e-19
alpha,14.75,2.24447092050004e-193
beta,0.3,2.24447092050004e-193
expPragFlip,true,2.24447092050004e-193
alpha,14.75,4.389484702722977e-16
beta,0.25,4.389484702722977e-16
expPragFlip,false,4.389484702722977e-16
alpha,14.75,8.448953168019499e-201
beta,0.25,8.448953168019499e-201
expPragFlip,true,8.448953168019499e-201
alpha,14.75,2.9669140415390624e-14
beta,0.2,2.9669140415390624e-14
expPragFlip,false,2.9669140415390624e-14
alpha,14.75,1.799509019821347e-205
beta,0.2,1.799509019821347e-205
expPragFlip,true,1.799509019821347e-205
alpha,14.75,1.4000082575857082e-13
beta,0.15,1.4000082575857082e-13
expPragFlip,false,1.4000082575857082e-13
alpha,14.75,4.477964813886812e-208
beta,0.15,4.477964813886812e-208
expPragFlip,true,4.477964813886812e-208
alpha,14.75,2.6002029223958224e-14
beta,0.1,2.6002029223958224e-14
expPragFlip,false,2.6002029223958224e-14
alpha,14.75,8.446283328434575e-210
beta,0.1,8.446283328434575e-210
expPragFlip,true,8.446283328434575e-210
alpha,14.75,1.0427359247372772e-16
beta,0.05,1.0427359247372772e-16
expPragFlip,false,1.0427359247372772e-16
alpha,14.75,7.686595829927371e-213
beta,0.05,7.686595829927371e-213
expPragFlip,true,7.686595829927371e-213
alpha,14.75,5.3110112946325705e-21
beta,0,5.3110112946325705e-21
expPragFlip,false,5.3110112946325705e-21
alpha,14.75,1.1815407886324648e-220
