parameter,item1,item2,value,alpha,beta,expPragFlip,prob,MCMCprob
couch,branching,artifact,thing,20,1,pragmatic,3.4622910301183836e-10,0
couch,branching,artifact,seat,20,1,pragmatic,3.462294931184931e-10,0
couch,branching,artifact,furniture,20,1,pragmatic,4.190802502462329e-10,0
couch,branching,artifact,couch,20,1,pragmatic,0.9999999988884625,0
chair,branching,artifact,thing,20,1,pragmatic,3.460744187772669e-10,0
chair,branching,artifact,seat,20,1,pragmatic,0.9999999989617727,0
chair,branching,artifact,furniture,20,1,pragmatic,3.46084890271645e-10,0
chair,branching,artifact,couch,20,1,pragmatic,3.46068509405803e-10,0
table,branching,artifact,thing,20,1,pragmatic,0.000002914601432133357,0
table,branching,artifact,seat,20,1,pragmatic,4.18928948847076e-10,0
table,branching,artifact,furniture,20,1,pragmatic,0.9999970845605164,0
table,branching,artifact,couch,20,1,pragmatic,4.191238011617789e-10,0
lawnmower,branching,artifact,thing,20,1,pragmatic,0.9999927767181878,0
lawnmower,branching,artifact,seat,20,1,pragmatic,0.000002407712758995752,0
lawnmower,branching,artifact,furniture,20,1,pragmatic,0.0000024078561538777463,0
lawnmower,branching,artifact,couch,20,1,pragmatic,0.0000024077129000611325,0
dalmatian,branching,animals,pet,20,1,pragmatic,3.810032414660298e-10,0
dalmatian,branching,animals,dog,20,1,pragmatic,6.896442094857176e-10,0
dalmatian,branching,animals,dalmatian,20,1,pragmatic,0.9999999985483754,0
dalmatian,branching,animals,animal,20,1,pragmatic,3.8097717707121573e-10,0
poodle,branching,animals,pet,20,1,pragmatic,3.084300317632557e-7,0
poodle,branching,animals,dog,20,1,pragmatic,0.9999996881368804,0
poodle,branching,animals,dalmatian,20,1,pragmatic,7.398958162310307e-10,0
poodle,branching,animals,animal,20,1,pragmatic,2.6931930327708432e-9,0
siamese cat,branching,animals,pet,20,1,pragmatic,0.9999988990089456,0
siamese cat,branching,animals,dog,20,1,pragmatic,1.5622429448123866e-7,0
siamese cat,branching,animals,dalmatian,20,1,pragmatic,1.5570383272269156e-7,0
siamese cat,branching,animals,animal,20,1,pragmatic,7.890629234315321e-7,0
whale,branching,animals,pet,20,1,pragmatic,6.889587475870902e-9,0
whale,branching,animals,dog,20,1,pragmatic,7.514577001299422e-9,0
whale,branching,animals,dalmatian,20,1,pragmatic,7.02761879441211e-9,0
whale,branching,animals,animal,20,1,pragmatic,0.9999999785682159,0
cottage,branching,places,place,20,1,pragmatic,3.37143061527607e-10,0
cottage,branching,places,mansion,20,1,pragmatic,3.3711757020991006e-10,0
cottage,branching,places,house,20,1,pragmatic,0.9999999989886206,0
cottage,branching,places,building,20,1,pragmatic,3.371206056484529e-10,0
mansion,branching,places,place,20,1,pragmatic,3.3713742766276444e-10,0
mansion,branching,places,mansion,20,1,pragmatic,0.9999999989886277,0
mansion,branching,places,house,20,1,pragmatic,3.371175042203279e-10,0
mansion,branching,places,building,20,1,pragmatic,3.371169738858986e-10,0
office,branching,places,place,20,1,pragmatic,3.3716998348617265e-10,0
office,branching,places,mansion,20,1,pragmatic,3.3712020887783156e-10,0
office,branching,places,house,20,1,pragmatic,3.3712020887866034e-10,0
office,branching,places,building,20,1,pragmatic,0.9999999989885886,0
park,branching,places,place,20,1,pragmatic,0.9999999989883612,0
park,branching,places,mansion,20,1,pragmatic,3.3721270139646275e-10,0
park,branching,places,house,20,1,pragmatic,3.372127674038528e-10,0
park,branching,places,building,20,1,pragmatic,3.372129010101059e-10,0
carrot,branching,plants,plant,20,1,pragmatic,6.522433478699267e-10,0
carrot,branching,plants,living plant,20,1,pragmatic,6.52243351432303e-10,0
carrot,branching,plants,food,20,1,pragmatic,6.523391502977632e-10,0
carrot,branching,plants,carrot,20,1,pragmatic,0.999999998043176,0
dead flower,branching,plants,plant,20,1,pragmatic,0.9939188217257477,0
dead flower,branching,plants,living plant,20,1,pragmatic,0.00011299453238580402,0
dead flower,branching,plants,food,20,1,pragmatic,0.0059164137466996645,0
dead flower,branching,plants,carrot,20,1,pragmatic,0.0000517699951666556,0
tomatos,branching,plants,plant,20,1,pragmatic,2.2447775207775827e-8,0
tomatos,branching,plants,living plant,20,1,pragmatic,0.7384641720638204,0
tomatos,branching,plants,food,20,1,pragmatic,0.2615357854669597,0
tomatos,branching,plants,carrot,20,1,pragmatic,2.002144406619305e-8,0
sunflower,branching,plants,plant,20,1,pragmatic,0.9997042456557117,0
sunflower,branching,plants,living plant,20,1,pragmatic,0.00026730611558021514,0
sunflower,branching,plants,food,20,1,pragmatic,0.000014412599299124975,0
sunflower,branching,plants,carrot,20,1,pragmatic,0.000014035629409717878,0
iron skillet,overlapping,artifact,thing,20,1,pragmatic,2.931512393480694e-10,0
iron skillet,overlapping,artifact,skillet,20,1,pragmatic,0.9999999990697788,0
iron skillet,overlapping,artifact,seat,20,1,pragmatic,2.9314991786308556e-10,0
iron skillet,overlapping,artifact,metal thing,20,1,pragmatic,3.439216064718854e-10,0
metal chair,overlapping,artifact,thing,20,1,pragmatic,4.702685538256011e-10,0
metal chair,overlapping,artifact,skillet,20,1,pragmatic,3.4396524133449e-10,0
metal chair,overlapping,artifact,seat,20,1,pragmatic,0.0000014602912850069315,0
metal chair,overlapping,artifact,metal thing,20,1,pragmatic,0.9999985388944823,0
wooden chair,overlapping,artifact,thing,20,1,pragmatic,0.0000012445179204218532,0
wooden chair,overlapping,artifact,skillet,20,1,pragmatic,0.000001244518002811186,0
