parameter,value,MCMCprob
alpha,15,2.2935936013978224e-7
beta,0,2.2935936013978224e-7
expPragFlip,false,2.2935936013978224e-7
alpha,15,6.513860031319367e-213
beta,0,6.513860031319367e-213
expPragFlip,true,6.513860031319367e-213
alpha,14.9,4.0570974165835356e-7
beta,0,4.0570974165835356e-7
expPragFlip,false,4.0570974165835356e-7
alpha,14.9,2.5891039254261654e-210
beta,0,2.5891039254261654e-210
expPragFlip,true,2.5891039254261654e-210
alpha,14.8,7.094552552311434e-7
beta,0,7.094552552311434e-7
expPragFlip,false,7.094552552311434e-7
alpha,14.8,1.036115510843785e-207
beta,0,1.036115510843785e-207
expPragFlip,true,1.036115510843785e-207
alpha,14.7,0.0000012260904489036623
beta,0,0.0000012260904489036623
expPragFlip,false,0.0000012260904489036623
alpha,14.7,4.174568366774631e-205
beta,0,4.174568366774631e-205
expPragFlip,true,4.174568366774631e-205
alpha,14.6,0.000002093543755271637
beta,0,0.000002093543755271637
expPragFlip,false,0.000002093543755271637
alpha,14.6,1.6933805626063684e-202
beta,0,1.6933805626063684e-202
expPragFlip,true,1.6933805626063684e-202
alpha,14.5,0.00000353081059954362
beta,0,0.00000353081059954362
expPragFlip,false,0.00000353081059954362
alpha,14.5,6.91559753308431e-200
beta,0,6.91559753308431e-200
expPragFlip,true,6.91559753308431e-200
alpha,14.4,0.000005879861260434565
beta,0,0.000005879861260434565
expPragFlip,false,0.000005879861260434565
alpha,14.4,2.843328952913528e-197
beta,0,2.843328952913528e-197
expPragFlip,true,2.843328952913528e-197
alpha,14.3,0.00000966549212811381
beta,0,0.00000966549212811381
expPragFlip,false,0.00000966549212811381
alpha,14.3,1.1768856993579146e-194
beta,0,1.1768856993579146e-194
expPragFlip,true,1.1768856993579146e-194
alpha,14.2,0.00001567853549167397
beta,0,0.00001567853549167397
expPragFlip,false,0.00001567853549167397
alpha,14.2,4.903837221791353e-192
beta,0,4.903837221791353e-192
expPragFlip,true,4.903837221791353e-192
alpha,14.1,0.000025088135037228965
beta,0,0.000025088135037228965
expPragFlip,false,0.000025088135037228965
alpha,14.1,2.056905377224258e-189
beta,0,2.056905377224258e-189
expPragFlip,true,2.056905377224258e-189
alpha,14,0.00003958818616084279
beta,0,0.00003958818616084279
expPragFlip,false,0.00003958818616084279
alpha,14,8.684563253164894e-187
beta,0,8.684563253164894e-187
expPragFlip,true,8.684563253164894e-187
alpha,13.9,0.00006158093645526044
beta,0,0.00006158093645526044
expPragFlip,false,0.00006158093645526044
alpha,13.9,3.6907340175593216e-184
beta,0,3.6907340175593216e-184
expPragFlip,true,3.6907340175593216e-184
alpha,13.8,0.0000943964351011339
beta,0,0.0000943964351011339
expPragFlip,false,0.0000943964351011339
alpha,13.8,1.578632092411961e-181
beta,0,1.578632092411961e-181
expPragFlip,true,1.578632092411961e-181
alpha,13.7,0.00014253929650990347
beta,0,0.00014253929650990347
expPragFlip,false,0.00014253929650990347
alpha,13.7,6.795497807408033e-179
beta,0,6.795497807408033e-179
expPragFlip,true,6.795497807408033e-179
alpha,13.6,0.0002119435775101946
beta,0,0.0002119435775101946
expPragFlip,false,0.0002119435775101946
alpha,13.6,2.943735513474207e-176
beta,0,2.943735513474207e-176
expPragFlip,true,2.943735513474207e-176
alpha,13.5,0.00031020241511189314
beta,0,0.00031020241511189314
expPragFlip,false,0.00031020241511189314
alpha,13.5,1.2831412755549108e-173
beta,0,1.2831412755549108e-173
expPragFlip,true,1.2831412755549108e-173
alpha,13.4,0.0004467222493046842
beta,0,0.0004467222493046842
expPragFlip,false,0.0004467222493046842
alpha,13.4,5.627365910467223e-171
beta,0,5.627365910467223e-171
expPragFlip,true,5.627365910467223e-171
alpha,13.3,0.0006327340359113117
beta,0,0.0006327340359113117
expPragFlip,false,0.0006327340359113117
alpha,13.3,2.482808351351937e-168
beta,0,2.482808351351937e-168
expPragFlip,true,2.482808351351937e-168
alpha,13.2,0.0008810794704605449
beta,0,0.0008810794704605449
expPragFlip,false,0.0008810794704605449
alpha,13.2,1.1018849963839574e-165
beta,0,1.1018849963839574e-165
expPragFlip,true,1.1018849963839574e-165
alpha,13.1,0.0012056841167355026
beta,0,0.0012056841167355026
expPragFlip,false,0.0012056841167355026
alpha,13.1,4.918436393106027e-163
beta,0,4.918436393106027e-163
expPragFlip,true,4.918436393106027e-163
alpha,13,0.0016206378285057127
beta,0,0.0016206378285057127
expPragFlip,false,0.0016206378285057127
alpha,13,2.2077656735845287e-160
beta,0,2.2077656735845287e-160
expPragFlip,true,2.2077656735845287e-160
alpha,12.9,0.002138832381563292
beta,0,0.002138832381563292
expPragFlip,false,0.002138832381563292
alpha,12.9,9.964277952817589e-158
beta,0,9.964277952817589e-158
expPragFlip,true,9.964277952817589e-158
alpha,12.8,0.0027701614423516906
beta,0,0.0027701614423516906
expPragFlip,false,0.0027701614423516906
alpha,12.8,4.5209686935122406e-155
beta,0,4.5209686935122406e-155
expPragFlip,true,4.5209686935122406e-155
alpha,12.7,0.0035193694097569346
beta,0,0.0035193694097569346
expPragFlip,false,0.0035193694097569346
alpha,12.7,2.0617192657094685e-152
beta,0,2.0617192657094685e-152
expPragFlip,true,2.0617192657094685e-152
alpha,12.6,0.0043837372322771285
beta,0,0.0043837372322771285
expPragFlip,false,0.0043837372322771285
alpha,12.6,9.448280103269754e-150
beta,0,9.448280103269754e-150
expPragFlip,true,9.448280103269754e-150
alpha,12.5,0.005350900683643359
beta,0,0.005350900683643359
expPragFlip,false,0.005350900683643359
alpha,12.5,4.350176493518254e-147
beta,0,4.350176493518254e-147
expPragFlip,true,4.350176493518254e-147
