alpha,beta,modelType,logLikelihood,posteriorProb
14.9,1,A2_emp,-741.4276004523616,-149.2769088915725
14.9,0.9,A2_emp,-720.2554415077309,-128.10474994694164
14.9,0.8,A2_emp,-702.495533838495,-110.34484227770577
14.9,0.7,A2_emp,-689.0995918829694,-96.94890032218018
14.9,0.6,A2_emp,-680.849174757242,-88.6984831964528
14.9,0.5,A2_emp,-677.8556804192224,-85.70498885843313
14.9,0.4,A2_emp,-680.0596558788807,-87.90896431809144
14.9,0.3,A2_emp,-687.2861320547606,-95.13544049397139
14.9,0.2,A2_emp,-699.5252481094968,-107.3745565487077
14.9,0.1,A2_emp,-717.219570620299,-125.06887905950975
14.9,0,A2_emp,-741.292525318346,-149.14183375755673
14.8,1,A2_emp,-739.3940728295199,-147.2433812687307
14.8,0.9,A2_emp,-718.3056126647379,-126.15492110394871
14.8,0.8,A2_emp,-700.6253091735113,-108.47461761272211
14.8,0.7,A2_emp,-687.2780415309397,-95.12734997015059
14.8,0.6,A2_emp,-679.0334201154569,-86.88272855466766
14.8,0.5,A2_emp,-676.0124358189897,-83.86174425820059
14.8,0.4,A2_emp,-678.1646525157116,-86.01396095492237
14.8,0.3,A2_emp,-685.3273376803625,-93.1766461195732
14.8,0.2,A2_emp,-697.4975144340121,-105.34682287322289
14.8,0.1,A2_emp,-715.1109647263758,-122.96027316558661
14.8,0,A2_emp,-739.0836984682387,-146.93300690744945
14.7,1,A2_emp,-737.36994899707,-145.2192574362807
14.7,0.9,A2_emp,-716.3649739855798,-124.21428242479055
14.7,0.8,A2_emp,-698.7639952470715,-106.61330368628228
14.7,0.7,A2_emp,-685.4654135670833,-93.314722006294
14.7,0.6,A2_emp,-677.2269321879438,-85.07624062715469
14.7,0.5,A2_emp,-674.1789118254871,-82.0282202646979
14.7,0.4,A2_emp,-676.2799258617841,-84.129234300995
14.7,0.3,A2_emp,-683.3793170595086,-91.22862549871934
14.7,0.2,A2_emp,-695.4808704954175,-103.33017893462831
14.7,0.1,A2_emp,-713.0137842651018,-120.86309270431252
14.7,0,A2_emp,-736.8868134171739,-144.73612185638467
14.6,1,A2_emp,-735.3554059730444,-143.20471441225527
14.6,0.9,A2_emp,-714.4337064997217,-122.28301493893241
14.6,0.8,A2_emp,-696.9117759481533,-104.76108438736402
14.6,0.7,A2_emp,-683.6618985525629,-91.51120699177363
14.6,0.6,A2_emp,-675.4299147558911,-83.27922319510185
14.6,0.5,A2_emp,-672.3553306097049,-80.20463904891562
14.6,0.4,A2_emp,-674.405716501195,-82.25502494040575
14.6,0.3,A2_emp,-681.4423283968792,-89.29163683608999
14.6,0.2,A2_emp,-693.4755920790594,-101.32490051827017
14.6,0.1,A2_emp,-710.9283217642843,-118.77763020349518
14.6,0,A2_emp,-734.7021712296624,-142.5514796688733
14.5,1,A2_emp,-733.3506247928615,-141.19993323207223
14.5,0.9,A2_emp,-712.5119958304339,-120.36130426964473
14.5,0.8,A2_emp,-695.0688402236216,-102.91814866283244
14.5,0.7,A2_emp,-681.8676924847159,-89.71700092392666
14.5,0.6,A2_emp,-673.6425774133339,-81.49188585254478
14.5,0.5,A2_emp,-670.5419206244871,-78.39122906369789
14.5,0.4,A2_emp,-672.5422717725145,-80.39158021172535
14.5,0.3,A2_emp,-679.516637098705,-87.36594553791588
14.5,0.2,A2_emp,-691.4819626053214,-99.3312710445323
14.5,0.1,A2_emp,-708.8548776052082,-116.70418604441898
14.5,0,A2_emp,-732.5300807447265,-140.37938918393732
14.4,1,A2_emp,-731.3557906146452,-139.20509905385597
14.4,0.9,A2_emp,-710.600032330648,-118.44934076985874
14.4,0.8,A2_emp,-693.2353822425054,-101.08469068171621
14.4,0.7,A2_emp,-680.0829969833059,-87.93230542251672
14.4,0.6,A2_emp,-671.8651357686199,-79.71444420783064
14.4,0.5,A2_emp,-668.7389168170037,-76.5882252562144
14.4,0.4,A2_emp,-670.6898459906838,-78.53915442989455
14.4,0.3,A2_emp,-677.6025160004502,-85.4518244396611
14.4,0.2,A2_emp,-689.5002733559633,-97.34958179517412
14.4,0.1,A2_emp,-706.7937602375384,-114.6430686767492
14.4,0,A2_emp,-730.3708587782858,-138.2201672174965
14.3,1,A2_emp,-729.371092828457,-137.22040126766774
14.3,0.9,A2_emp,-708.698011223882,-116.54731966309282
14.3,0.8,A2_emp,-691.4116015666973,-99.26091000590804
14.3,0.7,A2_emp,-678.308019484343,-86.1573279235538
14.3,0.6,A2_emp,-670.0978116541658,-77.9471200933765
14.3,0.5,A2_emp,-666.9465608497693,-74.79586928898017
14.3,0.4,A2_emp,-668.8487006774415,-76.69800911665222
14.3,0.3,A2_emp,-675.7002456026742,-83.5495540418849
14.3,0.2,A2_emp,-687.5308237078198,-95.38013214703051
14.3,0.1,A2_emp,-704.7452864006242,-112.59459483983507
14.3,0,A2_emp,-728.2248303313881,-136.0741387705989
14.2,1,A2_emp,-727.396725169691,-135.24603360890183
14.2,0.9,A2_emp,-706.8061327505271,-114.655441189738
14.2,0.8,A2_emp,-689.5977033284131,-97.44701176762396
14.2,0.7,A2_emp,-676.5429734418453,-84.39228188105608
14.2,0.6,A2_emp,-668.340833344917,-76.19014178412772
14.2,0.5,A2_emp,-665.1651013306249,-73.01440976983577
14.2,0.4,A2_emp,-667.0191048006603,-74.86841323987119
14.2,0.3,A2_emp,-673.8101143154124,-81.65942275462317
14.2,0.2,A2_emp,-685.5739213741465,-93.42322981335724
14.2,0.1,A2_emp,-702.7097813514634,-110.5590897906743
14.2,0,A2_emp,-726.0923288045545,-133.9416372437654
14.1,1,A2_emp,-725.4328858369056,-133.28219427611634
14.1,0.9,A2_emp,-704.9246023198116,-112.77391075902234
14.1,0.8,A2_emp,-687.7938984147605,-95.64320685397139
14.1,0.7,A2_emp,-674.7880785379543,-82.63738697716508
14.1,0.6,A2_emp,-666.5944357859439,-74.44374422515466
14.1,0.5,A2_emp,-663.3947940521102,-71.24410249132097
14.1,0.4,A2_emp,-665.2013350229998,-73.0506434622107
14.1,0.3,A2_emp,-671.9324187114363,-79.78172715064717
14.1,0.2,A2_emp,-683.6298826539117,-91.47919109312261
14.1,0.1,A2_emp,-700.6875790995932,-108.53688753880397
14.1,0,A2_emp,-723.9736962184784,-131.82300465768913
14,1,A2_emp,-723.4797776143976,-131.3290860536083
14,0.9,A2_emp,-703.0536306677625,-110.90293910697324
14,0.8,A2_emp,-686.0004036598066,-93.84971209901732
14,0.7,A2_emp,-673.0435609018177,-80.89286934102847
14,0.6,A2_emp,-664.8588608296202,-72.70816926883094
14,0.5,A2_emp,-661.63590224067,-69.48521067988077
14,0.4,A2_emp,-663.3956759602886,-71.24498439949934
14,0.3,A2_emp,-670.0674637887621,-77.91677222797284
14,0.2,A2_emp,-681.6990326893643,-89.54834112857522
14,0.1,A2_emp,-698.6790226492018,-106.52833108841264
14,0,A2_emp,-721.8692834413768,-129.7185918805876
13.9,1,A2_emp,-721.5376079998474,-129.38691643905827
13.9,0.9,A2_emp,-701.1934340215438,-109.04274246075465
13.9,0.8,A2_emp,-684.2174420445517,-92.06675048376246
13.9,0.7,A2_emp,-671.3096533377169,-79.15896177692775
13.9,0.6,A2_emp,-663.1343574828858,-70.98366592209663
13.9,0.5,A2_emp,-659.8886968161949,-67.7380052554056
13.9,0.4,A2_emp,-661.6024204501025,-69.45172888931324
13.9,0.3,A2_emp,-668.2155632428187,-76.06487168202943
13.9,0.2,A2_emp,-679.7817057322153,-87.63101417142617
13.9,0.1,A2_emp,-696.6844642487695,-104.53377268798022
13.9,0,A2_emp,-719.779450423289,-127.62875886249981
13.8,1,A2_emp,-719.6065893373781,-127.45589777658893
13.8,0.9,A2_emp,-699.3442342705417,-107.19354270975259
13.8,0.8,A2_emp,-682.4452429052454,-90.2945513444563
13.8,0.7,A2_emp,-669.5865955629005,-77.43590400211133
13.8,0.6,A2_emp,-661.4211821650805,-69.27049060429135
13.8,0.5,A2_emp,-658.1534566623775,-66.00276510158824
13.8,0.4,A2_emp,-659.8218698309861,-67.67117827019683
13.8,0.3,A2_emp,-666.377039748671,-74.22634818788174
13.8,0.2,A2_emp,-677.878245418783,-85.72755385799384
13.8,0.1,A2_emp,-694.7042656485625,-102.55357408777333
13.8,0,A2_emp,-717.7045664376348,-125.55387487684561
13.7,1,A2_emp,-717.6869389564317,-125.53624739564248
13.7,0.9,A2_emp,-697.506259144636,-105.35556758384679
13.7,0.8,A2_emp,-680.684042150513,-88.53335058972381
