parameter,value,MCMCprob
alpha,9.036677498370409,0.0009999999999999994
beta,0.20526481582783163,0.0009999999999999994
expVsPrag,0.027981970692053437,0.0009999999999999994
alpha,9.036677498370409,0.002999999999999999
beta,0.20526481582783163,0.002999999999999999
expVsPrag,0.05002779560163617,0.002999999999999999
alpha,9.036677498370409,0.002999999999999999
beta,0.20526481582783163,0.002999999999999999
expVsPrag,0.6275876688305289,0.002999999999999999
alpha,9.036677498370409,0.01699999999999999
beta,0.20526481582783163,0.01699999999999999
expVsPrag,0.017631634371355176,0.01699999999999999
alpha,9.036677498370409,0.003999999999999998
beta,0.20526481582783163,0.003999999999999998
expVsPrag,0.6160769497510046,0.003999999999999998
alpha,9.036677498370409,0.002999999999999999
beta,0.20526481582783163,0.002999999999999999
expVsPrag,0.6008537809830159,0.002999999999999999
alpha,9.036677498370409,0.003999999999999998
beta,0.20526481582783163,0.003999999999999998
expVsPrag,0.6762684311252087,0.003999999999999998
alpha,9.036677498370409,0.0009999999999999994
beta,0.20526481582783163,0.0009999999999999994
expVsPrag,0.463393940590322,0.0009999999999999994
alpha,9.036677498370409,0.002999999999999999
beta,0.20526481582783163,0.002999999999999999
expVsPrag,0.2487901400309056,0.002999999999999999
alpha,9.036677498370409,0.0009999999999999994
beta,0.20526481582783163,0.0009999999999999994
expVsPrag,0.18671747180633247,0.0009999999999999994
alpha,11.966371000744402,0.011999999999999999
beta,0.20526481582783163,0.011999999999999999
expVsPrag,0.18671747180633247,0.011999999999999999
alpha,11.966371000744402,0.00799999999999999
beta,0.1743695226032287,0.00799999999999999
expVsPrag,0.18671747180633247,0.00799999999999999
alpha,11.966371000744402,0.0009999999999999994
beta,0.17215872439555824,0.0009999999999999994
expVsPrag,0.18671747180633247,0.0009999999999999994
alpha,11.966371000744402,0.0009999999999999994
beta,0.17215872439555824,0.0009999999999999994
expVsPrag,0.10208954708650708,0.0009999999999999994
alpha,11.966371000744402,0.002999999999999999
beta,0.17215872439555824,0.002999999999999999
expVsPrag,0.04676790442317724,0.002999999999999999
alpha,11.966371000744402,0.012999999999999998
beta,0.17215872439555824,0.012999999999999998
expVsPrag,0.347788697341457,0.012999999999999998
alpha,11.966371000744402,0.0009999999999999994
beta,0.17215872439555824,0.0009999999999999994
expVsPrag,0.3216331598814577,0.0009999999999999994
alpha,11.966371000744402,0.005999999999999998
beta,0.17215872439555824,0.005999999999999998
expVsPrag,0.2964182635769248,0.005999999999999998
alpha,11.966371000744402,0.003999999999999998
beta,0.17215872439555824,0.003999999999999998
expVsPrag,0.8660197576973587,0.003999999999999998
alpha,11.966371000744402,0.0019999999999999987
beta,0.17215872439555824,0.0019999999999999987
expVsPrag,0.865911282831803,0.0019999999999999987
alpha,11.966371000744402,0.01699999999999999
beta,0.17215872439555824,0.01699999999999999
expVsPrag,0.09326550760306418,0.01699999999999999
alpha,11.966371000744402,0.005999999999999998
beta,0.17215872439555824,0.005999999999999998
expVsPrag,0.0843568928539753,0.005999999999999998
alpha,11.966371000744402,0.003999999999999998
beta,0.17215872439555824,0.003999999999999998
expVsPrag,0.2773595859762281,0.003999999999999998
alpha,11.966371000744402,0.002999999999999999
beta,0.17215872439555824,0.002999999999999999
expVsPrag,0.08526438404805958,0.002999999999999999
alpha,11.966371000744402,0.002999999999999999
beta,0.17215872439555824,0.002999999999999999
expVsPrag,0.010115297278389335,0.002999999999999999
alpha,11.966371000744402,0.002999999999999999
beta,0.17215872439555824,0.002999999999999999
expVsPrag,0.025333773344755173,0.002999999999999999
alpha,11.966371000744402,0.003999999999999998
beta,0.19491710746660829,0.003999999999999998
expVsPrag,0.025333773344755173,0.003999999999999998
alpha,11.966371000744402,0.002999999999999999
beta,0.19491710746660829,0.002999999999999999
expVsPrag,0.07816683570854366,0.002999999999999999
alpha,11.643797387368977,0.018999999999999982
beta,0.19491710746660829,0.018999999999999982
expVsPrag,0.07816683570854366,0.018999999999999982
alpha,11.643797387368977,0.018999999999999982
beta,0.19491710746660829,0.018999999999999982
expVsPrag,0.08576868590898812,0.018999999999999982
alpha,11.643797387368977,0.011999999999999999
beta,0.19070713012479246,0.011999999999999999
expVsPrag,0.08576868590898812,0.011999999999999999
alpha,11.643797387368977,0.011999999999999999
beta,0.19070713012479246,0.011999999999999999
expVsPrag,0.7254893034696579,0.011999999999999999
alpha,10.884428899735212,0.002999999999999999
beta,0.19070713012479246,0.002999999999999999
expVsPrag,0.7254893034696579,0.002999999999999999
alpha,11.702817222103477,0.002999999999999999
beta,0.19070713012479246,0.002999999999999999
expVsPrag,0.7254893034696579,0.002999999999999999
alpha,11.702817222103477,0.002999999999999999
beta,0.19070713012479246,0.002999999999999999
expVsPrag,0.49675305956043303,0.002999999999999999
alpha,11.702817222103477,0.00799999999999999
beta,0.19070713012479246,0.00799999999999999
expVsPrag,0.4890085661318153,0.00799999999999999
alpha,11.702817222103477,0.0009999999999999994
beta,0.19070713012479246,0.0009999999999999994
expVsPrag,0.3904394577257335,0.0009999999999999994
alpha,11.702817222103477,0.0049999999999999975
beta,0.19070713012479246,0.0049999999999999975
expVsPrag,0.30077602062374353,0.0049999999999999975
alpha,11.702817222103477,0.0009999999999999994
beta,0.19070713012479246,0.0009999999999999994
expVsPrag,0.2945643875282258,0.0009999999999999994
alpha,11.702817222103477,0.0009999999999999994
beta,0.14267568197101355,0.0009999999999999994
expVsPrag,0.2945643875282258,0.0009999999999999994
alpha,11.702817222103477,0.0009999999999999994
beta,0.14267568197101355,0.0009999999999999994
expVsPrag,0.42629229254089296,0.0009999999999999994
alpha,11.702817222103477,0.00799999999999999
beta,0.22726646438241005,0.00799999999999999
expVsPrag,0.42629229254089296,0.00799999999999999
alpha,11.702817222103477,0.0009999999999999994
beta,0.22726646438241005,0.0009999999999999994
expVsPrag,0.4826647012960166,0.0009999999999999994
alpha,11.702817222103477,0.003999999999999998
beta,0.22726646438241005,0.003999999999999998
expVsPrag,0.15191283309832215,0.003999999999999998
alpha,11.702817222103477,0.005999999999999998
beta,0.22726646438241005,0.005999999999999998
expVsPrag,0.07517029973678291,0.005999999999999998
alpha,11.702817222103477,0.0049999999999999975
beta,0.22726646438241005,0.0049999999999999975
expVsPrag,0.05937745957635343,0.0049999999999999975
alpha,11.702817222103477,0.008999999999999992
beta,0.22726646438241005,0.008999999999999992
expVsPrag,0.021507070632651448,0.008999999999999992
alpha,11.702817222103477,0.003999999999999998
beta,0.22726646438241005,0.003999999999999998
expVsPrag,0.3247834632638842,0.003999999999999998
alpha,11.702817222103477,0.003999999999999998
beta,0.22726646438241005,0.003999999999999998
expVsPrag,0.03012725990265608,0.003999999999999998
alpha,11.702817222103477,0.0009999999999999994
beta,0.22726646438241005,0.0009999999999999994
expVsPrag,0.6435457258485258,0.0009999999999999994
alpha,11.702817222103477,0.002999999999999999
beta,0.22726646438241005,0.002999999999999999
expVsPrag,0.6525666774250567,0.002999999999999999
alpha,11.702817222103477,0.009999999999999995
beta,0.22726646438241005,0.009999999999999995
expVsPrag,0.5184412165544927,0.009999999999999995
alpha,11.702817222103477,0.003999999999999998
beta,0.22726646438241005,0.003999999999999998
expVsPrag,0.7104473491199315,0.003999999999999998
alpha,11.702817222103477,0.002999999999999999
beta,0.22726646438241005,0.002999999999999999
expVsPrag,0.4408517812844366,0.002999999999999999
alpha,11.702817222103477,0.0049999999999999975
beta,0.22726646438241005,0.0049999999999999975
expVsPrag,0.14390459354035556,0.0049999999999999975
alpha,12.139898668974638,0.003999999999999998
beta,0.22726646438241005,0.003999999999999998
expVsPrag,0.14390459354035556,0.003999999999999998
alpha,10.666318289004266,0.006999999999999997
beta,0.22726646438241005,0.006999999999999997
expVsPrag,0.14390459354035556,0.006999999999999997
alpha,10.874097887426615,0.003999999999999998
beta,0.22726646438241005,0.003999999999999998
expVsPrag,0.14390459354035556,0.003999999999999998
alpha,10.874097887426615,0.009999999999999995
beta,0.22726646438241005,0.009999999999999995
expVsPrag,0.028690274339169264,0.009999999999999995
alpha,10.874097887426615,0.0049999999999999975
beta,0.18474644934758544,0.0049999999999999975
expVsPrag,0.028690274339169264,0.0049999999999999975
alpha,10.874097887426615,0.0019999999999999987
beta,0.18474644934758544,0.0019999999999999987
expVsPrag,0.3068366611842066,0.0019999999999999987
alpha,10.874097887426615,0.006999999999999997
beta,0.18474644934758544,0.006999999999999997
expVsPrag,0.3543539217207581,0.006999999999999997
alpha,10.874097887426615,0.0009999999999999994
beta,0.18474644934758544,0.0009999999999999994
expVsPrag,0.45398928807117045,0.0009999999999999994
alpha,12.076133359223604,0.005999999999999998
beta,0.18474644934758544,0.005999999999999998
expVsPrag,0.45398928807117045,0.005999999999999998
alpha,12.076133359223604,0.0019999999999999987
beta,0.18474644934758544,0.0019999999999999987
expVsPrag,0.2965410645119846,0.0019999999999999987
alpha,12.076133359223604,0.006999999999999997
beta,0.18474644934758544,0.006999999999999997
expVsPrag,0.5999652410391718,0.006999999999999997
alpha,12.076133359223604,0.008999999999999992
beta,0.1682957373559475,0.008999999999999992
expVsPrag,0.5999652410391718,0.008999999999999992
alpha,12.076133359223604,0.014999999999999984
beta,0.1682957373559475,0.014999999999999984
expVsPrag,0.06627167155966163,0.014999999999999984
alpha,12.076133359223604,0.0009999999999999994
beta,0.1682957373559475,0.0009999999999999994
expVsPrag,0.47015055594965816,0.0009999999999999994
alpha,12.076133359223604,0.0009999999999999994
beta,0.1682957373559475,0.0009999999999999994
expVsPrag,0.28023677901364863,0.0009999999999999994
alpha,12.076133359223604,0.0049999999999999975
beta,0.1682957373559475,0.0049999999999999975
expVsPrag,0.3280892411712557,0.0049999999999999975
alpha,12.076133359223604,0.002999999999999999
beta,0.1682957373559475,0.002999999999999999
expVsPrag,0.2225416270084679,0.002999999999999999
alpha,12.076133359223604,0.002999999999999999
beta,0.1682957373559475,0.002999999999999999
expVsPrag,0.5741216433234513,0.002999999999999999
alpha,12.076133359223604,0.003999999999999998
