parameter,value,MCMCprob
alpha,8.75,3.788975245655131e-66
beta,1,3.788975245655131e-66
modelType,pragmatic,3.788975245655131e-66
alpha,8.75,2.3992526766783284e-50
beta,0.9,2.3992526766783284e-50
modelType,pragmatic,2.3992526766783284e-50
alpha,8.75,6.185825118810937e-39
beta,0.8,6.185825118810937e-39
modelType,pragmatic,6.185825118810937e-39
alpha,8.75,1.3259409061714548e-31
beta,0.7,1.3259409061714548e-31
modelType,pragmatic,1.3259409061714548e-31
alpha,8.75,2.345587196555042e-28
beta,0.6,2.345587196555042e-28
modelType,pragmatic,2.345587196555042e-28
alpha,8.75,5.143193882819877e-28
beta,0.5,5.143193882819877e-28
modelType,pragmatic,5.143193882819877e-28
alpha,8.75,2.0550921571186316e-30
beta,0.4,2.0550921571186316e-30
modelType,pragmatic,2.0550921571186316e-30
alpha,8.75,1.0919576104805712e-36
beta,0.3,1.0919576104805712e-36
modelType,pragmatic,1.0919576104805712e-36
alpha,8.75,1.347129285863916e-44
beta,0.2,1.347129285863916e-44
modelType,pragmatic,1.347129285863916e-44
alpha,8.75,1.3908010944843e-52
beta,0.1,1.3908010944843e-52
modelType,pragmatic,1.3908010944843e-52
alpha,8.75,5.067613942987936e-62
beta,0,5.067613942987936e-62
modelType,pragmatic,5.067613942987936e-62
alpha,8.5,5.0585459624210814e-62
beta,1,5.0585459624210814e-62
modelType,pragmatic,5.0585459624210814e-62
alpha,8.5,1.0014154477756856e-46
beta,0.9,1.0014154477756856e-46
modelType,pragmatic,1.0014154477756856e-46
alpha,8.5,1.328982539884742e-35
beta,0.8,1.328982539884742e-35
modelType,pragmatic,1.328982539884742e-35
alpha,8.5,2.7624855189704666e-28
beta,0.7,2.7624855189704666e-28
modelType,pragmatic,2.7624855189704666e-28
alpha,8.5,1.0466762789182023e-24
beta,0.6,1.0466762789182023e-24
modelType,pragmatic,1.0466762789182023e-24
alpha,8.5,6.197808516049293e-24
beta,0.5,6.197808516049293e-24
modelType,pragmatic,6.197808516049293e-24
alpha,8.5,7.449501092411626e-26
beta,0.4,7.449501092411626e-26
modelType,pragmatic,7.449501092411626e-26
alpha,8.5,1.8994192324110104e-31
beta,0.3,1.8994192324110104e-31
modelType,pragmatic,1.8994192324110104e-31
alpha,8.5,7.001546757729894e-39
beta,0.2,7.001546757729894e-39
modelType,pragmatic,7.001546757729894e-39
alpha,8.5,1.1361182686180087e-46
beta,0.1,1.1361182686180087e-46
modelType,pragmatic,1.1361182686180087e-46
alpha,8.5,7.105423893120773e-56
beta,0,7.105423893120773e-56
modelType,pragmatic,7.105423893120773e-56
alpha,8.25,3.8520787267342235e-58
beta,1,3.8520787267342235e-58
modelType,pragmatic,3.8520787267342235e-58
alpha,8.25,2.4622534836972407e-43
beta,0.9,2.4622534836972407e-43
modelType,pragmatic,2.4622534836972407e-43
alpha,8.25,1.7691017356027752e-32
beta,0.8,1.7691017356027752e-32
modelType,pragmatic,1.7691017356027752e-32
alpha,8.25,3.6497551917607484e-25
beta,0.7,3.6497551917607484e-25
modelType,pragmatic,3.6497551917607484e-25
alpha,8.25,2.8518012005157076e-21
beta,0.6,2.8518012005157076e-21
modelType,pragmatic,2.8518012005157076e-21
alpha,8.25,4.4741237038640936e-20
beta,0.5,4.4741237038640936e-20
modelType,pragmatic,4.4741237038640936e-20
alpha,8.25,1.6083583043075175e-21
beta,0.4,1.6083583043075175e-21
modelType,pragmatic,1.6083583043075175e-21
alpha,8.25,1.905127107698473e-26
beta,0.3,1.905127107698473e-26
modelType,pragmatic,1.905127107698473e-26
alpha,8.25,2.2106183435476408e-33
beta,0.2,2.2106183435476408e-33
modelType,pragmatic,2.2106183435476408e-33
alpha,8.25,6.115356515013879e-41
beta,0.1,6.115356515013879e-41
modelType,pragmatic,6.115356515013879e-41
alpha,8.25,6.714837396877484e-50
beta,0,6.714837396877484e-50
modelType,pragmatic,6.714837396877484e-50
alpha,8,1.5835631302339868e-54
beta,1,1.5835631302339868e-54
modelType,pragmatic,1.5835631302339868e-54
alpha,8,3.38489082000564e-40
beta,0.9,3.38489082000564e-40
modelType,pragmatic,3.38489082000564e-40
alpha,8,1.3792658584273587e-29
beta,0.8,1.3792658584273587e-29
modelType,pragmatic,1.3792658584273587e-29
alpha,8,2.8746311833192827e-22
beta,0.7,2.8746311833192827e-22
modelType,pragmatic,2.8746311833192827e-22
alpha,8,4.4396144357018355e-18
beta,0.6,4.4396144357018355e-18
modelType,pragmatic,4.4396144357018355e-18
alpha,8,1.795269982603991e-16
