parameter,value,MCMCprob
alpha,20,4.226909402483051e-175
beta,1,4.226909402483051e-175
expPragFlip,false,4.226909402483051e-175
alpha,20,0
beta,1,0
expPragFlip,true,0
alpha,20,9.291967214532939e-160
beta,0.95,9.291967214532939e-160
expPragFlip,false,9.291967214532939e-160
alpha,20,0
beta,0.95,0
expPragFlip,true,0
alpha,20,9.336536772176171e-146
beta,0.9,9.336536772176171e-146
expPragFlip,false,9.336536772176171e-146
alpha,20,0
beta,0.9,0
expPragFlip,true,0
alpha,20,5.837663228202772e-133
beta,0.85,5.837663228202772e-133
expPragFlip,false,5.837663228202772e-133
alpha,20,0
beta,0.85,0
expPragFlip,true,0
alpha,20,3.260242951857206e-121
beta,0.8,3.260242951857206e-121
expPragFlip,false,3.260242951857206e-121
alpha,20,5.429346377270888e-301
beta,0.8,5.429346377270888e-301
expPragFlip,true,5.429346377270888e-301
alpha,20,2.27014574826116e-110
beta,0.75,2.27014574826116e-110
expPragFlip,false,2.27014574826116e-110
alpha,20,1.5474472163930954e-275
beta,0.75,1.5474472163930954e-275
expPragFlip,true,1.5474472163930954e-275
alpha,20,2.584385831055158e-100
beta,0.7,2.584385831055158e-100
expPragFlip,false,2.584385831055158e-100
alpha,20,4.139825050501868e-265
beta,0.7,4.139825050501868e-265
expPragFlip,true,4.139825050501868e-265
alpha,20,5.915732894085345e-91
beta,0.65,5.915732894085345e-91
expPragFlip,false,5.915732894085345e-91
alpha,20,3.173011033899377e-265
beta,0.65,3.173011033899377e-265
expPragFlip,true,3.173011033899377e-265
alpha,20,3.1731455577328765e-82
beta,0.6,3.1731455577328765e-82
expPragFlip,false,3.1731455577328765e-82
alpha,20,3.6510390361550007e-273
beta,0.6,3.6510390361550007e-273
expPragFlip,true,3.6510390361550007e-273
alpha,20,4.449426753383251e-74
beta,0.55,4.449426753383251e-74
expPragFlip,false,4.449426753383251e-74
alpha,20,1.1879540514906557e-280
beta,0.55,1.1879540514906557e-280
expPragFlip,true,1.1879540514906557e-280
alpha,20,1.7508270884790048e-66
beta,0.5,1.7508270884790048e-66
expPragFlip,false,1.7508270884790048e-66
alpha,20,7.521776694200721e-285
beta,0.5,7.521776694200721e-285
expPragFlip,true,7.521776694200721e-285
alpha,20,1.995255291377521e-59
beta,0.45,1.995255291377521e-59
expPragFlip,false,1.995255291377521e-59
alpha,20,5.5045469687346e-292
beta,0.45,5.5045469687346e-292
expPragFlip,true,5.5045469687346e-292
alpha,20,6.482803280135029e-53
beta,0.4,6.482803280135029e-53
expPragFlip,false,6.482803280135029e-53
alpha,20,0
beta,0.4,0
expPragFlip,true,0
alpha,20,5.547346512157105e-47
beta,0.35,5.547346512157105e-47
expPragFlip,false,5.547346512157105e-47
alpha,20,0
beta,0.35,0
expPragFlip,true,0
alpha,20,1.0533830586919529e-41
beta,0.3,1.0533830586919529e-41
expPragFlip,false,1.0533830586919529e-41
alpha,20,0
beta,0.3,0
expPragFlip,true,0
alpha,20,3.2634510140033994e-37
beta,0.25,3.2634510140033994e-37
expPragFlip,false,3.2634510140033994e-37
alpha,20,0
beta,0.25,0
expPragFlip,true,0
alpha,20,9.93579169713165e-34
beta,0.2,9.93579169713165e-34
expPragFlip,false,9.93579169713165e-34
alpha,20,0
beta,0.2,0
expPragFlip,true,0
alpha,20,1.3639765884778449e-31
beta,0.15,1.3639765884778449e-31
expPragFlip,false,1.3639765884778449e-31
alpha,20,0
beta,0.15,0
expPragFlip,true,0
alpha,20,2.829992112385175e-31
beta,0.1,2.829992112385175e-31
expPragFlip,false,2.829992112385175e-31
alpha,20,0
beta,0.1,0
expPragFlip,true,0
alpha,20,2.3607910939856107e-33
