parameter,value,MCMCprob
alpha,10,7.310387179092135e-29
beta,1,7.310387179092135e-29
modelType,pragmatic,7.310387179092135e-29
alpha,10,6.986437878815634e-13
beta,0.75,6.986437878815634e-13
modelType,pragmatic,6.986437878815634e-13
alpha,10,0.00000371738033167438
beta,0.5,0.00000371738033167438
modelType,pragmatic,0.00000371738033167438
alpha,10,1.5025444518169043e-10
beta,0.25,1.5025444518169043e-10
modelType,pragmatic,1.5025444518169043e-10
alpha,10,8.482776504214385e-28
beta,0,8.482776504214385e-28
modelType,pragmatic,8.482776504214385e-28
alpha,9.9,2.5614330203233935e-28
beta,1,2.5614330203233935e-28
modelType,pragmatic,2.5614330203233935e-28
alpha,9.9,1.9588153502766156e-12
beta,0.75,1.9588153502766156e-12
modelType,pragmatic,1.9588153502766156e-12
alpha,9.9,0.000009327622405513673
beta,0.5,0.000009327622405513673
modelType,pragmatic,0.000009327622405513673
alpha,9.9,3.828079002890963e-10
beta,0.25,3.828079002890963e-10
modelType,pragmatic,3.828079002890963e-10
alpha,9.9,2.4642629075504517e-27
beta,0,2.4642629075504517e-27
modelType,pragmatic,2.4642629075504517e-27
alpha,9.8,8.738613344759426e-28
beta,1,8.738613344759426e-28
modelType,pragmatic,8.738613344759426e-28
alpha,9.8,5.328629218969658e-12
beta,0.75,5.328629218969658e-12
modelType,pragmatic,5.328629218969658e-12
alpha,9.8,0.000022599299425473234
beta,0.5,0.000022599299425473234
modelType,pragmatic,0.000022599299425473234
alpha,9.8,9.373828501224308e-10
beta,0.25,9.373828501224308e-10
modelType,pragmatic,9.373828501224308e-10
alpha,9.8,6.866181030689344e-27
beta,0,6.866181030689344e-27
modelType,pragmatic,6.866181030689344e-27
alpha,9.7,2.9007175986704828e-27
beta,1,2.9007175986704828e-27
modelType,pragmatic,2.9007175986704828e-27
alpha,9.7,1.4051060442485123e-11
beta,0.75,1.4051060442485123e-11
modelType,pragmatic,1.4051060442485123e-11
alpha,9.7,0.000052811574935721434
beta,0.5,0.000052811574935721434
modelType,pragmatic,0.000052811574935721434
alpha,9.7,2.2035570501272387e-9
beta,0.25,2.2035570501272387e-9
modelType,pragmatic,2.2035570501272387e-9
alpha,9.7,1.832830848177931e-26
beta,0,1.832830848177931e-26
modelType,pragmatic,1.832830848177931e-26
alpha,9.6,9.361476228156844e-27
beta,1,9.361476228156844e-27
modelType,pragmatic,9.361476228156844e-27
alpha,9.6,3.587926621346308e-11
beta,0.75,3.587926621346308e-11
modelType,pragmatic,3.587926621346308e-11
alpha,9.6,0.00011889779515461995
beta,0.5,0.00011889779515461995
modelType,pragmatic,0.00011889779515461995
alpha,9.6,4.966754251460266e-9
beta,0.25,4.966754251460266e-9
modelType,pragmatic,4.966754251460266e-9
alpha,9.6,4.6815660899305353e-26
beta,0,4.6815660899305353e-26
modelType,pragmatic,4.6815660899305353e-26
alpha,9.5,2.935058814505735e-26
beta,1,2.935058814505735e-26
modelType,pragmatic,2.935058814505735e-26
alpha,9.5,8.862760189790378e-11
beta,0.75,8.862760189790378e-11
modelType,pragmatic,8.862760189790378e-11
alpha,9.5,0.0002575779838088467
beta,0.5,0.0002575779838088467
modelType,pragmatic,0.0002575779838088467
alpha,9.5,1.0720432963322794e-8
beta,0.25,1.0720432963322794e-8
modelType,pragmatic,1.0720432963322794e-8
alpha,9.5,1.1428424774546363e-25
beta,0,1.1428424774546363e-25
modelType,pragmatic,1.1428424774546363e-25
alpha,9.4,8.932323988786021e-26
beta,1,8.932323988786021e-26
modelType,pragmatic,8.932323988786021e-26
alpha,9.4,2.1155111694611288e-10
beta,0.75,2.1155111694611288e-10
modelType,pragmatic,2.1155111694611288e-10
alpha,9.4,0.0005362802812644867
beta,0.5,0.0005362802812644867
modelType,pragmatic,0.0005362802812644867
alpha,9.4,2.2129558238236492e-8
beta,0.25,2.2129558238236492e-8
modelType,pragmatic,2.2129558238236492e-8
alpha,9.4,2.662894618921106e-25
beta,0,2.662894618921106e-25
modelType,pragmatic,2.662894618921106e-25
alpha,9.3,2.6364027187205813e-25
beta,1,2.6364027187205813e-25
modelType,pragmatic,2.6364027187205813e-25
alpha,9.3,4.874060390006082e-10
beta,0.75,4.874060390006082e-10
modelType,pragmatic,4.874060390006082e-10
alpha,9.3,0.0010716622551166324
beta,0.5,0.0010716622551166324
modelType,pragmatic,0.0010716622551166324
alpha,9.3,4.362762750071552e-8
beta,0.25,4.362762750071552e-8
modelType,pragmatic,4.362762750071552e-8
alpha,9.3,5.914527285018173e-25
beta,0,5.914527285018173e-25
modelType,pragmatic,5.914527285018173e-25
alpha,9.2,7.539883803001058e-25
beta,1,7.539883803001058e-25
modelType,pragmatic,7.539883803001058e-25
alpha,9.2,1.0826330623659063e-9
beta,0.75,1.0826330623659063e-9
modelType,pragmatic,1.0826330623659063e-9
alpha,9.2,0.002052662758928929
beta,0.5,0.002052662758928929
modelType,pragmatic,0.002052662758928929
alpha,9.2,8.20282679575898e-8
beta,0.25,8.20282679575898e-8
modelType,pragmatic,8.20282679575898e-8
alpha,9.2,1.2505170482182772e-24
beta,0,1.2505170482182772e-24
modelType,pragmatic,1.2505170482182772e-24
