parameter,item1,item2,value,prob,MCMCprob
thing,branching,artifact,couch.,1.156845964467274e-7,0.0010000000000000037
thing,branching,artifact,chair.,0.0043165718810937405,0.0010000000000000037
thing,branching,artifact,table.,0.12886042665256,0.0010000000000000037
thing,branching,artifact,lawnmower.,0.8668228857817498,0.0010000000000000037
seat,branching,artifact,couch.,0.000026489037038391255,0.0010000000000000037
seat,branching,artifact,chair.,0.9940679221065275,0.0010000000000000037
seat,branching,artifact,table.,0.0007642964151153698,0.0010000000000000037
seat,branching,artifact,lawnmower.,0.00514129244131882,0.0010000000000000037
furniture,branching,artifact,couch.,8.594598353430261e-7,0.0010000000000000037
furniture,branching,artifact,chair.,0.03222931253787453,0.0010000000000000037
furniture,branching,artifact,table.,0.9621254117772017,0.0010000000000000037
furniture,branching,artifact,lawnmower.,0.005644416225088369,0.0010000000000000037
couch,branching,artifact,couch.,0.9942660482909242,0.0010000000000000037
couch,branching,artifact,chair.,0.000024751668563779463,0.0010000000000000037
couch,branching,artifact,table.,0.0007388799536793255,0.0010000000000000037
couch,branching,artifact,lawnmower.,0.004970320086832474,0.0010000000000000037
pet,branching,animals,dalmatian.,8.594598353430261e-7,0.0010000000000000037
pet,branching,animals,poodle.,0.03222931253787413,0.0010000000000000037
pet,branching,animals,siamese cat.,0.9621254117772021,0.0010000000000000037
pet,branching,animals,whale.,0.005644416225088424,0.0010000000000000037
dog,branching,animals,dalmatian.,0.000026489037038391163,0.0010000000000000037
dog,branching,animals,poodle.,0.9940679221065273,0.0010000000000000037
dog,branching,animals,siamese cat.,0.0007642964151153644,0.0010000000000000037
dog,branching,animals,whale.,0.00514129244131886,0.0010000000000000037
dalmatian,branching,animals,dalmatian.,0.9942660482909242,0.0010000000000000037
dalmatian,branching,animals,poodle.,0.00002475166856377942,0.0010000000000000037
dalmatian,branching,animals,siamese cat.,0.0007388799536793229,0.0010000000000000037
dalmatian,branching,animals,whale.,0.004970320086832528,0.0010000000000000037
animal,branching,animals,dalmatian.,1.1568459644672822e-7,0.0010000000000000037
animal,branching,animals,poodle.,0.0043165718810937405,0.0010000000000000037
animal,branching,animals,siamese cat.,0.12886042665255892,0.0010000000000000037
animal,branching,animals,whale.,0.8668228857817509,0.0010000000000000037
place,branching,places,cottage.,0.004316571881093737,0.0010000000000000037
place,branching,places,mansion.,1.1568459644672658e-7,0.0010000000000000037
place,branching,places,office.,0.12886042665256006,0.0010000000000000037
place,branching,places,park.,0.8668228857817498,0.0010000000000000037
mansion,branching,places,cottage.,0.000024751668563779595,0.0010000000000000037
mansion,branching,places,mansion.,0.9942660482909242,0.0010000000000000037
mansion,branching,places,office.,0.0007388799536793281,0.0010000000000000037
mansion,branching,places,park.,0.004970320086832492,0.0010000000000000037
house,branching,places,cottage.,0.9940679221065275,0.0010000000000000037
house,branching,places,mansion.,0.000026489037038391207,0.0010000000000000037
house,branching,places,office.,0.0007642964151153698,0.0010000000000000037
house,branching,places,park.,0.00514129244131881,0.0010000000000000037
building,branching,places,cottage.,0.03222931253787459,0.0010000000000000037
building,branching,places,mansion.,8.594598353430231e-7,0.0010000000000000037
building,branching,places,office.,0.9621254117772017,0.0010000000000000037
building,branching,places,park.,0.005644416225088369,0.0010000000000000037
plant,branching,plants,carrot.,1.156845964467274e-7,0.0010000000000000037
plant,branching,plants,dead flower.,0.866822885781751,0.0010000000000000037
plant,branching,plants,tomatos.,0.00431657188109368,0.0010000000000000037
plant,branching,plants,sunflower.,0.1288604266525587,0.0010000000000000037
living plant,branching,plants,carrot.,8.594598353430353e-7,0.0010000000000000037
living plant,branching,plants,dead flower.,0.005644416225088344,0.0010000000000000037
living plant,branching,plants,tomatos.,0.03222931253787356,0.0010000000000000037
living plant,branching,plants,sunflower.,0.9621254117772028,0.0010000000000000037
food,branching,plants,carrot.,0.000026489037038391068,0.0010000000000000037
food,branching,plants,dead flower.,0.005141292441318783,0.0010000000000000037
food,branching,plants,tomatos.,0.9940679221065275,0.0010000000000000037
food,branching,plants,sunflower.,0.0007642964151153589,0.0010000000000000037
carrot,branching,plants,carrot.,0.9942660482909245,0.0010000000000000037
carrot,branching,plants,dead flower.,0.004970320086832439,0.0010000000000000037
carrot,branching,plants,tomatos.,0.000024751668563779242,0.0010000000000000037
carrot,branching,plants,sunflower.,0.0007388799536793177,0.0010000000000000037
thing,overlapping,artifact,iron skillet.,1.3234299954367565e-7,0.0010000000000000037
thing,overlapping,artifact,metal chair.,0.0025499352861440396,0.0010000000000000037
thing,overlapping,artifact,wooden chair.,0.005086799085396586,0.0010000000000000037
thing,overlapping,artifact,wooden ruler.,0.9923631332854599,0.0010000000000000037
skillet,overlapping,artifact,iron skillet.,0.9949877975115913,0.0010000000000000037
skillet,overlapping,artifact,metal chair.,0.000012781448633989266,0.0010000000000000037
skillet,overlapping,artifact,wooden chair.,0.000025496720341106487,0.0010000000000000037
skillet,overlapping,artifact,wooden ruler.,0.00497392431943376,0.0010000000000000037
seat,overlapping,artifact,iron skillet.,1.1059433361261753e-9,0.0010000000000000037
seat,overlapping,artifact,metal chair.,0.3327900805120999,0.0010000000000000037
seat,overlapping,artifact,wooden chair.,0.6638742968544478,0.0010000000000000037
seat,overlapping,artifact,wooden ruler.,0.003335621527508895,0.0010000000000000037
metal thing,overlapping,artifact,iron skillet.,0.00005112339352047894,0.0010000000000000037
metal thing,overlapping,artifact,metal chair.,0.989975293594926,0.0010000000000000037
metal thing,overlapping,artifact,wooden chair.,0.00005086396784059805,0.0010000000000000037
metal thing,overlapping,artifact,wooden ruler.,0.009922719043712922,0.0010000000000000037
pet,overlapping,animals,golden retriever.,0.6638742968544502,0.0010000000000000037
pet,overlapping,animals,house cat.,0.33279008051209763,0.0010000000000000037
pet,overlapping,animals,lion.,1.1059433361261753e-9,0.0010000000000000037
pet,overlapping,animals,whale.,0.003335621527508925,0.0010000000000000037
lion,overlapping,animals,golden retriever.,0.000025496720341106305,0.0010000000000000037
lion,overlapping,animals,house cat.,0.000012781448633989198,0.0010000000000000037
