parameter,item1,item2,value,prob,MCMCprob
couch,branching,artifact,thing,3.844365452014206e-7,0.33333333333333326
couch,branching,artifact,seat,0.000050644382009745016,0.33333333333333326
couch,branching,artifact,furniture,0.000002486685155112856,0.33333333333333326
couch,branching,artifact,couch,0.9999464844962906,0.33333333333333326
chair,branching,artifact,thing,0.006276192912925484,0.33333333333333326
chair,branching,artifact,seat,0.963012311561592,0.33333333333333326
chair,branching,artifact,furniture,0.030662721751943314,0.33333333333333326
chair,branching,artifact,couch,0.000048773773539871665,0.33333333333333326
table,branching,artifact,thing,0.16970824954876237,0.33333333333333326
table,branching,artifact,seat,0.0012940268369124929,0.33333333333333326
table,branching,artifact,furniture,0.8277036967774124,0.33333333333333326
table,branching,artifact,couch,0.0012940268369124929,0.33333333333333326
lawnmower,branching,artifact,thing,0.9809073268275543,0.33333333333333326
lawnmower,branching,artifact,seat,0.006364224390814917,0.33333333333333326
lawnmower,branching,artifact,furniture,0.006364224390814917,0.33333333333333326
lawnmower,branching,artifact,couch,0.006364224390814917,0.33333333333333326
dalmatian,branching,animals,pet,0.000002235293028959318,0.33333333333333326
dalmatian,branching,animals,dog,0.00006298440967033575,0.33333333333333326
dalmatian,branching,animals,dalmatian,0.9999343411930929,0.33333333333333326
dalmatian,branching,animals,animal,4.391042087499859e-7,0.33333333333333326
poodle,branching,animals,pet,0.03858924335409203,0.33333333333333326
poodle,branching,animals,dog,0.9537655440097617,0.33333333333333326
poodle,branching,animals,dalmatian,0.000060076304291824606,0.33333333333333326
poodle,branching,animals,animal,0.00758513633185437,0.33333333333333326
siamese cat,branching,animals,pet,0.8356801217036715,0.33333333333333326
siamese cat,branching,animals,dog,0.0011999581684186363,0.33333333333333326
siamese cat,branching,animals,dalmatian,0.0011999581684186363,0.33333333333333326
siamese cat,branching,animals,animal,0.16191996195949165,0.33333333333333326
whale,branching,animals,pet,0.007317298980353102,0.33333333333333326
whale,branching,animals,dog,0.007317298980353102,0.33333333333333326
whale,branching,animals,dalmatian,0.007317298980353102,0.33333333333333326
whale,branching,animals,animal,0.9780481030589404,0.33333333333333326
cottage,branching,places,place,0.0063743922035548895,0.33333333333333326
cottage,branching,places,mansion,0.0000492236076086094,0.33333333333333326
cottage,branching,places,house,0.9630360514641638,0.33333333333333326
cottage,branching,places,building,0.030540332724672378,0.33333333333333326
mansion,branching,places,place,4.461214782682421e-7,0.33333333333333326
mansion,branching,places,mansion,0.9999464205838007,0.33333333333333326
mansion,branching,places,house,0.00005111020523231327,0.33333333333333326
mansion,branching,places,building,0.00000202308949027316,0.33333333333333326
office,branching,places,place,0.1407936071800439,0.33333333333333326
office,branching,places,mansion,0.0010758388829721752,0.33333333333333326
office,branching,places,house,0.0010758388829721752,0.33333333333333326
office,branching,places,building,0.8570547150540107,0.33333333333333326
park,branching,places,place,0.9778201961668795,0.33333333333333326
park,branching,places,mansion,0.007393267944374243,0.33333333333333326
park,branching,places,house,0.007393267944374243,0.33333333333333326
park,branching,places,building,0.007393267944374243,0.33333333333333326
carrot,branching,plants,plant,3.9103471141539085e-7,0.33333333333333326
carrot,branching,plants,living plant,0.0000019289483475159134,0.33333333333333326
carrot,branching,plants,food,0.00005378755940810734,0.33333333333333326
carrot,branching,plants,carrot,0.9999438924575341,0.33333333333333326
dead flower,branching,plants,plant,0.9769785725543929,0.33333333333333326
dead flower,branching,plants,living plant,0.0077082964347595555,0.33333333333333326
dead flower,branching,plants,food,0.007690453295587556,0.33333333333333326
dead flower,branching,plants,carrot,0.007622677715259883,0.33333333333333326
