parameter,value,MCMCprob
alpha,19.9,-Infinity
beta,1,-Infinity
modelType,pragmatic,-Infinity
alpha,19.9,-399.23594709917194
beta,1,-399.23594709917194
modelType,explicit,-399.23594709917194
alpha,19.9,-Infinity
beta,1,-Infinity
modelType,literal,-Infinity
alpha,19.9,-Infinity
beta,0.9,-Infinity
modelType,pragmatic,-Infinity
alpha,19.9,-331.96071012287194
beta,0.9,-331.96071012287194
modelType,explicit,-331.96071012287194
alpha,19.9,-Infinity
beta,0.9,-Infinity
modelType,literal,-Infinity
alpha,19.9,-684.7161325271645
beta,0.8,-684.7161325271645
modelType,pragmatic,-684.7161325271645
alpha,19.9,-275.6718859845792
beta,0.8,-275.6718859845792
modelType,explicit,-275.6718859845792
alpha,19.9,-Infinity
beta,0.8,-Infinity
modelType,literal,-Infinity
alpha,19.9,-603.121564402232
beta,0.7,-603.121564402232
modelType,pragmatic,-603.121564402232
alpha,19.9,-227.73848730240894
beta,0.7,-227.73848730240894
modelType,explicit,-227.73848730240894
alpha,19.9,-Infinity
beta,0.7,-Infinity
modelType,literal,-Infinity
alpha,19.9,-621.8340637891291
beta,0.6,-621.8340637891291
modelType,pragmatic,-621.8340637891291
alpha,19.9,-186.2557914455623
beta,0.6,-186.2557914455623
modelType,explicit,-186.2557914455623
alpha,19.9,-Infinity
beta,0.6,-Infinity
modelType,literal,-Infinity
alpha,19.9,-648.6528254111887
beta,0.5,-648.6528254111887
modelType,pragmatic,-648.6528254111887
alpha,19.9,-150.16551568746826
beta,0.5,-150.16551568746826
modelType,explicit,-150.16551568746826
alpha,19.9,-Infinity
beta,0.5,-Infinity
modelType,literal,-Infinity
alpha,19.9,-Infinity
beta,0.4,-Infinity
modelType,pragmatic,-Infinity
alpha,19.9,-119.07244627012302
beta,0.4,-119.07244627012302
modelType,explicit,-119.07244627012302
alpha,19.9,-Infinity
beta,0.4,-Infinity
modelType,literal,-Infinity
alpha,19.9,-Infinity
beta,0.3,-Infinity
modelType,pragmatic,-Infinity
alpha,19.9,-93.40739466239228
beta,0.3,-93.40739466239228
modelType,explicit,-93.40739466239228
alpha,19.9,-Infinity
beta,0.3,-Infinity
modelType,literal,-Infinity
alpha,19.9,-Infinity
beta,0.2,-Infinity
modelType,pragmatic,-Infinity
alpha,19.9,-75.19439514319231
beta,0.2,-75.19439514319231
modelType,explicit,-75.19439514319231
alpha,19.9,-Infinity
beta,0.2,-Infinity
modelType,literal,-Infinity
alpha,19.9,-Infinity
beta,0.1,-Infinity
modelType,pragmatic,-Infinity
alpha,19.9,-69.66273171178977
beta,0.1,-69.66273171178977
modelType,explicit,-69.66273171178977
alpha,19.9,-Infinity
beta,0.1,-Infinity
modelType,literal,-Infinity
alpha,19.9,-Infinity
beta,0,-Infinity
modelType,pragmatic,-Infinity
alpha,19.9,-85.98977020682503
beta,0,-85.98977020682503
modelType,explicit,-85.98977020682503
alpha,19.9,-Infinity
beta,0,-Infinity
modelType,literal,-Infinity
alpha,19.8,-Infinity
beta,1,-Infinity
modelType,pragmatic,-Infinity
alpha,19.8,-396.751494550823
beta,1,-396.751494550823
modelType,explicit,-396.751494550823
alpha,19.8,-Infinity
beta,1,-Infinity
modelType,literal,-Infinity
alpha,19.8,-Infinity
