parameter,value,MCMCprob
alpha,20,0
beta,1,0
questionerType,pragmatic,0
alpha,20,6.20539844861497e-174
beta,1,6.20539844861497e-174
questionerType,explicit,6.20539844861497e-174
alpha,20,7.97065997362256e-300
beta,0.8,7.97065997362256e-300
questionerType,pragmatic,7.97065997362256e-300
alpha,20,4.786264532587417e-120
beta,0.8,4.786264532587417e-120
questionerType,explicit,4.786264532587417e-120
alpha,20,5.3599804995781786e-272
beta,0.6,5.3599804995781786e-272
questionerType,pragmatic,5.3599804995781786e-272
alpha,20,4.658399470218319e-81
beta,0.6,4.658399470218319e-81
questionerType,explicit,4.658399470218319e-81
alpha,20,0
beta,0.4,0
questionerType,pragmatic,0
alpha,20,9.517208339881745e-52
beta,0.4,9.517208339881745e-52
questionerType,explicit,9.517208339881745e-52
alpha,20,0
beta,0.2,0
questionerType,pragmatic,0
alpha,20,1.458643668751125e-32
beta,0.2,1.458643668751125e-32
questionerType,explicit,1.458643668751125e-32
alpha,20,0
beta,0,0
questionerType,pragmatic,0
alpha,20,3.3291134667517795e-37
beta,0,3.3291134667517795e-37
questionerType,explicit,3.3291134667517795e-37
alpha,19,0
beta,1,0
questionerType,pragmatic,0
alpha,19,3.2389174052094035e-163
beta,1,3.2389174052094035e-163
questionerType,explicit,3.2389174052094035e-163
alpha,19,2.6359032767351602e-270
beta,0.8,2.6359032767351602e-270
questionerType,pragmatic,2.6359032767351602e-270
alpha,19,1.4249911008508813e-111
beta,0.8,1.4249911008508813e-111
questionerType,explicit,1.4249911008508813e-111
alpha,19,2.0493812683778498e-247
beta,0.6,2.0493812683778498e-247
questionerType,pragmatic,2.0493812683778498e-247
alpha,19,3.91723599588707e-74
beta,0.6,3.91723599588707e-74
questionerType,explicit,3.91723599588707e-74
alpha,19,4.268368113803625e-284
beta,0.4,4.268368113803625e-284
questionerType,pragmatic,4.268368113803625e-284
alpha,19,3.777040015573762e-46
beta,0.4,3.777040015573762e-46
questionerType,explicit,3.777040015573762e-46
alpha,19,0
beta,0.2,0
questionerType,pragmatic,0
alpha,19,2.942896483220918e-28
beta,0.2,2.942896483220918e-28
questionerType,explicit,2.942896483220918e-28
alpha,19,0
beta,0,0
questionerType,pragmatic,0
alpha,19,2.3542760741030423e-33
beta,0,2.3542760741030423e-33
questionerType,explicit,2.3542760741030423e-33
alpha,18,0
beta,1,0
questionerType,pragmatic,0
alpha,18,1.009636187095511e-152
beta,1,1.009636187095511e-152
questionerType,explicit,1.009636187095511e-152
alpha,18,1.0883625088265562e-241
beta,0.8,1.0883625088265562e-241
questionerType,pragmatic,1.0883625088265562e-241
alpha,18,2.482227510848134e-103
beta,0.8,2.482227510848134e-103
questionerType,explicit,2.482227510848134e-103
alpha,18,3.830552309312697e-223
beta,0.6,3.830552309312697e-223
questionerType,pragmatic,3.830552309312697e-223
alpha,18,1.959354716357876e-67
beta,0.6,1.959354716357876e-67
questionerType,explicit,1.959354716357876e-67
alpha,18,2.3564521752630147e-256
beta,0.4,2.3564521752630147e-256
questionerType,pragmatic,2.3564521752630147e-256
alpha,18,9.020187406788836e-41
beta,0.4,9.020187406788836e-41
questionerType,explicit,9.020187406788836e-41
alpha,18,6.010271738445489e-296
beta,0.2,6.010271738445489e-296
questionerType,pragmatic,6.010271738445489e-296
alpha,18,3.580876219843667e-24
beta,0.2,3.580876219843667e-24
questionerType,explicit,3.580876219843667e-24
alpha,18,1.1952540740312854e-302
beta,0,1.1952540740312854e-302
questionerType,pragmatic,1.1952540740312854e-302
alpha,18,1.0681735045751175e-29
beta,0,1.0681735045751175e-29
questionerType,explicit,1.0681735045751175e-29
alpha,17,9.596527648150271e-282
beta,1,9.596527648150271e-282
questionerType,pragmatic,9.596527648150271e-282
alpha,17,1.730197365392551e-142
beta,1,1.730197365392551e-142
questionerType,explicit,1.730197365392551e-142
alpha,17,4.418052449108078e-214
beta,0.8,4.418052449108078e-214
questionerType,pragmatic,4.418052449108078e-214
alpha,17,2.3152387304664036e-95
beta,0.8,2.3152387304664036e-95
questionerType,explicit,2.3152387304664036e-95
alpha,17,3.229378166783333e-199
beta,0.6,3.229378166783333e-199
questionerType,pragmatic,3.229378166783333e-199
alpha,17,5.2831508297468324e-61
beta,0.6,5.2831508297468324e-61
questionerType,explicit,5.2831508297468324e-61
alpha,17,5.138263825903282e-229
beta,0.4,5.138263825903282e-229
questionerType,pragmatic,5.138263825903282e-229
alpha,17,1.164427105436511e-35
beta,0.4,1.164427105436511e-35
questionerType,explicit,1.164427105436511e-35
alpha,17,1.1296544463497823e-267
beta,0.2,1.1296544463497823e-267
questionerType,pragmatic,1.1296544463497823e-267
alpha,17,2.354231931305495e-20
beta,0.2,2.354231931305495e-20
questionerType,explicit,2.354231931305495e-20
alpha,17,2.277574239694833e-277
beta,0,2.277574239694833e-277
questionerType,pragmatic,2.277574239694833e-277
alpha,17,2.7802045270165384e-26
beta,0,2.7802045270165384e-26
questionerType,explicit,2.7802045270165384e-26
alpha,16,5.702798450813533e-250
beta,1,5.702798450813533e-250
questionerType,pragmatic,5.702798450813533e-250
alpha,16,1.4728300470545274e-132
beta,1,1.4728300470545274e-132
questionerType,explicit,1.4728300470545274e-132
alpha,16,1.3837370241539563e-187
beta,0.8,1.3837370241539563e-187
questionerType,pragmatic,1.3837370241539563e-187
alpha,16,1.036505463674704e-87
beta,0.8,1.036505463674704e-87
questionerType,explicit,1.036505463674704e-87
alpha,16,1.1030031106961635e-175
beta,0.6,1.1030031106961635e-175
questionerType,pragmatic,1.1030031106961635e-175
alpha,16,6.789740927475332e-55
beta,0.6,6.789740927475332e-55
questionerType,explicit,6.789740927475332e-55
alpha,16,3.8704321366088013e-202
beta,0.4,3.8704321366088013e-202
questionerType,pragmatic,3.8704321366088013e-202
alpha,16,7.091753206242948e-31
beta,0.4,7.091753206242948e-31
questionerType,explicit,7.091753206242948e-31
alpha,16,1.857227612884218e-239
beta,0.2,1.857227612884218e-239
