iterationName,gameid,time,trialNum,trialType,questionNumber,firstRole,cellAskedAbout,sender,underlyingWorld,gridState,answer,timeFromMessage
full_sample,1005-11529870-837a-4280-9a12-b4893749a6b5,1550773612091,1,practice,1,leader,A3,human,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""unsafe"",""B2"":""unsafe"",""B3"":""safe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""A1"",""A2""],""unsafe"":[]}","[""A3""]",15138
full_sample,1290-632664ff-bd64-4c9a-9f57-32c87cfa27f0,1550773637730,0,practice,1,helper,A3,human,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""unsafe"",""B2"":""unsafe"",""B3"":""safe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""A1"",""A2""],""unsafe"":[]}","[""A3"",""B1""]",21337
full_sample,1005-11529870-837a-4280-9a12-b4893749a6b5,1550773671024,3,random,1,leader,B3,human,"{""A1"":""unsafe"",""A2"":""safe"",""A3"":""safe"",""B1"":""safe"",""B2"":""safe"",""B3"":""unsafe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""A2"",""A3"",""C2"",""C3""],""unsafe"":[]}","[""B2"",""B3""]",20842
full_sample,1290-632664ff-bd64-4c9a-9f57-32c87cfa27f0,1550773673202,2,random,1,helper,A1,human,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""unsafe"",""B2"":""safe"",""B3"":""unsafe"",""C1"":""safe"",""C2"":""safe"",""C3"":""unsafe""}","{""safe"":[""A2"",""A3"",""C1""],""unsafe"":[]}","[""A1"",""B1""]",15353
full_sample,7327-2c6009a3-3400-42e0-8ec2-ee5525c7162e,1550773676905,1,practice,1,leader,A3,human,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""unsafe"",""B2"":""unsafe"",""B3"":""safe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""B3"",""C3""],""unsafe"":[]}","[""A3""]",21947
full_sample,1005-11529870-837a-4280-9a12-b4893749a6b5,1550773713908,5,random,1,leader,C2,human,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""safe"",""B2"":""unsafe"",""B3"":""unsafe"",""C1"":""safe"",""C2"":""safe"",""C3"":""unsafe""}","{""safe"":[""A2"",""B1""],""unsafe"":[]}","[""B2"",""C2""]",22784
full_sample,1290-632664ff-bd64-4c9a-9f57-32c87cfa27f0,1550773727166,4,random,1,helper,C1,human,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""safe"",""B2"":""safe"",""B3"":""safe"",""C1"":""unsafe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""A1"",""B1"",""C2"",""C3""],""unsafe"":[]}","[""B2"",""C1""]",21168
full_sample,1005-11529870-837a-4280-9a12-b4893749a6b5,1550773728766,5,random,2,leader,C1,human,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""safe"",""B2"":""unsafe"",""B3"":""unsafe"",""C1"":""safe"",""C2"":""safe"",""C3"":""unsafe""}","{""safe"":[""A2"",""B1"",""C2""],""unsafe"":[""B2""]}","[""A1"",""C1""]",37345
full_sample,1290-632664ff-bd64-4c9a-9f57-32c87cfa27f0,1550773738109,4,random,2,helper,A2,human,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""safe"",""B2"":""safe"",""B3"":""safe"",""C1"":""unsafe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""A1"",""B1"",""C2"",""C3"",""B2""],""unsafe"":[""C1""]}","[""A2""]",32107
full_sample,7327-2c6009a3-3400-42e0-8ec2-ee5525c7162e,1550773764038,3,random,1,leader,B2,human,"{""A1"":""safe"",""A2"":""safe"",""A3"":""unsafe"",""B1"":""safe"",""B2"":""safe"",""B3"":""unsafe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""A2"",""B1"",""C2""],""unsafe"":[]}","[""B2""]",29954
full_sample,1290-632664ff-bd64-4c9a-9f57-32c87cfa27f0,1550773766113,6,random,1,helper,B1,human,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""safe"",""B2"":""safe"",""B3"":""safe"",""C1"":""safe"",""C2"":""safe"",""C3"":""unsafe""}","{""safe"":[""A1"",""A3"",""B2"",""B3""],""unsafe"":[]}","[""B1""]",10296
full_sample,1005-11529870-837a-4280-9a12-b4893749a6b5,1550773774973,7,random,1,leader,C3,human,"{""A1"":""unsafe"",""A2"":""safe"",""A3"":""safe"",""B1"":""unsafe"",""B2"":""unsafe"",""B3"":""safe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""A3"",""B3"",""C1"",""C2""],""unsafe"":[]}","[""C3""]",13132
full_sample,1290-632664ff-bd64-4c9a-9f57-32c87cfa27f0,1550773803299,8,random,1,helper,C2,human,"{""A1"":""safe"",""A2"":""unsafe"",""A3"":""safe"",""B1"":""unsafe"",""B2"":""unsafe"",""B3"":""safe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""C1""],""unsafe"":[]}","[""C2"",""C3""]",18951
full_sample,7327-2c6009a3-3400-42e0-8ec2-ee5525c7162e,1550773808582,5,random,1,leader,A2,human,"{""A1"":""safe"",""A2"":""unsafe"",""A3"":""safe"",""B1"":""safe"",""B2"":""safe"",""B3"":""safe"",""C1"":""safe"",""C2"":""safe"",""C3"":""unsafe""}","{""safe"":[""B2"",""C1""],""unsafe"":[]}","[""A2""]",26198
full_sample,1005-11529870-837a-4280-9a12-b4893749a6b5,1550773812538,9,random,1,leader,B3,human,"{""A1"":""safe"",""A2"":""unsafe"",""A3"":""safe"",""B1"":""safe"",""B2"":""safe"",""B3"":""safe"",""C1"":""unsafe"",""C2"":""unsafe"",""C3"":""safe""}","{""safe"":[""A3""],""unsafe"":[]}","[""B3"",""C3""]",18048
full_sample,7327-2c6009a3-3400-42e0-8ec2-ee5525c7162e,1550773819830,5,random,2,leader,A1,human,"{""A1"":""safe"",""A2"":""unsafe"",""A3"":""safe"",""B1"":""safe"",""B2"":""safe"",""B3"":""safe"",""C1"":""safe"",""C2"":""safe"",""C3"":""unsafe""}","{""safe"":[""B2"",""C1""],""unsafe"":[""A2""]}","[""A1""]",37454
full_sample,7327-2c6009a3-3400-42e0-8ec2-ee5525c7162e,1550773828544,5,random,3,leader,B1,human,"{""A1"":""safe"",""A2"":""unsafe"",""A3"":""safe"",""B1"":""safe"",""B2"":""safe"",""B3"":""safe"",""C1"":""safe"",""C2"":""safe"",""C3"":""unsafe""}","{""safe"":[""B2"",""C1"",""A1""],""unsafe"":[""A2""]}","[""B1""]",46167
full_sample,1290-632664ff-bd64-4c9a-9f57-32c87cfa27f0,1550773838219,10,random,1,helper,C3,human,"{""A1"":""safe"",""A2"":""unsafe"",""A3"":""safe"",""B1"":""safe"",""B2"":""safe"",""B3"":""unsafe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""A1"",""A3"",""B2"",""C1"",""C2""],""unsafe"":[]}","[""B3"",""C3""]",16220
full_sample,1005-11529870-837a-4280-9a12-b4893749a6b5,1550773850551,11,blocked,1,leader,C3,human,"{""A1"":""safe"",""A2"":""unsafe"",""A3"":""unsafe"",""B1"":""safe"",""B2"":""unsafe"",""B3"":""safe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""C1""],""unsafe"":[]}","[""C2"",""C3""]",12902
full_sample,6145-3ffc3c4a-5c4a-4fc4-a099-ab3749b83a6f,1550773852284,0,practice,1,helper,A1,human,"{""A1"":""safe"",""A2"":""unsafe"",""A3"":""unsafe"",""B1"":""safe"",""B2"":""safe"",""B3"":""safe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""B1"",""C1""],""unsafe"":[]}","[""A1"",""A2""]",33230
full_sample,5179-1c3ddbcf-6a4f-4182-9917-2ca4ed8caeb7,1550773855091,0,practice,1,helper,A1,human,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""unsafe"",""B2"":""safe"",""B3"":""unsafe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""A2"",""A3""],""unsafe"":[]}","[""A1""]",54849
full_sample,7327-2c6009a3-3400-42e0-8ec2-ee5525c7162e,1550773866816,7,pragmatic,1,leader,A1,human,"{""A1"":""safe"",""A2"":""unsafe"",""A3"":""safe"",""B1"":""safe"",""B2"":""safe"",""B3"":""safe"",""C1"":""safe"",""C2"":""unsafe"",""C3"":""unsafe""}","{""safe"":[""B1""],""unsafe"":[]}","[""A1"",""C1""]",17601
full_sample,1290-632664ff-bd64-4c9a-9f57-32c87cfa27f0,1550773885644,12,pragmatic,1,helper,C2,human,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""unsafe"",""B2"":""safe"",""B3"":""unsafe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""B2""],""unsafe"":[]}","[""A2"",""C2""]",14090
