iterationName,gameid,time,trialNum,trialType,questionNumber,goalResponse,trueGoal,firstRole,cellAskedAbout,gridState
testing,0023-e7c4e34c-8515-4146-aeb6-7f5416ddc3fd,1.550455368892e+12,0,catch,1,columns,,helper,,"{""safe"":[""A1"",""B1""],""unsafe"":[]}"
testing,4212-3f1c3acc-e634-4fab-8de8-c59f55cd1274,1.550455488828e+12,0,catch,1,rows,,helper,,"{""safe"":[""C1"",""C2""],""unsafe"":[]}"
testing,3607-156e4c9c-201d-4457-9117-d5306ef6ea1d,1.550455651879e+12,0,catch,1,rows,,helper,C3,"{""safe"":[""C1"",""C2""],""unsafe"":[]}"
testing,5194-006ad81d-8794-481d-bb1f-5e19a7b68ada,1.550455810535e+12,0,catch,1,rows,,helper,C3,"{""safe"":[""C1"",""C2""],""unsafe"":[]}"
testing,5194-006ad81d-8794-481d-bb1f-5e19a7b68ada,1.550455840354e+12,2,random,1,columns,,helper,B1,"{""safe"":[""A1""],""unsafe"":[]}"
testing,5194-006ad81d-8794-481d-bb1f-5e19a7b68ada,1.550455915732e+12,2,random,2,columns,,helper,B3,"{""safe"":[""A1"",""A3""],""unsafe"":[""B1""]}"
testing,5194-006ad81d-8794-481d-bb1f-5e19a7b68ada,1.550455956992e+12,4,random,1,rows,,helper,B3,"{""safe"":[""A1"",""B2"",""C2""],""unsafe"":[]}"
testing,5194-006ad81d-8794-481d-bb1f-5e19a7b68ada,1.550455982897e+12,4,random,2,rows,,helper,C3,"{""safe"":[""A1"",""B2"",""C2"",""B3"",""C1""],""unsafe"":[]}"
testing,6241-318580de-0557-4abd-8f2a-f3a8840087ae,1.550528552809e+12,0,catch,1,columns,,helper,A2,"{""safe"":[""B2"",""C2""],""unsafe"":[]}"
testing,6241-318580de-0557-4abd-8f2a-f3a8840087ae,1.550528585144e+12,2,random,1,columns,,helper,A2,"{""safe"":[""B2"",""B3"",""C2""],""unsafe"":[]}"
testing,1199-b4788094-4474-4e99-b3cd-b16398b4e990,1.550528647131e+12,1,catch,1,columns,,leader,C3,"{""safe"":[""A3"",""B3""],""unsafe"":[]}"
testing,1199-b4788094-4474-4e99-b3cd-b16398b4e990,1.5505286807e+12,3,random,1,rows,,leader,C1,"{""safe"":[""A2"",""A3"",""C2"",""C3""],""unsafe"":[]}"
testing,1199-b4788094-4474-4e99-b3cd-b16398b4e990,1.550528723067e+12,5,random,1,rows,,leader,B2,"{""safe"":[""A2"",""B1"",""B3""],""unsafe"":[]}"
testing,1199-b4788094-4474-4e99-b3cd-b16398b4e990,1.550528799657e+12,7,random,1,rows,,leader,A1,"{""safe"":[""A3"",""C2""],""unsafe"":[]}"
testing,1199-b4788094-4474-4e99-b3cd-b16398b4e990,1.550528855763e+12,9,random,1,not sure,,leader,A2,"{""safe"":[],""unsafe"":[]}"
testing,1199-b4788094-4474-4e99-b3cd-b16398b4e990,1.550528875397e+12,9,random,2,columns,,leader,A3,"{""safe"":[""B2""],""unsafe"":[""A2""]}"
testing,1199-b4788094-4474-4e99-b3cd-b16398b4e990,1.55052888798e+12,9,random,3,columns,,leader,C3,"{""safe"":[""B2"",""A3"",""B3""],""unsafe"":[""A2""]}"
testing,1199-b4788094-4474-4e99-b3cd-b16398b4e990,1.550528918786e+12,11,pragmatic,1,rows,,leader,C2,"{""safe"":[""C1""],""unsafe"":[]}"
testing,1199-b4788094-4474-4e99-b3cd-b16398b4e990,1.550528960053e+12,13,empty,1,not sure,,leader,B3,"{""safe"":[],""unsafe"":[]}"
testing,1199-b4788094-4474-4e99-b3cd-b16398b4e990,1.5505289786e+12,13,empty,2,rows,,leader,C2,"{""safe"":[""B3"",""C3""],""unsafe"":[]}"
testing,3843-3641fd9c-3dda-47c1-9971-e588961f83c8,1.550529929065e+12,1,catch,1,rows,,leader,B3,"{""safe"":[""B1"",""B2""],""unsafe"":[]}"
testing,8961-0df44044-d11d-4921-8feb-2007a13f3b62,1.550530600173e+12,0,catch,1,rows,,helper,A1,"{""safe"":[""A2"",""A3""],""unsafe"":[]}"
testing,8961-0df44044-d11d-4921-8feb-2007a13f3b62,1.550530629623e+12,2,random,1,columns,,helper,B1,"{""safe"":[""A1"",""B2"",""C1""],""unsafe"":[]}"
testing,8961-0df44044-d11d-4921-8feb-2007a13f3b62,1.550530692842e+12,4,random,1,rows,,helper,C3,"{""safe"":[""C1"",""C2""],""unsafe"":[]}"
testing,8961-0df44044-d11d-4921-8feb-2007a13f3b62,1.550530733158e+12,6,random,1,columns,,helper,A2,"{""safe"":[""B2"",""B3"",""C1""],""unsafe"":[]}"
testing,3208-eaab8ade-519f-4e51-ab38-bbd2ca60db21,1.55053111748e+12,0,catch,1,rows,,helper,C3,"{""safe"":[""C1"",""C2""],""unsafe"":[]}"
testing,3208-eaab8ade-519f-4e51-ab38-bbd2ca60db21,1.550531262008e+12,2,random,1,columns,,helper,B3,"{""safe"":[""A3"",""B1"",""C2"",""C3""],""unsafe"":[]}"
testing,3208-eaab8ade-519f-4e51-ab38-bbd2ca60db21,1.550531311078e+12,4,random,1,rows,,helper,B1,"{""safe"":[""B2"",""B3"",""C1"",""C3""],""unsafe"":[]}"
testing,3208-eaab8ade-519f-4e51-ab38-bbd2ca60db21,1.55053135285e+12,6,random,1,rows,,helper,A3,"{""safe"":[""A1"",""A2"",""C1""],""unsafe"":[]}"
testing,3208-eaab8ade-519f-4e51-ab38-bbd2ca60db21,1.550531381807e+12,8,pragmatic,1,columns,,helper,B3,"{""safe"":[""A3""],""unsafe"":[]}"
testing,3208-eaab8ade-519f-4e51-ab38-bbd2ca60db21,1.550531397989e+12,8,pragmatic,2,columns,,helper,C3,"{""safe"":[""A3"",""B3"",""A2""],""unsafe"":[]}"
testing,1211-25652227-9ee2-46b4-9e58-f2666d6eb8b3,1.550531594888e+12,1,catch,1,columns,,leader,C1,"{""safe"":[""A1"",""B1""],""unsafe"":[]}"
testing,1335-8e87828e-f301-4bdc-95f5-ca6ccbc7e8c9,1.550532090815e+12,0,catch,1,rows,,helper,A1,"{""safe"":[""A2"",""A3""],""unsafe"":[]}"
testing,1335-8e87828e-f301-4bdc-95f5-ca6ccbc7e8c9,1.550532120671e+12,0,catch,2,rows,,helper,A1,"{""safe"":[""A2"",""A3""],""unsafe"":[]}"
testing,3897-30e8cb2d-91db-4cdf-bcc1-81818f421ce8,1.55053227197e+12,0,catch,1,columns,,helper,A2,"{""safe"":[""B2"",""C2""],""unsafe"":[]}"
testing,3897-30e8cb2d-91db-4cdf-bcc1-81818f421ce8,1.550532393068e+12,2,random,1,not sure,,helper,B3,"{""safe"":[],""unsafe"":[]}"
testing,3897-30e8cb2d-91db-4cdf-bcc1-81818f421ce8,1.550532435694e+12,2,random,2,rows,,helper,A2,"{""safe"":[""A1""],""unsafe"":[""B3""]}"
testing,2719-27918d9f-537c-483e-8b18-a7c44519092b,1.550534152727e+12,0,catch,1,columns,,helper,C2,"{""safe"":[""A2"",""B2""],""unsafe"":[]}"
testing,9551-ad544a4a-a2df-484e-bac4-b6747ed49de1,1.550534324669e+12,0,catch,1,columns,,helper,A3,"{""safe"":[""B3"",""C3""],""unsafe"":[]}"
testing,2560-1e972189-9f8d-453a-aded-cd1362b3dc38,1.55053439304e+12,0,catch,1,columns,,helper,A3,"{""safe"":[""B3"",""C3""],""unsafe"":[]}"
testing,2944-fa3aae33-1148-4d0a-bf98-eb0ab53e037c,1.550535583288e+12,0,catch,1,columns,,helper,A1,"{""safe"":[""B1"",""C1""],""unsafe"":[]}"
testing,9663-b5126cb6-a41e-4dc2-aea1-08a1e9f4a190,1.550535661133e+12,0,catch,1,not sure,,helper,B1,"{""safe"":[""B2"",""B3""],""unsafe"":[]}"
testing,2316-54b4d8ad-4c67-43f6-8fa4-889ae666b88d,1.550535787527e+12,0,catch,1,columns,,helper,A3,"{""safe"":[""B3"",""C3""],""unsafe"":[]}"
testing,6945-bc9dd085-2de2-44c0-a26c-a3b88ff65c6c,1.550536195439e+12,0,catch,1,columns,,helper,C1,"{""safe"":[""A1"",""B1""],""unsafe"":[]}"
testing,1744-c49f1a06-33e2-4293-b59a-4f0da5ff72b8,1.550537748615e+12,0,catch,1,rows,,helper,B3,"{""safe"":[""B1"",""B2""],""unsafe"":[]}"
testing,6810-fced1f42-fd9a-4b55-a0f4-cb8ab83c6a30,1.550645858402e+12,0,catch,1,rows,,helper,C3,"{""safe"":[""C1"",""C2""],""unsafe"":[]}"
testing,8112-e8614ed4-6c30-44bd-949b-e4648bc0b8bd,1.5506459296e+12,1,catch,1,rows,,leader,A3,"{""safe"":[""A1"",""A2""],""unsafe"":[]}"
testing,8112-e8614ed4-6c30-44bd-949b-e4648bc0b8bd,1.550646121267e+12,3,random,1,rows,,leader,C2,"{""safe"":[""A3"",""B1"",""C3""],""unsafe"":[]}"
testing,8112-e8614ed4-6c30-44bd-949b-e4648bc0b8bd,1.550646139757e+12,3,random,2,rows,,leader,B3,"{""safe"":[""A3"",""B1"",""C3"",""B2""],""unsafe"":[""C2""]}"
testing,8112-e8614ed4-6c30-44bd-949b-e4648bc0b8bd,1.550646169896e+12,5,random,1,rows,,leader,B3,"{""safe"":[""B1"",""B2""],""unsafe"":[]}"
