type,modelLevel,goal,rationality,response,modelProb
branching,literal,G1,1.0,Q4,0.25
branching,literal,G1,1.0,Q3,0.25
branching,literal,G1,1.0,Q2,0.25
branching,literal,G1,1.0,Q1,0.25
branching,pragmatic,G1,1.0,Q4,0.02
branching,pragmatic,G1,1.0,Q3,0.02
branching,pragmatic,G1,1.0,Q2,0.02
branching,pragmatic,G1,1.0,Q1,0.95
branching,explicit,G1,1.0,Q4,0.23
branching,explicit,G1,1.0,Q3,0.23
branching,explicit,G1,1.0,Q2,0.25
branching,explicit,G1,1.0,Q1,0.30
branching,literal,G2,1.0,Q4,0.25
branching,literal,G2,1.0,Q3,0.25
branching,literal,G2,1.0,Q2,0.25
branching,literal,G2,1.0,Q1,0.25
branching,pragmatic,G2,1.0,Q4,0.05
branching,pragmatic,G2,1.0,Q3,0.09
branching,pragmatic,G2,1.0,Q2,0.83
branching,pragmatic,G2,1.0,Q1,0.03
branching,explicit,G2,1.0,Q4,0.25
branching,explicit,G2,1.0,Q3,0.26
branching,explicit,G2,1.0,Q2,0.27
branching,explicit,G2,1.0,Q1,0.23
branching,literal,G3,1.0,Q4,0.25
branching,literal,G3,1.0,Q3,0.25
branching,literal,G3,1.0,Q2,0.25
branching,literal,G3,1.0,Q1,0.25
branching,pragmatic,G3,1.0,Q4,0.18
branching,pragmatic,G3,1.0,Q3,0.71
branching,pragmatic,G3,1.0,Q2,0.06
branching,pragmatic,G3,1.0,Q1,0.05
branching,explicit,G3,1.0,Q4,0.26
branching,explicit,G3,1.0,Q3,0.27
branching,explicit,G3,1.0,Q2,0.24
branching,explicit,G3,1.0,Q1,0.24
branching,literal,G4,1.0,Q4,0.25
branching,literal,G4,1.0,Q3,0.25
branching,literal,G4,1.0,Q2,0.25
branching,literal,G4,1.0,Q1,0.25
branching,pragmatic,G4,1.0,Q4,0.73
branching,pragmatic,G4,1.0,Q3,0.10
branching,pragmatic,G4,1.0,Q2,0.10
branching,pragmatic,G4,1.0,Q1,0.08
branching,explicit,G4,1.0,Q4,0.27
branching,explicit,G4,1.0,Q3,0.24
branching,explicit,G4,1.0,Q2,0.24
branching,explicit,G4,1.0,Q1,0.24
branching,literal,G1,1.1,Q4,0.25
branching,literal,G1,1.1,Q3,0.25
branching,literal,G1,1.1,Q2,0.25
branching,literal,G1,1.1,Q1,0.25
branching,pragmatic,G1,1.1,Q4,0.02
branching,pragmatic,G1,1.1,Q3,0.02
branching,pragmatic,G1,1.1,Q2,0.02
branching,pragmatic,G1,1.1,Q1,0.95
branching,explicit,G1,1.1,Q4,0.22
branching,explicit,G1,1.1,Q3,0.23
branching,explicit,G1,1.1,Q2,0.25
branching,explicit,G1,1.1,Q1,0.31
branching,literal,G2,1.1,Q4,0.25
branching,literal,G2,1.1,Q3,0.25
branching,literal,G2,1.1,Q2,0.25
branching,literal,G2,1.1,Q1,0.25
branching,pragmatic,G2,1.1,Q4,0.05
branching,pragmatic,G2,1.1,Q3,0.09
branching,pragmatic,G2,1.1,Q2,0.83
branching,pragmatic,G2,1.1,Q1,0.03
branching,explicit,G2,1.1,Q4,0.25
branching,explicit,G2,1.1,Q3,0.26
