paramType,parameter,item1,item2,value,prob
predictive,couch,branching,artifact,whereIsThing?,0.00006546217412055859,0.0020000000000000044
predictive,couch,branching,artifact,whereIsSeat?,0.0008930753221858972,0.0020000000000000044
predictive,couch,branching,artifact,whereIsFurniture?,0.004361244518237764,0.0020000000000000044
predictive,couch,branching,artifact,whereIsCouch?,0.9946802179854556,0.0020000000000000044
predictive,chair,branching,artifact,whereIsThing?,0.008656676967419003,0.0020000000000000044
predictive,chair,branching,artifact,whereIsSeat?,0.9786929902438765,0.0020000000000000044
predictive,chair,branching,artifact,whereIsFurniture?,0.011771611626084559,0.0020000000000000044
predictive,chair,branching,artifact,whereIsCouch?,0.0008787211626198345,0.0020000000000000044
predictive,table,branching,artifact,whereIsThing?,0.4025807502800875,0.0020000000000000044
predictive,table,branching,artifact,whereIsSeat?,0.03140173009043384,0.0020000000000000044
predictive,table,branching,artifact,whereIsFurniture?,0.5346157895390448,0.0020000000000000044
predictive,table,branching,artifact,whereIsCouch?,0.03140173009043384,0.0020000000000000044
predictive,lawnmower,branching,artifact,whereIsThing?,0.9756706233359257,0.0020000000000000044
predictive,lawnmower,branching,artifact,whereIsSeat?,0.008109792221358382,0.0020000000000000044
predictive,lawnmower,branching,artifact,whereIsFurniture?,0.008109792221358382,0.0020000000000000044
predictive,lawnmower,branching,artifact,whereIsCouch?,0.008109792221358382,0.0020000000000000044
predictive,dalmatian,branching,animals,whereIsPet?,0.000980831340430112,0.0020000000000000044
predictive,dalmatian,branching,animals,whereIsDog?,0.01811156879644679,0.0020000000000000044
predictive,dalmatian,branching,animals,whereIsDalmatian?,0.9804997037848726,0.0020000000000000044
predictive,dalmatian,branching,animals,whereIsAnimal?,0.000407896078251046,0.0020000000000000044
predictive,poodle,branching,animals,whereIsPet?,0.22351381458051986,0.0020000000000000044
predictive,poodle,branching,animals,whereIsDog?,0.6703643606399049,0.0020000000000000044
predictive,poodle,branching,animals,whereIsDalmatian?,0.012382818872405832,0.0020000000000000044
predictive,poodle,branching,animals,whereIsAnimal?,0.0937390059071693,0.0020000000000000044
predictive,siamese cat,branching,animals,whereIsPet?,0.7247565161819189,0.0020000000000000044
predictive,siamese cat,branching,animals,whereIsDog?,0.013086510150573197,0.0020000000000000044
predictive,siamese cat,branching,animals,whereIsDalmatian?,0.013086510150573197,0.0020000000000000044
predictive,siamese cat,branching,animals,whereIsAnimal?,0.24907046351693474,0.0020000000000000044
predictive,whale,branching,animals,whereIsPet?,0.05080282613984554,0.0020000000000000044
predictive,whale,branching,animals,whereIsDog?,0.05080282613984554,0.0020000000000000044
predictive,whale,branching,animals,whereIsDalmatian?,0.05080282613984554,0.0020000000000000044
predictive,whale,branching,animals,whereIsAnimal?,0.8475915215804632,0.0020000000000000044
predictive,cottage,branching,places,whereIsPlace?,0.010715830883119915,0.0020000000000000044
predictive,cottage,branching,places,whereIsMansion?,0.0009961307758647863,0.0020000000000000044
predictive,cottage,branching,places,whereIsHouse?,0.9771726117364152,0.0020000000000000044
predictive,cottage,branching,places,whereIsBuilding?,0.011115426604598981,0.0020000000000000044
predictive,mansion,branching,places,whereIsPlace?,0.0005172911712462965,0.0020000000000000044
