type,modelLevel,goal,rationality,response,modelProb
branching,literal,Gb:dalmatian,1.0,Qb:animal,0.25
branching,literal,Gb:dalmatian,1.0,Qb:pet,0.25
branching,literal,Gb:dalmatian,1.0,Qb:dog,0.25
branching,literal,Gb:dalmatian,1.0,Qb:dalmatian,0.25
branching,pragmatic,Gb:dalmatian,1.0,Qb:animal,0.02
branching,pragmatic,Gb:dalmatian,1.0,Qb:pet,0.02
branching,pragmatic,Gb:dalmatian,1.0,Qb:dog,0.02
branching,pragmatic,Gb:dalmatian,1.0,Qb:dalmatian,0.95
branching,explicit,Gb:dalmatian,1.0,Qb:animal,0.23
branching,explicit,Gb:dalmatian,1.0,Qb:pet,0.23
branching,explicit,Gb:dalmatian,1.0,Qb:dog,0.25
branching,explicit,Gb:dalmatian,1.0,Qb:dalmatian,0.30
branching,literal,Gb:poodle,1.0,Qb:animal,0.25
branching,literal,Gb:poodle,1.0,Qb:pet,0.25
branching,literal,Gb:poodle,1.0,Qb:dog,0.25
branching,literal,Gb:poodle,1.0,Qb:dalmatian,0.25
branching,pragmatic,Gb:poodle,1.0,Qb:animal,0.05
branching,pragmatic,Gb:poodle,1.0,Qb:pet,0.09
branching,pragmatic,Gb:poodle,1.0,Qb:dog,0.83
branching,pragmatic,Gb:poodle,1.0,Qb:dalmatian,0.03
branching,explicit,Gb:poodle,1.0,Qb:animal,0.25
branching,explicit,Gb:poodle,1.0,Qb:pet,0.26
branching,explicit,Gb:poodle,1.0,Qb:dog,0.27
branching,explicit,Gb:poodle,1.0,Qb:dalmatian,0.23
branching,literal,Gb:siamese,1.0,Qb:animal,0.25
branching,literal,Gb:siamese,1.0,Qb:pet,0.25
branching,literal,Gb:siamese,1.0,Qb:dog,0.25
branching,literal,Gb:siamese,1.0,Qb:dalmatian,0.25
branching,pragmatic,Gb:siamese,1.0,Qb:animal,0.18
branching,pragmatic,Gb:siamese,1.0,Qb:pet,0.71
branching,pragmatic,Gb:siamese,1.0,Qb:dog,0.06
branching,pragmatic,Gb:siamese,1.0,Qb:dalmatian,0.05
branching,explicit,Gb:siamese,1.0,Qb:animal,0.26
branching,explicit,Gb:siamese,1.0,Qb:pet,0.27
branching,explicit,Gb:siamese,1.0,Qb:dog,0.24
branching,explicit,Gb:siamese,1.0,Qb:dalmatian,0.24
branching,literal,Gb:whale,1.0,Qb:animal,0.25
branching,literal,Gb:whale,1.0,Qb:pet,0.25
branching,literal,Gb:whale,1.0,Qb:dog,0.25
branching,literal,Gb:whale,1.0,Qb:dalmatian,0.25
branching,pragmatic,Gb:whale,1.0,Qb:animal,0.73
branching,pragmatic,Gb:whale,1.0,Qb:pet,0.10
branching,pragmatic,Gb:whale,1.0,Qb:dog,0.10
branching,pragmatic,Gb:whale,1.0,Qb:dalmatian,0.08
branching,explicit,Gb:whale,1.0,Qb:animal,0.27
branching,explicit,Gb:whale,1.0,Qb:pet,0.24
branching,explicit,Gb:whale,1.0,Qb:dog,0.24
branching,explicit,Gb:whale,1.0,Qb:dalmatian,0.24
branching,literal,Gb:dalmatian,1.1,Qb:animal,0.25
branching,literal,Gb:dalmatian,1.1,Qb:pet,0.25
branching,literal,Gb:dalmatian,1.1,Qb:dog,0.25
branching,literal,Gb:dalmatian,1.1,Qb:dalmatian,0.25
branching,pragmatic,Gb:dalmatian,1.1,Qb:animal,0.02
branching,pragmatic,Gb:dalmatian,1.1,Qb:pet,0.02
branching,pragmatic,Gb:dalmatian,1.1,Qb:dog,0.02
branching,pragmatic,Gb:dalmatian,1.1,Qb:dalmatian,0.95
branching,explicit,Gb:dalmatian,1.1,Qb:animal,0.22
branching,explicit,Gb:dalmatian,1.1,Qb:pet,0.23
branching,explicit,Gb:dalmatian,1.1,Qb:dog,0.25
branching,explicit,Gb:dalmatian,1.1,Qb:dalmatian,0.31
branching,literal,Gb:poodle,1.1,Qb:animal,0.25
branching,literal,Gb:poodle,1.1,Qb:pet,0.25
branching,literal,Gb:poodle,1.1,Qb:dog,0.25
branching,literal,Gb:poodle,1.1,Qb:dalmatian,0.25
branching,pragmatic,Gb:poodle,1.1,Qb:animal,0.05
branching,pragmatic,Gb:poodle,1.1,Qb:pet,0.09
branching,pragmatic,Gb:poodle,1.1,Qb:dog,0.83
branching,pragmatic,Gb:poodle,1.1,Qb:dalmatian,0.03
branching,explicit,Gb:poodle,1.1,Qb:animal,0.25
branching,explicit,Gb:poodle,1.1,Qb:pet,0.26
branching,explicit,Gb:poodle,1.1,Qb:dog,0.28
branching,explicit,Gb:poodle,1.1,Qb:dalmatian,0.22
