type,domain,modelLevel,utterance,rationality,response,modelProb
branching,artifact,explicit,thing,1.3,chair,0.21
branching,artifact,explicit,thing,1.3,table,0.23
branching,artifact,explicit,thing,1.3,lawnmower,0.42
branching,artifact,literal,seat,1.3,lawnmower,0.25
branching,artifact,literal,seat,1.3,table,0.25
branching,artifact,literal,seat,1.3,chair,0.25
branching,artifact,literal,seat,1.3,couch,0.25
branching,artifact,pragmatic,seat,1.3,couch,0.23
branching,artifact,pragmatic,seat,1.3,chair,0.29
branching,artifact,pragmatic,seat,1.3,table,0.24
branching,artifact,pragmatic,seat,1.3,lawnmower,0.24
branching,artifact,explicit,seat,1.3,couch,0.24
branching,artifact,explicit,seat,1.3,chair,0.48
branching,artifact,explicit,seat,1.3,table,0.14
branching,artifact,explicit,seat,1.3,lawnmower,0.14
branching,artifact,literal,furniture,1.3,lawnmower,0.25
branching,artifact,literal,furniture,1.3,table,0.25
branching,artifact,literal,furniture,1.3,chair,0.25
branching,artifact,literal,furniture,1.3,couch,0.25
branching,artifact,pragmatic,furniture,1.3,couch,0.26
branching,artifact,pragmatic,furniture,1.3,chair,0.24
branching,artifact,pragmatic,furniture,1.3,table,0.26
branching,artifact,pragmatic,furniture,1.3,lawnmower,0.24
branching,artifact,explicit,furniture,1.3,couch,0.46
branching,artifact,explicit,furniture,1.3,chair,0.19
branching,artifact,explicit,furniture,1.3,table,0.21
branching,artifact,explicit,furniture,1.3,lawnmower,0.14
branching,artifact,literal,couch,1.3,lawnmower,0.25
branching,artifact,literal,couch,1.3,table,0.25
branching,artifact,literal,couch,1.3,chair,0.25
branching,artifact,literal,couch,1.3,couch,0.25
branching,artifact,pragmatic,couch,1.3,couch,0.29
branching,artifact,pragmatic,couch,1.3,chair,0.23
branching,artifact,pragmatic,couch,1.3,table,0.24
branching,artifact,pragmatic,couch,1.3,lawnmower,0.24
branching,artifact,explicit,couch,1.3,couch,0.58
branching,artifact,explicit,couch,1.3,chair,0.14
branching,artifact,explicit,couch,1.3,table,0.14
branching,artifact,explicit,couch,1.3,lawnmower,0.14
branching,artifact,literal,thing,1.4,lawnmower,0.25
branching,artifact,literal,thing,1.4,table,0.25
branching,artifact,literal,thing,1.4,chair,0.25
branching,artifact,literal,thing,1.4,couch,0.25
branching,artifact,pragmatic,thing,1.4,couch,0.21
branching,artifact,pragmatic,thing,1.4,chair,0.24
branching,artifact,pragmatic,thing,1.4,table,0.26
branching,artifact,pragmatic,thing,1.4,lawnmower,0.29
branching,artifact,explicit,thing,1.4,couch,0.14
branching,artifact,explicit,thing,1.4,chair,0.20
branching,artifact,explicit,thing,1.4,table,0.23
branching,artifact,explicit,thing,1.4,lawnmower,0.43
branching,artifact,literal,seat,1.4,lawnmower,0.25
branching,artifact,literal,seat,1.4,table,0.25
branching,artifact,literal,seat,1.4,chair,0.25
branching,artifact,literal,seat,1.4,couch,0.25
branching,artifact,pragmatic,seat,1.4,couch,0.23
branching,artifact,pragmatic,seat,1.4,chair,0.30
branching,artifact,pragmatic,seat,1.4,table,0.24
branching,artifact,pragmatic,seat,1.4,lawnmower,0.23
branching,artifact,explicit,seat,1.4,couch,0.24
branching,artifact,explicit,seat,1.4,chair,0.50
branching,artifact,explicit,seat,1.4,table,0.13
branching,artifact,explicit,seat,1.4,lawnmower,0.13
branching,artifact,literal,furniture,1.4,lawnmower,0.25
branching,artifact,literal,furniture,1.4,table,0.25
branching,artifact,literal,furniture,1.4,chair,0.25
branching,artifact,literal,furniture,1.4,couch,0.25
branching,artifact,pragmatic,furniture,1.4,couch,0.27
branching,artifact,pragmatic,furniture,1.4,chair,0.24
branching,artifact,pragmatic,furniture,1.4,table,0.26
branching,artifact,pragmatic,furniture,1.4,lawnmower,0.24
branching,artifact,explicit,furniture,1.4,couch,0.48
branching,artifact,explicit,furniture,1.4,chair,0.18
branching,artifact,explicit,furniture,1.4,table,0.21
branching,artifact,explicit,furniture,1.4,lawnmower,0.13
branching,artifact,literal,couch,1.4,lawnmower,0.25
branching,artifact,literal,couch,1.4,table,0.25
branching,artifact,literal,couch,1.4,chair,0.25
branching,artifact,literal,couch,1.4,couch,0.25
branching,artifact,pragmatic,couch,1.4,couch,0.30
branching,artifact,pragmatic,couch,1.4,chair,0.23
branching,artifact,pragmatic,couch,1.4,table,0.24
branching,artifact,pragmatic,couch,1.4,lawnmower,0.23
branching,artifact,explicit,couch,1.4,couch,0.61
branching,artifact,explicit,couch,1.4,chair,0.13
branching,artifact,explicit,couch,1.4,table,0.13
branching,artifact,explicit,couch,1.4,lawnmower,0.13
branching,artifact,literal,thing,1.5,lawnmower,0.25
branching,artifact,literal,thing,1.5,table,0.25
branching,artifact,literal,thing,1.5,chair,0.25
branching,artifact,literal,thing,1.5,couch,0.25
branching,artifact,pragmatic,thing,1.5,couch,0.20
branching,artifact,pragmatic,thing,1.5,chair,0.23
branching,artifact,pragmatic,thing,1.5,table,0.26
branching,artifact,pragmatic,thing,1.5,lawnmower,0.30
branching,artifact,explicit,thing,1.5,couch,0.13
branching,artifact,explicit,thing,1.5,chair,0.20
branching,artifact,explicit,thing,1.5,table,0.22
branching,artifact,explicit,thing,1.5,lawnmower,0.44
branching,artifact,literal,seat,1.5,lawnmower,0.25
branching,artifact,literal,seat,1.5,table,0.25
branching,artifact,literal,seat,1.5,chair,0.25
branching,artifact,literal,seat,1.5,couch,0.25
branching,artifact,pragmatic,seat,1.5,couch,0.22
branching,artifact,pragmatic,seat,1.5,chair,0.31
branching,artifact,pragmatic,seat,1.5,table,0.24
branching,artifact,pragmatic,seat,1.5,lawnmower,0.23
branching,artifact,explicit,seat,1.5,couch,0.24
branching,artifact,explicit,seat,1.5,chair,0.51
branching,artifact,explicit,seat,1.5,table,0.12
branching,artifact,explicit,seat,1.5,lawnmower,0.12
branching,artifact,literal,furniture,1.5,lawnmower,0.25
branching,artifact,literal,furniture,1.5,table,0.25
branching,artifact,literal,furniture,1.5,chair,0.25
