type,modelLevel,utterance,rationality,response,modelProb
equivocal,literal,Qe:whereIsPet?,9.0,Ae:dalmatian,0.25
equivocal,literal,Qe:whereIsPet?,9.0,Ae:angler,0.25
equivocal,literal,Qe:whereIsPet?,9.0,Ae:goldfish,0.25
equivocal,literal,Qe:whereIsPet?,9.0,Ae:beta,0.25
equivocal,pragmatic,Qe:whereIsPet?,9.0,Ae:beta,0.25
equivocal,pragmatic,Qe:whereIsPet?,9.0,Ae:goldfish,0.25
equivocal,pragmatic,Qe:whereIsPet?,9.0,Ae:angler,0.02
equivocal,pragmatic,Qe:whereIsPet?,9.0,Ae:dalmatian,0.48
equivocal,explicit,Qe:whereIsPet?,9.0,Ae:beta,0.33
equivocal,explicit,Qe:whereIsPet?,9.0,Ae:goldfish,0.33
equivocal,explicit,Qe:whereIsPet?,9.0,Ae:angler,0.00
equivocal,explicit,Qe:whereIsPet?,9.0,Ae:dalmatian,0.33
equivocal,literal,Qe:whereIsFish?,9.0,Ae:dalmatian,0.25
equivocal,literal,Qe:whereIsFish?,9.0,Ae:angler,0.25
equivocal,literal,Qe:whereIsFish?,9.0,Ae:goldfish,0.25
equivocal,literal,Qe:whereIsFish?,9.0,Ae:beta,0.25
equivocal,pragmatic,Qe:whereIsFish?,9.0,Ae:beta,0.25
equivocal,pragmatic,Qe:whereIsFish?,9.0,Ae:goldfish,0.25
equivocal,pragmatic,Qe:whereIsFish?,9.0,Ae:angler,0.48
equivocal,pragmatic,Qe:whereIsFish?,9.0,Ae:dalmatian,0.02
equivocal,explicit,Qe:whereIsFish?,9.0,Ae:beta,0.33
equivocal,explicit,Qe:whereIsFish?,9.0,Ae:goldfish,0.33
equivocal,explicit,Qe:whereIsFish?,9.0,Ae:angler,0.33
equivocal,explicit,Qe:whereIsFish?,9.0,Ae:dalmatian,0.00
equivocal,literal,Qe:whereIsPet?,9.1,Ae:dalmatian,0.25
equivocal,literal,Qe:whereIsPet?,9.1,Ae:angler,0.25
equivocal,literal,Qe:whereIsPet?,9.1,Ae:goldfish,0.25
equivocal,literal,Qe:whereIsPet?,9.1,Ae:beta,0.25
equivocal,pragmatic,Qe:whereIsPet?,9.1,Ae:beta,0.25
equivocal,pragmatic,Qe:whereIsPet?,9.1,Ae:goldfish,0.25
equivocal,pragmatic,Qe:whereIsPet?,9.1,Ae:angler,0.02
equivocal,pragmatic,Qe:whereIsPet?,9.1,Ae:dalmatian,0.48
equivocal,explicit,Qe:whereIsPet?,9.1,Ae:beta,0.33
equivocal,explicit,Qe:whereIsPet?,9.1,Ae:goldfish,0.33
equivocal,explicit,Qe:whereIsPet?,9.1,Ae:angler,0.00
equivocal,explicit,Qe:whereIsPet?,9.1,Ae:dalmatian,0.33
equivocal,literal,Qe:whereIsFish?,9.1,Ae:dalmatian,0.25
