type,modelLevel,utterance,rationality,response,modelProb
branching,literal,Q4,1.0,A4,0.25
branching,literal,Q4,1.0,A3,0.25
branching,literal,Q4,1.0,A2,0.25
branching,literal,Q4,1.0,A1,0.25
branching,pragmatic,Q4,1.0,A1,0.24
branching,pragmatic,Q4,1.0,A2,0.25
branching,pragmatic,Q4,1.0,A3,0.25
branching,pragmatic,Q4,1.0,A4,0.26
branching,explicit,Q4,1.0,A1,0.25
branching,explicit,Q4,1.0,A2,0.25
branching,explicit,Q4,1.0,A3,0.25
branching,explicit,Q4,1.0,A4,0.25
branching,literal,Q3,1.0,A4,0.25
branching,literal,Q3,1.0,A3,0.25
branching,literal,Q3,1.0,A2,0.25
branching,literal,Q3,1.0,A1,0.25
branching,pragmatic,Q3,1.0,A1,0.24
branching,pragmatic,Q3,1.0,A2,0.25
branching,pragmatic,Q3,1.0,A3,0.26
branching,pragmatic,Q3,1.0,A4,0.25
branching,explicit,Q3,1.0,A1,0.28
branching,explicit,Q3,1.0,A2,0.28
branching,explicit,Q3,1.0,A3,0.28
branching,explicit,Q3,1.0,A4,0.17
branching,literal,Q2,1.0,A4,0.25
branching,literal,Q2,1.0,A3,0.25
branching,literal,Q2,1.0,A2,0.25
branching,literal,Q2,1.0,A1,0.25
branching,pragmatic,Q2,1.0,A1,0.25
branching,pragmatic,Q2,1.0,A2,0.26
branching,pragmatic,Q2,1.0,A3,0.25
branching,pragmatic,Q2,1.0,A4,0.25
branching,explicit,Q2,1.0,A1,0.33
branching,explicit,Q2,1.0,A2,0.33
branching,explicit,Q2,1.0,A3,0.17
branching,explicit,Q2,1.0,A4,0.17
branching,literal,Q1,1.0,A4,0.25
branching,literal,Q1,1.0,A3,0.25
branching,literal,Q1,1.0,A2,0.25
branching,literal,Q1,1.0,A1,0.25
branching,pragmatic,Q1,1.0,A1,0.27
branching,pragmatic,Q1,1.0,A2,0.24
branching,pragmatic,Q1,1.0,A3,0.25
branching,pragmatic,Q1,1.0,A4,0.25
branching,explicit,Q1,1.0,A1,0.50
branching,explicit,Q1,1.0,A2,0.17
branching,explicit,Q1,1.0,A3,0.17
branching,explicit,Q1,1.0,A4,0.17
branching,literal,Q4,1.1,A4,0.25
branching,literal,Q4,1.1,A3,0.25
branching,literal,Q4,1.1,A2,0.25
branching,literal,Q4,1.1,A1,0.25
branching,pragmatic,Q4,1.1,A1,0.24
branching,pragmatic,Q4,1.1,A2,0.25
branching,pragmatic,Q4,1.1,A3,0.25
branching,pragmatic,Q4,1.1,A4,0.26
branching,explicit,Q4,1.1,A1,0.25
branching,explicit,Q4,1.1,A2,0.25
branching,explicit,Q4,1.1,A3,0.25
branching,explicit,Q4,1.1,A4,0.25
branching,literal,Q3,1.1,A4,0.25
branching,literal,Q3,1.1,A3,0.25
branching,literal,Q3,1.1,A2,0.25
branching,literal,Q3,1.1,A1,0.25
branching,pragmatic,Q3,1.1,A1,0.24
branching,pragmatic,Q3,1.1,A2,0.25
branching,pragmatic,Q3,1.1,A3,0.26
branching,pragmatic,Q3,1.1,A4,0.25
branching,explicit,Q3,1.1,A1,0.28
branching,explicit,Q3,1.1,A2,0.28
branching,explicit,Q3,1.1,A3,0.28
branching,explicit,Q3,1.1,A4,0.16
branching,literal,Q2,1.1,A4,0.25
branching,literal,Q2,1.1,A3,0.25
branching,literal,Q2,1.1,A2,0.25
branching,literal,Q2,1.1,A1,0.25
branching,pragmatic,Q2,1.1,A1,0.25
branching,pragmatic,Q2,1.1,A2,0.26
branching,pragmatic,Q2,1.1,A3,0.24
branching,pragmatic,Q2,1.1,A4,0.25
branching,explicit,Q2,1.1,A1,0.34
branching,explicit,Q2,1.1,A2,0.34
branching,explicit,Q2,1.1,A3,0.16
branching,explicit,Q2,1.1,A4,0.16
branching,literal,Q1,1.1,A4,0.25
branching,literal,Q1,1.1,A3,0.25
branching,literal,Q1,1.1,A2,0.25
branching,literal,Q1,1.1,A1,0.25
branching,pragmatic,Q1,1.1,A1,0.27
branching,pragmatic,Q1,1.1,A2,0.24
branching,pragmatic,Q1,1.1,A3,0.24
branching,pragmatic,Q1,1.1,A4,0.25
branching,explicit,Q1,1.1,A1,0.53
branching,explicit,Q1,1.1,A2,0.16
branching,explicit,Q1,1.1,A3,0.16
branching,explicit,Q1,1.1,A4,0.16
branching,literal,Q4,1.2,A4,0.25
branching,literal,Q4,1.2,A3,0.25
branching,literal,Q4,1.2,A2,0.25
branching,literal,Q4,1.2,A1,0.25
branching,pragmatic,Q4,1.2,A1,0.24
branching,pragmatic,Q4,1.2,A2,0.25
branching,pragmatic,Q4,1.2,A3,0.26
