questionerType,initState,goal,question,prob
pragmatic,"A1,A2,B2,B3,C1",columns,C2,0.99
explicit,"A1,A2,B2,B3,C1",rows,A3,0.50
explicit,"A1,A2,B2,B3,C1",rows,B1,0.50
pragmatic,"A1,A2,B2,B3,C1",rows,A3,0.99
pragmatic,"A1,A2,B2,B3,C1",rows,B1,0.01
explicit,"A1,A2,B2,B3,C3",columns,A3,0.50
explicit,"A1,A2,B2,B3,C3",columns,C2,0.50
pragmatic,"A1,A2,B2,B3,C3",columns,A3,0.01
pragmatic,"A1,A2,B2,B3,C3",columns,C2,0.99
explicit,"A1,A2,B2,B3,C3",rows,A3,0.50
explicit,"A1,A2,B2,B3,C3",rows,B1,0.50
pragmatic,"A1,A2,B2,B3,C3",rows,A3,0.01
pragmatic,"A1,A2,B2,B3,C3",rows,B1,0.99
explicit,"A1,A2,B2,B3",columns,C2,1.00
pragmatic,"A1,A2,B2,B3",columns,C2,1.00
explicit,"A1,A2,B2,B3",rows,A3,0.50
explicit,"A1,A2,B2,B3",rows,B1,0.50
pragmatic,"A1,A2,B2,B3",rows,A3,0.50
pragmatic,"A1,A2,B2,B3",rows,B1,0.50
explicit,"A1,A2,B2,C1,C3",columns,B1,0.50
explicit,"A1,A2,B2,C1,C3",columns,C2,0.50
pragmatic,"A1,A2,B2,C1,C3",columns,B1,0.99
pragmatic,"A1,A2,B2,C1,C3",columns,C2,0.01
explicit,"A1,A2,B2,C1,C3",rows,A3,0.50
explicit,"A1,A2,B2,C1,C3",rows,C2,0.50
pragmatic,"A1,A2,B2,C1,C3",rows,A3,0.99
pragmatic,"A1,A2,B2,C1,C3",rows,C2,0.01
explicit,"A1,A2,B2,C1",columns,B1,0.50
explicit,"A1,A2,B2,C1",columns,C2,0.50
pragmatic,"A1,A2,B2,C1",columns,B1,0.50
pragmatic,"A1,A2,B2,C1",columns,C2,0.50
explicit,"A1,A2,B2,C1",rows,A3,1.00
pragmatic,"A1,A2,B2,C1",rows,A3,1.00
explicit,"A1,A2,B2,C3",columns,C2,1.00
pragmatic,"A1,A2,B2,C3",columns,C2,0.99
explicit,"A1,A2,B2,C3",rows,A3,1.00
pragmatic,"A1,A2,B2,C3",rows,A3,0.99
explicit,"A1,A2,B2",columns,C2,1.00
pragmatic,"A1,A2,B2",columns,C2,1.00
explicit,"A1,A2,B2",rows,A3,1.00
pragmatic,"A1,A2,B2",rows,A3,1.00
explicit,"A1,A2,B3,C1,C2",columns,B1,0.50
explicit,"A1,A2,B3,C1,C2",columns,B2,0.50
pragmatic,"A1,A2,B3,C1,C2",columns,B1,0.50
pragmatic,"A1,A2,B3,C1,C2",columns,B2,0.50
explicit,"A1,A2,B3,C1,C2",rows,A3,0.50
explicit,"A1,A2,B3,C1,C2",rows,C3,0.50
pragmatic,"A1,A2,B3,C1,C2",rows,A3,0.50
pragmatic,"A1,A2,B3,C1,C2",rows,C3,0.50
explicit,"A1,A2,B3,C1,C3",columns,A3,0.50
explicit,"A1,A2,B3,C1,C3",columns,B1,0.50
pragmatic,"A1,A2,B3,C1,C3",columns,A3,0.01
pragmatic,"A1,A2,B3,C1,C3",columns,B1,0.99
explicit,"A1,A2,B3,C1,C3",rows,A3,0.50
explicit,"A1,A2,B3,C1,C3",rows,C2,0.50
pragmatic,"A1,A2,B3,C1,C3",rows,A3,0.01
pragmatic,"A1,A2,B3,C1,C3",rows,C2,0.99
explicit,"A1,A2,B3,C1",columns,B1,1.00
pragmatic,"A1,A2,B3,C1",columns,B1,0.99
explicit,"A1,A2,B3,C1",rows,A3,1.00
pragmatic,"A1,A2,B3,C1",rows,A3,0.99
explicit,"A1,A2,B3,C2,C3",columns,A3,0.50
explicit,"A1,A2,B3,C2,C3",columns,B2,0.50
pragmatic,"A1,A2,B3,C2,C3",columns,A3,0.01
pragmatic,"A1,A2,B3,C2,C3",columns,B2,0.99
explicit,"A1,A2,B3,C2,C3",rows,A3,0.50
explicit,"A1,A2,B3,C2,C3",rows,C1,0.50
pragmatic,"A1,A2,B3,C2,C3",rows,A3,0.01
pragmatic,"A1,A2,B3,C2,C3",rows,C1,0.99
explicit,"A1,A2,B3,C2",columns,B2,1.00
