parameter,value,prob
alpha,10.931574841961265,0.020000000000000004
beta,0.3888571870047599,0.020000000000000004
expVsPrag,0.11525246035307646,0.020000000000000004
alpha,10.931574841961265,0.06
beta,0.5273130834102631,0.06
expVsPrag,0.11525246035307646,0.06
alpha,10.931574841961265,0.020000000000000004
beta,0.5273130834102631,0.020000000000000004
expVsPrag,0.9227671015542,0.020000000000000004
alpha,10.931574841961265,0.020000000000000004
beta,0.9961523639503866,0.020000000000000004
expVsPrag,0.9227671015542,0.020000000000000004
alpha,10.931574841961265,0.020000000000000004
beta,0.5116123158950359,0.020000000000000004
expVsPrag,0.9227671015542,0.020000000000000004
alpha,10.931574841961265,0.04000000000000001
beta,0.5116123158950359,0.04000000000000001
expVsPrag,0.27901222952641547,0.04000000000000001
alpha,10.931574841961265,0.020000000000000004
beta,0.5116123158950359,0.020000000000000004
expVsPrag,0.5237626587040722,0.020000000000000004
alpha,10.931574841961265,0.04000000000000001
beta,0.5116123158950359,0.04000000000000001
expVsPrag,0.8093940331600606,0.04000000000000001
alpha,9.480159576050937,0.020000000000000004
beta,0.5116123158950359,0.020000000000000004
expVsPrag,0.8093940331600606,0.020000000000000004
alpha,9.480159576050937,0.07999999999999999
beta,0.8342692486476153,0.07999999999999999
expVsPrag,0.8093940331600606,0.07999999999999999
alpha,9.480159576050937,0.04000000000000001
beta,0.46913999365642667,0.04000000000000001
expVsPrag,0.8093940331600606,0.04000000000000001
alpha,9.480159576050937,0.04000000000000001
beta,0.6619067811407149,0.04000000000000001
expVsPrag,0.8093940331600606,0.04000000000000001
alpha,7.405740823596716,0.16
beta,0.6619067811407149,0.16
expVsPrag,0.8093940331600606,0.16
alpha,7.405740823596716,0.020000000000000004
beta,0.17347581312060356,0.020000000000000004
expVsPrag,0.8093940331600606,0.020000000000000004
alpha,7.405740823596716,0.020000000000000004
beta,0.7996770828031003,0.020000000000000004
expVsPrag,0.8093940331600606,0.020000000000000004
alpha,7.405740823596716,0.04000000000000001
beta,0.7996770828031003,0.04000000000000001
expVsPrag,0.7208784825634211,0.04000000000000001
alpha,7.405740823596716,0.020000000000000004
beta,0.7996770828031003,0.020000000000000004
expVsPrag,0.9142735986970365,0.020000000000000004
alpha,7.405740823596716,0.07999999999999999
beta,0.7076079314574599,0.07999999999999999
expVsPrag,0.9142735986970365,0.07999999999999999
alpha,7.405740823596716,0.020000000000000004
beta,0.7076079314574599,0.020000000000000004
expVsPrag,0.6987868205178529,0.020000000000000004
alpha,7.405740823596716,0.020000000000000004
beta,0.016026365105062723,0.020000000000000004
expVsPrag,0.6987868205178529,0.020000000000000004
alpha,7.405740823596716,0.020000000000000004
beta,0.016026365105062723,0.020000000000000004
expVsPrag,0.5339989303611219,0.020000000000000004
alpha,7.405740823596716,0.020000000000000004
beta,0.06826888211071491,0.020000000000000004
expVsPrag,0.5339989303611219,0.020000000000000004
alpha,7.405740823596716,0.06
beta,0.06826888211071491,0.06
expVsPrag,0.5854081683792174,0.06
alpha,7.405740823596716,0.020000000000000004
beta,0.5948160411790013,0.020000000000000004
expVsPrag,0.5854081683792174,0.020000000000000004
alpha,7.405740823596716,0.020000000000000004
beta,0.28119701868854463,0.020000000000000004
expVsPrag,0.5854081683792174,0.020000000000000004
alpha,9.467595764435828,0.020000000000000004
beta,0.28119701868854463,0.020000000000000004
expVsPrag,0.5854081683792174,0.020000000000000004
alpha,9.467595764435828,0.020000000000000004
beta,0.28119701868854463,0.020000000000000004
expVsPrag,0.653897981159389,0.020000000000000004
alpha,9.467595764435828,0.020000000000000004
beta,0.28119701868854463,0.020000000000000004
expVsPrag,0.5912968686316162,0.020000000000000004
