iterationName	gameid	time	trialNum	trialType	targetGoalSet	distractorGoalSet	firstRole	cardAskedAbout	sender	timeFromRoundStart	eventType
single-player-pilot	6731-315c810d-5389-40df-8565-e6bd58376594	1546717559729	0	catch	7D	AD	seeker	AD		7505	chatMessage
single-player-pilot	6731-315c810d-5389-40df-8565-e6bd58376594	1546717569869	0	catch	7D	AD	seeker	7D		17650	chatMessage
single-player-pilot	6731-315c810d-5389-40df-8565-e6bd58376594	1546717583631	1	baseline	9S,8C	3C,9C	seeker	9S		7155	chatMessage
single-player-pilot	6731-315c810d-5389-40df-8565-e6bd58376594	1546717597892	2	overlap	4S,5D	QD,5D	seeker	5D		7663	chatMessage
single-player-pilot	6731-315c810d-5389-40df-8565-e6bd58376594	1546717607678	2	overlap	4S,5D	QD,5D	seeker	4S		17449	chatMessage
single-player-pilot	6731-315c810d-5389-40df-8565-e6bd58376594	1546717619297	3	baseline	9C,6C	6D,KH	seeker	9C	bot	5000	chatMessage
single-player-pilot	6731-315c810d-5389-40df-8565-e6bd58376594	1546717638929	4	overlap	KD,AC	KH,AC	seeker	KD	bot	5000	chatMessage
single-player-pilot	6731-315c810d-5389-40df-8565-e6bd58376594	1546717654027	5	catch	7C	9S	seeker	7C	bot	5000	chatMessage
single-player-pilot	0659-745c84b1-6b6f-4426-840a-18df07b03516	1546717887804	0	baseline	10D,8C	4S,8H	seeker	10D		17756	chatMessage
single-player-pilot	0659-745c84b1-6b6f-4426-840a-18df07b03516	1546717900746	1	overlap	8D,9D	7H,9D	seeker	8D		6206	chatMessage
single-player-pilot	0659-745c84b1-6b6f-4426-840a-18df07b03516	1546717913931	2	catch	AD	JD	seeker	AD		6442	chatMessage
single-player-pilot	0659-745c84b1-6b6f-4426-840a-18df07b03516	1546717925705	3	baseline	QS,3H	10D,2D	seeker	QS	bot	5000	chatMessage
single-player-pilot	0659-745c84b1-6b6f-4426-840a-18df07b03516	1546717944080	4	catch	8C	QC	seeker	8C	bot	5000	chatMessage
single-player-pilot	0659-745c84b1-6b6f-4426-840a-18df07b03516	1546717956634	5	overlap	JS,9C	10H,9C	seeker	JS	bot	5000	chatMessage
single-player-pilot	1409-08236860-13c5-496c-a624-9449ff745e6a	1546717944316	0	baseline	3H,5H	AH,2H	helper	3H	bot	5000	chatMessage
single-player-pilot	1409-08236860-13c5-496c-a624-9449ff745e6a	1546717963925	1	catch	6C	10S	helper	6C	bot	5000	chatMessage
