iterationName,gameid,time,trialNum,trialType,targetGoalSet,distractorGoalSet,firstRole,cardAskedAbout,sender,timeFromRoundStart
testing,8405-ed5eedc5-a84a-434f-8e52-77e9f6701945,1.54443274233e+12,0,baseline,"[""KH"",""JC""]","[""7S"",""3S""]",,,,1903
testing,8405-ed5eedc5-a84a-434f-8e52-77e9f6701945,1.544432753067e+12,0,baseline,"[""KH"",""JC""]","[""7S"",""3S""]",,,,1541
testing,8405-ed5eedc5-a84a-434f-8e52-77e9f6701945,1.544432767539e+12,1,baseline,"[""8C"",""2C""]","[""QD"",""4C""]",,,,1434
testing,8405-ed5eedc5-a84a-434f-8e52-77e9f6701945,1.544432783221e+12,2,catch,"[""3S""]","[""AD""]",,,,1783
testing,8405-ed5eedc5-a84a-434f-8e52-77e9f6701945,1.544432796096e+12,3,catch,"[""9D""]","[""QC""]",,,,2625
testing,8405-ed5eedc5-a84a-434f-8e52-77e9f6701945,1.544432809961e+12,4,overlap,"[""10C"",""KH""]","[""3S"",""KH""]",,,,1485
testing,8405-ed5eedc5-a84a-434f-8e52-77e9f6701945,1.544432822738e+12,5,overlap,"[""4C"",""9S""]","[""6S"",""9S""]",,,,2878
testing,8405-ed5eedc5-a84a-434f-8e52-77e9f6701945,1.544432832337e+12,5,overlap,"[""4C"",""9S""]","[""6S"",""9S""]",,,,1375
testing,8405-ed5eedc5-a84a-434f-8e52-77e9f6701945,1.544432838739e+12,5,overlap,"[""4C"",""9S""]","[""6S"",""9S""]",,,,1163
testing,8405-ed5eedc5-a84a-434f-8e52-77e9f6701945,1.544432849484e+12,5,overlap,"[""4C"",""9S""]","[""6S"",""9S""]",,,,1304
testing,4994-2acf0ee5-da5a-4585-be46-d4faaa81ba5e,1.544476267992e+12,0,catch,"[""7D""]","[""10H""]",,,,1812
testing,0435-e95213a1-ce03-4291-b30c-0ebb70f018fa,1.544476331829e+12,0,catch,"[""3H""]","[""4C""]",,,,259
testing,7259-516b4792-38fa-4a9d-b22b-b3b1c8dbad40,1.544476455527e+12,0,overlap,"[""8H"",""KC""]","[""6H"",""KC""]",,,,175
testing,7259-516b4792-38fa-4a9d-b22b-b3b1c8dbad40,1.544476469591e+12,1,catch,"[""JC""]","[""10C""]",,,,1047
testing,7259-516b4792-38fa-4a9d-b22b-b3b1c8dbad40,1.544476484783e+12,2,baseline,"[""5H"",""AH""]","[""9H"",""6C""]",,,,1019
testing,7259-516b4792-38fa-4a9d-b22b-b3b1c8dbad40,1.544476501904e+12,3,overlap,"[""6D"",""3C""]","[""AD"",""3C""]",,,,1427
testing,7259-516b4792-38fa-4a9d-b22b-b3b1c8dbad40,1.544476516137e+12,4,catch,"[""8H""]","[""2C""]",,,,2668
testing,7259-516b4792-38fa-4a9d-b22b-b3b1c8dbad40,1.54447652474e+12,4,catch,"[""8H""]","[""2C""]",,,,2965
testing,7259-516b4792-38fa-4a9d-b22b-b3b1c8dbad40,1.544476540914e+12,5,baseline,"[""3S"",""4D""]","[""7S"",""3H""]",,,,2913
testing,7259-516b4792-38fa-4a9d-b22b-b3b1c8dbad40,1.544476551225e+12,5,baseline,"[""3S"",""4D""]","[""7S"",""3H""]",,,,1357
pilot0,1712-efe2127a-4185-4560-83b5-21e662978ae7,1.544484914337e+12,0,catch,"[""QS""]","[""10S""]",,,,6589
pilot0,1712-efe2127a-4185-4560-83b5-21e662978ae7,1.544484931572e+12,1,overlap,"[""5C"",""2D""]","[""4C"",""2D""]",,,,3760
pilot0,1712-efe2127a-4185-4560-83b5-21e662978ae7,1.544484953144e+12,1,overlap,"[""5C"",""2D""]","[""4C"",""2D""]",,,,3738
pilot0,1712-efe2127a-4185-4560-83b5-21e662978ae7,1.544484968579e+12,2,baseline,"[""10D"",""9H""]","[""QC"",""KS""]",,,,1984
pilot0,1712-efe2127a-4185-4560-83b5-21e662978ae7,1.544484985988e+12,3,catch,"[""QS""]","[""4C""]",,,,4259
pilot0,1712-efe2127a-4185-4560-83b5-21e662978ae7,1.54448500502e+12,4,overlap,"[""QS"",""2H""]","[""8D"",""2H""]",,,,3074
pilot0,1712-efe2127a-4185-4560-83b5-21e662978ae7,1.544485016987e+12,4,overlap,"[""QS"",""2H""]","[""8D"",""2H""]",,,,2832
pilot0,1712-efe2127a-4185-4560-83b5-21e662978ae7,1.54448503499e+12,5,baseline,"[""5D"",""KS""]","[""7S"",""3S""]",,,,8245
pilot0,4088-9de6a0f7-018a-4f82-8776-cc0812be7927,1.544485173514e+12,0,catch,"[""10H""]","[""2C""]",,,,6414
pilot0,4088-9de6a0f7-018a-4f82-8776-cc0812be7927,1.544485188878e+12,0,catch,"[""10H""]","[""2C""]",,,,4493
pilot0,4088-9de6a0f7-018a-4f82-8776-cc0812be7927,1.544485273082e+12,1,baseline,"[""7S"",""7H""]","[""3S"",""5S""]",,,,59347
pilot0,4088-9de6a0f7-018a-4f82-8776-cc0812be7927,1.5444852833e+12,1,baseline,"[""7S"",""7H""]","[""3S"",""5S""]",,,,7258
pilot0,4088-9de6a0f7-018a-4f82-8776-cc0812be7927,1.544485309589e+12,1,baseline,"[""7S"",""7H""]","[""3S"",""5S""]",,,,5576
pilot0,4088-9de6a0f7-018a-4f82-8776-cc0812be7927,1.544485340187e+12,2,baseline,"[""6C"",""9C""]","[""5D"",""AH""]",,,,4727
