iterationName	gameid	time	score	gameID	quizFailCounter	thinksHuman	nativeEnglish	ratePartner	confused	comments	strategy	role	totalLength	eventType
full_sample	2278-86591ce2-1395-42a0-a882-f146bae81089	1546221178391	30	2278-86591ce2-1395-42a0-a882-f146bae81089	1	yes	yes	liked	yes		Choose the one of the pair that only happens once	helper	151406	exitSurvey
full_sample	2278-86591ce2-1395-42a0-a882-f146bae81089	1546221225074	30	2278-86591ce2-1395-42a0-a882-f146bae81089	0	yes	yes	okay	yes	Groovy,	It didn't really require much of a strategy, Reveal the cards needed or ask for the card that would show the needed cards,	seeker	224769	exitSurvey
