iterationName	gameid	time	score	gameID	quizFailCounter	thinksHuman	nativeEnglish	ratePartner	confused	comments	strategy	role	totalLength	eventType
full_sample	2918-51159c7b-d0ae-44bb-91f7-6a6a733ba7d2	1546229557319	20	2918-51159c7b-d0ae-44bb-91f7-6a6a733ba7d2	2	no	yes	liked	yes	Thanks for the bonus!	Answer the questions that were asked, 	seeker	269124	exitSurvey
full_sample	2918-51159c7b-d0ae-44bb-91f7-6a6a733ba7d2	1546229594472	20	2918-51159c7b-d0ae-44bb-91f7-6a6a733ba7d2	0	no	yes	not much	yes	My partner didn't seem to realize that they could reveal more than one card at a time	I tried to ask for the card that only existed in one combo, and I assumed my partner did the same	helper	267435	exitSurvey
