iterationName	gameid	time	trialNum	trialType	targetGoalSet	distractorGoalSet	revealedObjs	numRevealed	fullContext	eventType
full_sample	6547-5b997036-f70b-4b94-9aee-3785417bfc51	1546229767901	0	baseline	7S,KC	AS,10S	10S	1	[{"name":"KC","gridX":4,"gridY":3},{"name":"5S","gridX":3,"gridY":1},{"name":"7S","gridX":4,"gridY":4},{"name":"9H","gridX":3,"gridY":2},{"name":"AS","gridX":2,"gridY":1},{"name":"10S","gridX":1,"gridY":4},{"name":"4H","gridX":1,"gridY":2}]	reveal
full_sample	6547-5b997036-f70b-4b94-9aee-3785417bfc51	1546229792324	0	baseline	7S,KC	AS,10S	AS	1	[{"name":"KC","gridX":4,"gridY":3},{"name":"5S","gridX":3,"gridY":1},{"name":"7S","gridX":4,"gridY":4},{"name":"9H","gridX":3,"gridY":2},{"name":"AS","gridX":2,"gridY":1},{"name":"10S","gridX":1,"gridY":4},{"name":"4H","gridX":1,"gridY":2}]	reveal
full_sample	6547-5b997036-f70b-4b94-9aee-3785417bfc51	1546229825933	0	baseline	7S,KC	AS,10S	7S	1	[{"name":"KC","gridX":4,"gridY":3},{"name":"5S","gridX":3,"gridY":1},{"name":"7S","gridX":4,"gridY":4},{"name":"9H","gridX":3,"gridY":2},{"name":"AS","gridX":2,"gridY":1},{"name":"10S","gridX":1,"gridY":4},{"name":"4H","gridX":1,"gridY":2}]	reveal
full_sample	6547-5b997036-f70b-4b94-9aee-3785417bfc51	1546229838870	0	baseline	7S,KC	AS,10S	KC	1	[{"name":"KC","gridX":4,"gridY":3},{"name":"5S","gridX":3,"gridY":1},{"name":"7S","gridX":4,"gridY":4},{"name":"9H","gridX":3,"gridY":2},{"name":"AS","gridX":2,"gridY":1},{"name":"10S","gridX":1,"gridY":4},{"name":"4H","gridX":1,"gridY":2}]	reveal
full_sample	6547-5b997036-f70b-4b94-9aee-3785417bfc51	1546229862577	1	baseline	7S,2H	7H,8S	2H	1	[{"name":"4D","gridX":2,"gridY":1},{"name":"8S","gridX":1,"gridY":1},{"name":"7H","gridX":3,"gridY":1},{"name":"2H","gridX":2,"gridY":2},{"name":"7S","gridX":3,"gridY":2}]	reveal
full_sample	6547-5b997036-f70b-4b94-9aee-3785417bfc51	1546229875476	1	baseline	7S,2H	7H,8S	7S	1	[{"name":"4D","gridX":2,"gridY":1},{"name":"8S","gridX":1,"gridY":1},{"name":"7H","gridX":3,"gridY":1},{"name":"2H","gridX":2,"gridY":2},{"name":"7S","gridX":3,"gridY":2}]	reveal
full_sample	6547-5b997036-f70b-4b94-9aee-3785417bfc51	1546229896219	2	catch	5H	8D	5H	1	[{"name":"KS","gridX":3,"gridY":3},{"name":"5H","gridX":2,"gridY":4},{"name":"8S","gridX":4,"gridY":3},{"name":"8D","gridX":3,"gridY":2},{"name":"KC","gridX":3,"gridY":1},{"name":"5S","gridX":1,"gridY":2},{"name":"3H","gridX":4,"gridY":1}]	reveal
full_sample	6547-5b997036-f70b-4b94-9aee-3785417bfc51	1546229911672	3	catch	KS	AS	KS	1	[{"name":"3H","gridX":2,"gridY":4},{"name":"5D","gridX":1,"gridY":3},{"name":"KS","gridX":3,"gridY":2},{"name":"AS","gridX":3,"gridY":4},{"name":"10D","gridX":3,"gridY":1}]	reveal
full_sample	6547-5b997036-f70b-4b94-9aee-3785417bfc51	1546229935939	4	overlap	9D,6S	2S,6S	6S	1	[{"name":"10C","gridX":3,"gridY":2},{"name":"2S","gridX":3,"gridY":3},{"name":"9D","gridX":1,"gridY":4},{"name":"QD","gridX":2,"gridY":4},{"name":"4H","gridX":2,"gridY":2},{"name":"6S","gridX":1,"gridY":1}]	reveal
full_sample	6547-5b997036-f70b-4b94-9aee-3785417bfc51	1546229951763	4	overlap	9D,6S	2S,6S	9D	1	[{"name":"10C","gridX":3,"gridY":2},{"name":"2S","gridX":3,"gridY":3},{"name":"9D","gridX":1,"gridY":4},{"name":"QD","gridX":2,"gridY":4},{"name":"4H","gridX":2,"gridY":2},{"name":"6S","gridX":1,"gridY":1}]	reveal
full_sample	6547-5b997036-f70b-4b94-9aee-3785417bfc51	1546229972117	5	overlap	5H,8D	9D,8D	8D	1	[{"name":"5C","gridX":2,"gridY":2},{"name":"9D","gridX":4,"gridY":1},{"name":"5H","gridX":1,"gridY":4},{"name":"8D","gridX":3,"gridY":2},{"name":"KH","gridX":4,"gridY":4}]	reveal
full_sample	6547-5b997036-f70b-4b94-9aee-3785417bfc51	1546229984426	5	overlap	5H,8D	9D,8D	5C	1	[{"name":"5C","gridX":2,"gridY":2},{"name":"9D","gridX":4,"gridY":1},{"name":"5H","gridX":1,"gridY":4},{"name":"8D","gridX":3,"gridY":2},{"name":"KH","gridX":4,"gridY":4}]	reveal
full_sample	6547-5b997036-f70b-4b94-9aee-3785417bfc51	1546230003026	5	overlap	5H,8D	9D,8D	9D	1	[{"name":"5C","gridX":2,"gridY":2},{"name":"9D","gridX":4,"gridY":1},{"name":"5H","gridX":1,"gridY":4},{"name":"8D","gridX":3,"gridY":2},{"name":"KH","gridX":4,"gridY":4}]	reveal
full_sample	6547-5b997036-f70b-4b94-9aee-3785417bfc51	1546230027147	5	overlap	5H,8D	9D,8D	5H	1	[{"name":"5C","gridX":2,"gridY":2},{"name":"9D","gridX":4,"gridY":1},{"name":"5H","gridX":1,"gridY":4},{"name":"8D","gridX":3,"gridY":2},{"name":"KH","gridX":4,"gridY":4}]	reveal
