iterationName	gameid	time	trialNum	trialType	targetGoalSet	distractorGoalSet	revealedObjs	numRevealed	fullContext	eventType
full_sample	3322-ca67ce1c-7b46-418e-9583-8d3a4fcd3e62	1546232189998	0	baseline	6D,7D	9C,10D	7D,6D	2	[{"name":"KD","gridX":2,"gridY":3},{"name":"10S","gridX":3,"gridY":3},{"name":"10D","gridX":1,"gridY":3},{"name":"6D","gridX":2,"gridY":4},{"name":"9C","gridX":4,"gridY":2},{"name":"7D","gridX":3,"gridY":1}]	reveal
full_sample	3322-ca67ce1c-7b46-418e-9583-8d3a4fcd3e62	1546232216593	1	overlap	9S,QD	KS,QD	KS,QD	2	[{"name":"2D","gridX":2,"gridY":4},{"name":"10H","gridX":4,"gridY":1},{"name":"4D","gridX":3,"gridY":2},{"name":"9S","gridX":3,"gridY":1},{"name":"6D","gridX":1,"gridY":4},{"name":"KS","gridX":4,"gridY":2},{"name":"5H","gridX":2,"gridY":3},{"name":"QD","gridX":1,"gridY":3}]	reveal
full_sample	3322-ca67ce1c-7b46-418e-9583-8d3a4fcd3e62	1546232261701	1	overlap	9S,QD	KS,QD	9S	1	[{"name":"2D","gridX":2,"gridY":4},{"name":"10H","gridX":4,"gridY":1},{"name":"4D","gridX":3,"gridY":2},{"name":"9S","gridX":3,"gridY":1},{"name":"6D","gridX":1,"gridY":4},{"name":"KS","gridX":4,"gridY":2},{"name":"5H","gridX":2,"gridY":3},{"name":"QD","gridX":1,"gridY":3}]	reveal
full_sample	3322-ca67ce1c-7b46-418e-9583-8d3a4fcd3e62	1546232298150	2	overlap	9C,2C	7H,2C	7H,2C	2	[{"name":"8C","gridX":4,"gridY":4},{"name":"7D","gridX":3,"gridY":4},{"name":"4D","gridX":3,"gridY":1},{"name":"2C","gridX":4,"gridY":1},{"name":"9C","gridX":2,"gridY":1},{"name":"8H","gridX":1,"gridY":1},{"name":"7H","gridX":1,"gridY":3}]	reveal
full_sample	3322-ca67ce1c-7b46-418e-9583-8d3a4fcd3e62	1546232321616	2	overlap	9C,2C	7H,2C	9C	1	[{"name":"8C","gridX":4,"gridY":4},{"name":"7D","gridX":3,"gridY":4},{"name":"4D","gridX":3,"gridY":1},{"name":"2C","gridX":4,"gridY":1},{"name":"9C","gridX":2,"gridY":1},{"name":"8H","gridX":1,"gridY":1},{"name":"7H","gridX":1,"gridY":3}]	reveal
full_sample	3322-ca67ce1c-7b46-418e-9583-8d3a4fcd3e62	1546232340353	3	catch	8S	2H	8S	1	[{"name":"AS","gridX":4,"gridY":4},{"name":"8C","gridX":3,"gridY":2},{"name":"8S","gridX":1,"gridY":2},{"name":"4C","gridX":4,"gridY":3},{"name":"6D","gridX":2,"gridY":1},{"name":"2H","gridX":1,"gridY":3}]	reveal
full_sample	3322-ca67ce1c-7b46-418e-9583-8d3a4fcd3e62	1546232368829	4	catch	9C	3C	3C	1	[{"name":"QH","gridX":3,"gridY":1},{"name":"9C","gridX":2,"gridY":4},{"name":"10C","gridX":1,"gridY":4},{"name":"3H","gridX":4,"gridY":3},{"name":"10D","gridX":4,"gridY":4},{"name":"3C","gridX":4,"gridY":1}]	reveal
full_sample	3322-ca67ce1c-7b46-418e-9583-8d3a4fcd3e62	1546232385665	4	catch	9C	3C	9C	1	[{"name":"QH","gridX":3,"gridY":1},{"name":"9C","gridX":2,"gridY":4},{"name":"10C","gridX":1,"gridY":4},{"name":"3H","gridX":4,"gridY":3},{"name":"10D","gridX":4,"gridY":4},{"name":"3C","gridX":4,"gridY":1}]	reveal
full_sample	3322-ca67ce1c-7b46-418e-9583-8d3a4fcd3e62	1546232411124	5	baseline	8S,10D	6C,QH	QH,8S	2	[{"name":"10D","gridX":1,"gridY":3},{"name":"2S","gridX":4,"gridY":1},{"name":"6C","gridX":3,"gridY":2},{"name":"QH","gridX":2,"gridY":2},{"name":"8S","gridX":3,"gridY":4},{"name":"9H","gridX":4,"gridY":2}]	reveal
full_sample	3322-ca67ce1c-7b46-418e-9583-8d3a4fcd3e62	1546232434319	5	baseline	8S,10D	6C,QH	10D	1	[{"name":"10D","gridX":1,"gridY":3},{"name":"2S","gridX":4,"gridY":1},{"name":"6C","gridX":3,"gridY":2},{"name":"QH","gridX":2,"gridY":2},{"name":"8S","gridX":3,"gridY":4},{"name":"9H","gridX":4,"gridY":2}]	reveal
