iterationName	gameid	time	trialNum	trialType	targetGoalSet	distractorGoalSet	firstRole	sender	timeFromMessage	revealedObjs	numRevealed	fullContext	eventType
single_player_sample	5806-a24881b2-8cc2-443b-ab56-5691893a5c0f	1546806388241	0	overlap	8H,AH	5H,AH	seeker	bot	2500	8H,AH	2	[{"name":"AH","gridX":1,"gridY":3},{"name":"5H","gridX":3,"gridY":4},{"name":"QS","gridX":3,"gridY":2},{"name":"10S","gridX":4,"gridY":4},{"name":"10C","gridX":3,"gridY":3},{"name":"8H","gridX":3,"gridY":1}]	reveal
single_player_sample	5806-a24881b2-8cc2-443b-ab56-5691893a5c0f	1546806406248	1	catch	7S	2H	seeker	bot	2500	7S	1	[{"name":"AH","gridX":1,"gridY":3},{"name":"2C","gridX":4,"gridY":3},{"name":"QC","gridX":2,"gridY":3},{"name":"9H","gridX":3,"gridY":4},{"name":"7S","gridX":3,"gridY":3},{"name":"2H","gridX":2,"gridY":4}]	reveal
single_player_sample	5806-a24881b2-8cc2-443b-ab56-5691893a5c0f	1546806421301	2	baseline	4D,AC	8S,9C	seeker	bot	2500	4D,AC	2	[{"name":"AC","gridX":2,"gridY":4},{"name":"2D","gridX":4,"gridY":4},{"name":"9C","gridX":2,"gridY":3},{"name":"8S","gridX":2,"gridY":2},{"name":"JH","gridX":1,"gridY":2},{"name":"4D","gridX":3,"gridY":4}]	reveal
single_player_sample	5806-a24881b2-8cc2-443b-ab56-5691893a5c0f	1546806438123	3	baseline	2D,9H	6S,7H	seeker	human	7659	2D,9H	2	[{"name":"6D","gridX":3,"gridY":1},{"name":"9H","gridX":3,"gridY":3},{"name":"6S","gridX":4,"gridY":4},{"name":"7H","gridX":1,"gridY":3},{"name":"2D","gridX":1,"gridY":4}]	reveal
single_player_sample	5806-a24881b2-8cc2-443b-ab56-5691893a5c0f	1546806452631	4	catch	5C	JH	seeker	human	5345	5C	1	[{"name":"5C","gridX":3,"gridY":3},{"name":"7S","gridX":3,"gridY":2},{"name":"AC","gridX":1,"gridY":4},{"name":"JH","gridX":2,"gridY":1},{"name":"5H","gridX":4,"gridY":1},{"name":"9C","gridX":4,"gridY":2},{"name":"2D","gridX":1,"gridY":2}]	reveal
single_player_sample	5806-a24881b2-8cc2-443b-ab56-5691893a5c0f	1546806469247	5	overlap	7D,4D	10H,4D	seeker	human	7450	7D,4D	2	[{"name":"AC","gridX":1,"gridY":4},{"name":"7D","gridX":4,"gridY":2},{"name":"KS","gridX":2,"gridY":1},{"name":"10H","gridX":2,"gridY":4},{"name":"5C","gridX":1,"gridY":2},{"name":"3D","gridX":2,"gridY":3},{"name":"5D","gridX":4,"gridY":4},{"name":"4D","gridX":3,"gridY":1}]	reveal
