iterationName	gameid	time	trialNum	trialType	targetGoalSet	distractorGoalSet	revealedObjs	numRevealed	fullContext	eventType
testing	6584-ed23f228-cf85-41ac-84ba-1a63b5d2e15b	1545533573643	0	overlap	4S,AS	8D,AS	AS	1	[{"name":"AS","gridX":1,"gridY":1},{"name":"9S","gridX":1,"gridY":4},{"name":"3D","gridX":3,"gridY":4},{"name":"8D","gridX":4,"gridY":2},{"name":"QS","gridX":3,"gridY":2},{"name":"10S","gridX":2,"gridY":2},{"name":"4S","gridX":4,"gridY":4},{"name":"QC","gridX":1,"gridY":2}]	reveal
testing	6584-ed23f228-cf85-41ac-84ba-1a63b5d2e15b	1545533590369	0	overlap	4S,AS	8D,AS	4S	1	[{"name":"AS","gridX":1,"gridY":1},{"name":"9S","gridX":1,"gridY":4},{"name":"3D","gridX":3,"gridY":4},{"name":"8D","gridX":4,"gridY":2},{"name":"QS","gridX":3,"gridY":2},{"name":"10S","gridX":2,"gridY":2},{"name":"4S","gridX":4,"gridY":4},{"name":"QC","gridX":1,"gridY":2}]	reveal
testing	6584-ed23f228-cf85-41ac-84ba-1a63b5d2e15b	1545533619072	1	baseline	KS,AH	QS,3S	KS	1	[{"name":"AH","gridX":3,"gridY":4},{"name":"QS","gridX":4,"gridY":4},{"name":"6S","gridX":4,"gridY":3},{"name":"9S","gridX":2,"gridY":3},{"name":"4D","gridX":2,"gridY":2},{"name":"8D","gridX":4,"gridY":1},{"name":"3S","gridX":1,"gridY":2},{"name":"KS","gridX":1,"gridY":3}]	reveal
testing	6584-ed23f228-cf85-41ac-84ba-1a63b5d2e15b	1545533638118	1	baseline	KS,AH	QS,3S	AH	1	[{"name":"AH","gridX":3,"gridY":4},{"name":"QS","gridX":4,"gridY":4},{"name":"6S","gridX":4,"gridY":3},{"name":"9S","gridX":2,"gridY":3},{"name":"4D","gridX":2,"gridY":2},{"name":"8D","gridX":4,"gridY":1},{"name":"3S","gridX":1,"gridY":2},{"name":"KS","gridX":1,"gridY":3}]	reveal
testing	6584-ed23f228-cf85-41ac-84ba-1a63b5d2e15b	1545533658293	2	baseline	5H,QC	AS,4H	5H	1	[{"name":"2S","gridX":3,"gridY":3},{"name":"AS","gridX":4,"gridY":3},{"name":"4H","gridX":1,"gridY":4},{"name":"QC","gridX":4,"gridY":1},{"name":"5H","gridX":2,"gridY":1}]	reveal
testing	6584-ed23f228-cf85-41ac-84ba-1a63b5d2e15b	1545533668794	2	baseline	5H,QC	AS,4H	QC	1	[{"name":"2S","gridX":3,"gridY":3},{"name":"AS","gridX":4,"gridY":3},{"name":"4H","gridX":1,"gridY":4},{"name":"QC","gridX":4,"gridY":1},{"name":"5H","gridX":2,"gridY":1}]	reveal
testing	6584-ed23f228-cf85-41ac-84ba-1a63b5d2e15b	1545533691793	3	catch	2D	5C	2D	1	[{"name":"QD","gridX":1,"gridY":2},{"name":"2D","gridX":1,"gridY":1},{"name":"5C","gridX":1,"gridY":4},{"name":"9D","gridX":2,"gridY":1},{"name":"6S","gridX":2,"gridY":4}]	reveal
testing	6584-ed23f228-cf85-41ac-84ba-1a63b5d2e15b	1545533708473	4	catch	10H	2S	10H	1	[{"name":"AD","gridX":1,"gridY":1},{"name":"2S","gridX":3,"gridY":2},{"name":"4D","gridX":4,"gridY":2},{"name":"10H","gridX":3,"gridY":4},{"name":"AC","gridX":2,"gridY":4}]	reveal
testing	6584-ed23f228-cf85-41ac-84ba-1a63b5d2e15b	1545533729241	5	overlap	JD,8D	4D,8D	8D	1	[{"name":"8D","gridX":4,"gridY":3},{"name":"5D","gridX":2,"gridY":1},{"name":"JD","gridX":2,"gridY":4},{"name":"10C","gridX":4,"gridY":4},{"name":"AH","gridX":1,"gridY":1},{"name":"4D","gridX":1,"gridY":3}]	reveal
testing	6584-ed23f228-cf85-41ac-84ba-1a63b5d2e15b	1545533749094	5	overlap	JD,8D	4D,8D	JD	1	[{"name":"8D","gridX":4,"gridY":3},{"name":"5D","gridX":2,"gridY":1},{"name":"JD","gridX":2,"gridY":4},{"name":"10C","gridX":4,"gridY":4},{"name":"AH","gridX":1,"gridY":1},{"name":"4D","gridX":1,"gridY":3}]	reveal
