iterationName	gameid	time	trialNum	trialType	targetGoalSet	distractorGoalSet	firstRole	sender	revealedObjs	numRevealed	fullContext	eventType
single-player-pilot	6711-0b510617-e0fd-4c05-874f-79ea51e45fd9	1546718275731	0	catch	JS	KD	seeker	bot	JS	1	[{"name":"5H","gridX":2,"gridY":3},{"name":"KD","gridX":4,"gridY":2},{"name":"JS","gridX":4,"gridY":3},{"name":"5D","gridX":1,"gridY":2},{"name":"4C","gridX":2,"gridY":2}]	reveal
single-player-pilot	6711-0b510617-e0fd-4c05-874f-79ea51e45fd9	1546718289358	1	baseline	10C,3D	AS,8C	seeker	bot	10C,3D	2	[{"name":"2H","gridX":1,"gridY":2},{"name":"AS","gridX":1,"gridY":3},{"name":"10C","gridX":1,"gridY":1},{"name":"6C","gridX":4,"gridY":2},{"name":"8C","gridX":3,"gridY":3},{"name":"3D","gridX":4,"gridY":3},{"name":"6H","gridX":2,"gridY":3}]	reveal
single-player-pilot	6711-0b510617-e0fd-4c05-874f-79ea51e45fd9	1546718305182	2	overlap	8S,3C	5S,3C	seeker	bot	5S	1	[{"name":"8S","gridX":3,"gridY":3},{"name":"QS","gridX":1,"gridY":1},{"name":"3C","gridX":4,"gridY":4},{"name":"KH","gridX":1,"gridY":2},{"name":"5S","gridX":4,"gridY":1}]	reveal
single-player-pilot	6711-0b510617-e0fd-4c05-874f-79ea51e45fd9	1546718320959	2	overlap	8S,3C	5S,3C	seeker	bot	3C	1	[{"name":"8S","gridX":3,"gridY":3},{"name":"QS","gridX":1,"gridY":1},{"name":"3C","gridX":4,"gridY":4},{"name":"KH","gridX":1,"gridY":2},{"name":"5S","gridX":4,"gridY":1}]	reveal
single-player-pilot	6711-0b510617-e0fd-4c05-874f-79ea51e45fd9	1546718332785	2	overlap	8S,3C	5S,3C	seeker	bot	8S,3C	2	[{"name":"8S","gridX":3,"gridY":3},{"name":"QS","gridX":1,"gridY":1},{"name":"3C","gridX":4,"gridY":4},{"name":"KH","gridX":1,"gridY":2},{"name":"5S","gridX":4,"gridY":1}]	reveal
single-player-pilot	6711-0b510617-e0fd-4c05-874f-79ea51e45fd9	1546718348322	3	overlap	JC,KD	5C,KD	seeker	human	JC	1	[{"name":"2H","gridX":3,"gridY":4},{"name":"JC","gridX":2,"gridY":3},{"name":"2S","gridX":1,"gridY":1},{"name":"5C","gridX":1,"gridY":3},{"name":"KD","gridX":4,"gridY":2},{"name":"7H","gridX":4,"gridY":3}]	reveal
single-player-pilot	6711-0b510617-e0fd-4c05-874f-79ea51e45fd9	1546718358692	3	overlap	JC,KD	5C,KD	seeker	human	KD	1	[{"name":"2H","gridX":3,"gridY":4},{"name":"JC","gridX":2,"gridY":3},{"name":"2S","gridX":1,"gridY":1},{"name":"5C","gridX":1,"gridY":3},{"name":"KD","gridX":4,"gridY":2},{"name":"7H","gridX":4,"gridY":3}]	reveal
single-player-pilot	6711-0b510617-e0fd-4c05-874f-79ea51e45fd9	1546718372852	4	catch	10C	QS	seeker	human	10C	1	[{"name":"5H","gridX":1,"gridY":3},{"name":"AC","gridX":2,"gridY":2},{"name":"7S","gridX":1,"gridY":1},{"name":"QS","gridX":4,"gridY":4},{"name":"10C","gridX":4,"gridY":1},{"name":"AD","gridX":3,"gridY":2}]	reveal
single-player-pilot	6711-0b510617-e0fd-4c05-874f-79ea51e45fd9	1546718388941	5	baseline	5C,5D	KS,2H	seeker	human	5C	1	[{"name":"5D","gridX":3,"gridY":3},{"name":"4C","gridX":2,"gridY":1},{"name":"QC","gridX":1,"gridY":3},{"name":"2H","gridX":3,"gridY":1},{"name":"KS","gridX":1,"gridY":2},{"name":"5C","gridX":2,"gridY":3}]	reveal
single-player-pilot	6711-0b510617-e0fd-4c05-874f-79ea51e45fd9	1546718397265	5	baseline	5C,5D	KS,2H	seeker	human	5D	1	[{"name":"5D","gridX":3,"gridY":3},{"name":"4C","gridX":2,"gridY":1},{"name":"QC","gridX":1,"gridY":3},{"name":"2H","gridX":3,"gridY":1},{"name":"KS","gridX":1,"gridY":2},{"name":"5C","gridX":2,"gridY":3}]	reveal
