gameid, time, goal, objectSet, word, online
9596-2,1427671280400,dalmatian,1, is ,on
9596-2,1427671282003,dalmatian,1, that ,on
9596-2,1427671284901,dalmatian,1, where ,on
9596-2,1427671286827,dalmatian,1, dalmatian ,on
9596-2,1427671316130,poodle,3, where ,on
9596-2,1427671317884,poodle,3, is ,on
9596-2,1427671319545,poodle,3, the ,on
9596-2,1427671324032,poodle,3, dog ,on
9596-2,1427671357773,whale,3, where ,on
9596-2,1427671359512,whale,3, is ,on
9596-2,1427671361839,whale,3, the ,on
9596-2,1427671363797,whale,3, animal ,on
9596-2,1427671392982,dalmatian,2, where ,on
9596-2,1427671394099,dalmatian,2, is ,on
9596-2,1427671395626,dalmatian,2, the ,on
9596-2,1427671397340,dalmatian,2, dalmatian ,on
