gameid, time, goal, objectSet, word, online
7351-1,1427676143970,dalmatian,3, where ,on
7351-1,1427676145383,dalmatian,3, that ,off
7351-1,1427676146250,dalmatian,3, is ,on
7351-1,1427676147686,dalmatian,3, that ,on
7351-1,1427676152869,dalmatian,3, dalmatian ,on
7351-1,1427676189061,poodle,2, where ,on
7351-1,1427676190696,poodle,2, is ,on
7351-1,1427676192570,poodle,2, dog ,on
