gameid, time, goal, objectSet, word, online
2917-a,1427596290035,whale,1, where ,on
2917-a,1427596291986,whale,1, is ,on
2917-a,1427596295904,whale,1, the ,on
2917-a,1427596300400,whale,1, pet ,on
