gameid, time, goal, objectSet, word, online
1834-7,1427661633818,siamese cat,1, where ,on
1834-7,1427661635651,siamese cat,1, is ,on
1834-7,1427661637546,siamese cat,1, the ,on
1834-7,1427661641947,siamese cat,1, animal ,on
