gameid, time, goal, objectSet, word, online
8612-a,1427596558724,poodle,1, where ,off
8612-a,1427596560281,poodle,1, where ,on
8612-a,1427596561959,poodle,1, animal ,on
8612-a,1427596563816,poodle,1, is ,on
