type,domain,modelLevel,goal,rationality,response,modelProb
branching,artifact,literal,couch,1.0,thing,0.25
branching,artifact,literal,couch,1.0,seat,0.25
branching,artifact,literal,couch,1.0,furniture,0.25
branching,artifact,literal,couch,1.0,couch,0.25
branching,artifact,explicit,couch,1.0,thing,0.21
branching,artifact,explicit,couch,1.0,seat,0.22
branching,artifact,explicit,couch,1.0,furniture,0.27
branching,artifact,explicit,couch,1.0,couch,0.30
branching,artifact,pragmatic,couch,1.0,thing,0.25
branching,artifact,pragmatic,couch,1.0,seat,0.25
branching,artifact,pragmatic,couch,1.0,furniture,0.25
branching,artifact,pragmatic,couch,1.0,couch,0.25
branching,artifact,literal,chair,1.0,thing,0.25
branching,artifact,literal,chair,1.0,seat,0.25
branching,artifact,literal,chair,1.0,furniture,0.25
branching,artifact,literal,chair,1.0,couch,0.25
branching,artifact,explicit,chair,1.0,thing,0.24
branching,artifact,explicit,chair,1.0,seat,0.30
branching,artifact,explicit,chair,1.0,furniture,0.24
branching,artifact,explicit,chair,1.0,couch,0.23
branching,artifact,pragmatic,chair,1.0,thing,0.25
branching,artifact,pragmatic,chair,1.0,seat,0.25
branching,artifact,pragmatic,chair,1.0,furniture,0.25
branching,artifact,pragmatic,chair,1.0,couch,0.25
branching,artifact,literal,table,1.0,thing,0.25
branching,artifact,literal,table,1.0,seat,0.25
branching,artifact,literal,table,1.0,furniture,0.25
branching,artifact,literal,table,1.0,couch,0.25
branching,artifact,explicit,table,1.0,thing,0.26
branching,artifact,explicit,table,1.0,seat,0.24
branching,artifact,explicit,table,1.0,furniture,0.26
branching,artifact,explicit,table,1.0,couch,0.24
branching,artifact,pragmatic,table,1.0,thing,0.25
branching,artifact,pragmatic,table,1.0,seat,0.25
branching,artifact,pragmatic,table,1.0,furniture,0.25
branching,artifact,pragmatic,table,1.0,couch,0.25
branching,artifact,literal,lawnmower,1.0,thing,0.25
branching,artifact,literal,lawnmower,1.0,seat,0.25
branching,artifact,literal,lawnmower,1.0,furniture,0.25
branching,artifact,literal,lawnmower,1.0,couch,0.25
branching,artifact,explicit,lawnmower,1.0,thing,0.30
branching,artifact,explicit,lawnmower,1.0,seat,0.23
branching,artifact,explicit,lawnmower,1.0,furniture,0.23
branching,artifact,explicit,lawnmower,1.0,couch,0.23
branching,artifact,pragmatic,lawnmower,1.0,thing,0.25
branching,artifact,pragmatic,lawnmower,1.0,seat,0.25
branching,artifact,pragmatic,lawnmower,1.0,furniture,0.25
branching,artifact,pragmatic,lawnmower,1.0,couch,0.25
branching,artifact,literal,couch,1.1,thing,0.25
branching,artifact,literal,couch,1.1,seat,0.25
branching,artifact,literal,couch,1.1,furniture,0.25
branching,artifact,literal,couch,1.1,couch,0.25
branching,artifact,explicit,couch,1.1,thing,0.20
branching,artifact,explicit,couch,1.1,seat,0.22
branching,artifact,explicit,couch,1.1,furniture,0.27
branching,artifact,explicit,couch,1.1,couch,0.31
branching,artifact,pragmatic,couch,1.1,thing,0.24
branching,artifact,pragmatic,couch,1.1,seat,0.25
branching,artifact,pragmatic,couch,1.1,furniture,0.25
branching,artifact,pragmatic,couch,1.1,couch,0.26
branching,artifact,literal,chair,1.1,thing,0.25
branching,artifact,literal,chair,1.1,seat,0.25
branching,artifact,literal,chair,1.1,furniture,0.25
branching,artifact,literal,chair,1.1,couch,0.25
branching,artifact,explicit,chair,1.1,thing,0.24
branching,artifact,explicit,chair,1.1,seat,0.31
branching,artifact,explicit,chair,1.1,furniture,0.23
branching,artifact,explicit,chair,1.1,couch,0.22
branching,artifact,pragmatic,chair,1.1,thing,0.25
branching,artifact,pragmatic,chair,1.1,seat,0.26
branching,artifact,pragmatic,chair,1.1,furniture,0.25
branching,artifact,pragmatic,chair,1.1,couch,0.25
branching,artifact,literal,table,1.1,thing,0.25
branching,artifact,literal,table,1.1,seat,0.25
branching,artifact,literal,table,1.1,furniture,0.25
branching,artifact,literal,table,1.1,couch,0.25
branching,artifact,explicit,table,1.1,thing,0.26
branching,artifact,explicit,table,1.1,seat,0.24
branching,artifact,explicit,table,1.1,furniture,0.26
branching,artifact,explicit,table,1.1,couch,0.24
branching,artifact,pragmatic,table,1.1,thing,0.25
branching,artifact,pragmatic,table,1.1,seat,0.25
branching,artifact,pragmatic,table,1.1,furniture,0.25
branching,artifact,pragmatic,table,1.1,couch,0.25
branching,artifact,literal,lawnmower,1.1,thing,0.25
branching,artifact,literal,lawnmower,1.1,seat,0.25
branching,artifact,literal,lawnmower,1.1,furniture,0.25
branching,artifact,literal,lawnmower,1.1,couch,0.25
branching,artifact,explicit,lawnmower,1.1,thing,0.31
branching,artifact,explicit,lawnmower,1.1,seat,0.23
branching,artifact,explicit,lawnmower,1.1,furniture,0.23
branching,artifact,explicit,lawnmower,1.1,couch,0.23
branching,artifact,pragmatic,lawnmower,1.1,thing,0.26
branching,artifact,pragmatic,lawnmower,1.1,seat,0.25
branching,artifact,pragmatic,lawnmower,1.1,furniture,0.25
branching,artifact,pragmatic,lawnmower,1.1,couch,0.25
branching,artifact,literal,couch,1.2,thing,0.25
branching,artifact,literal,couch,1.2,seat,0.25
branching,artifact,literal,couch,1.2,furniture,0.25
branching,artifact,literal,couch,1.2,couch,0.25
branching,artifact,explicit,couch,1.2,thing,0.19
branching,artifact,explicit,couch,1.2,seat,0.21
branching,artifact,explicit,couch,1.2,furniture,0.28
branching,artifact,explicit,couch,1.2,couch,0.32
branching,artifact,pragmatic,couch,1.2,thing,0.24
branching,artifact,pragmatic,couch,1.2,seat,0.24
branching,artifact,pragmatic,couch,1.2,furniture,0.25
branching,artifact,pragmatic,couch,1.2,couch,0.26
branching,artifact,literal,chair,1.2,thing,0.25
branching,artifact,literal,chair,1.2,seat,0.25
branching,artifact,literal,chair,1.2,furniture,0.25
branching,artifact,literal,chair,1.2,couch,0.25
branching,artifact,explicit,chair,1.2,thing,0.23
branching,artifact,explicit,chair,1.2,seat,0.32
branching,artifact,explicit,chair,1.2,furniture,0.23
branching,artifact,explicit,chair,1.2,couch,0.21
branching,artifact,pragmatic,chair,1.2,thing,0.25
branching,artifact,pragmatic,chair,1.2,seat,0.26
branching,artifact,pragmatic,chair,1.2,furniture,0.25
branching,artifact,pragmatic,chair,1.2,couch,0.25
