iterationName	gameid	time	trialNum	trialType	targetGoalSet	distractorGoalSet	text	timeFromRoundStart	eventType
full_sample	6547-5b997036-f70b-4b94-9aee-3785417bfc51	1546229763326	0	baseline	7S,KC	AS,10S	Where is the 10 of spades?	10041	chatMessage
full_sample	6547-5b997036-f70b-4b94-9aee-3785417bfc51	1546229788467	0	baseline	7S,KC	AS,10S	Where is the A spades?	7262	chatMessage
full_sample	6547-5b997036-f70b-4b94-9aee-3785417bfc51	1546229824194	0	baseline	7S,KC	AS,10S	Where is the 7 spade?	12239	chatMessage
full_sample	6547-5b997036-f70b-4b94-9aee-3785417bfc51	1546229837187	0	baseline	7S,KC	AS,10S	Where is the k?	2804	chatMessage
full_sample	6547-5b997036-f70b-4b94-9aee-3785417bfc51	1546229855244	1	baseline	7S,2H	7H,8S	Where is the WHERE IS 2 HEART?	6396	chatMessage
full_sample	6547-5b997036-f70b-4b94-9aee-3785417bfc51	1546229870680	1	baseline	7S,2H	7H,8S	Where is the where is 7 spade?	5214	chatMessage
full_sample	6547-5b997036-f70b-4b94-9aee-3785417bfc51	1546229891357	2	catch	5H	8D	Where is the 5?	2781	chatMessage
full_sample	6547-5b997036-f70b-4b94-9aee-3785417bfc51	1546229908959	3	catch	KS	AS	Where is the where is k spade?	4415	chatMessage
full_sample	6547-5b997036-f70b-4b94-9aee-3785417bfc51	1546229930377	4	overlap	9D,6S	2S,6S	Where is the 6?	4543	chatMessage
full_sample	6547-5b997036-f70b-4b94-9aee-3785417bfc51	1546229949698	4	overlap	9D,6S	2S,6S	Where is the 9 diamond?	6601	chatMessage
full_sample	6547-5b997036-f70b-4b94-9aee-3785417bfc51	1546229964341	5	overlap	5H,8D	9D,8D	Where is the where is 8 diamond?	5759	chatMessage
full_sample	6547-5b997036-f70b-4b94-9aee-3785417bfc51	1546229977860	5	overlap	5H,8D	9D,8D	Where is the where is 5 heart?	3993	chatMessage
full_sample	6547-5b997036-f70b-4b94-9aee-3785417bfc51	1546229999449	5	overlap	5H,8D	9D,8D	Where is the where is nine diamond?	4911	chatMessage
full_sample	6547-5b997036-f70b-4b94-9aee-3785417bfc51	1546230022963	5	overlap	5H,8D	9D,8D	Where is the where is five HEART?	7771	chatMessage
