iterationName	gameid	time	trialNum	trialType	targetGoalSet	distractorGoalSet	firstRole	sender	timeFromMessage	revealedObjs	numRevealed	fullContext	eventType
single_player_sample	8085-9c540cc8-3455-43de-9060-a6defffb0874	1546747709535	0	baseline	9D,2S	3D,KC	helper	human	53297	9D,KC	2	[{"name":"3D","gridX":1,"gridY":4},{"name":"KC","gridX":2,"gridY":4},{"name":"4S","gridX":1,"gridY":1},{"name":"QH","gridX":4,"gridY":2},{"name":"2S","gridX":2,"gridY":1},{"name":"7H","gridX":4,"gridY":1},{"name":"9D","gridX":3,"gridY":1}]	reveal
single_player_sample	8085-9c540cc8-3455-43de-9060-a6defffb0874	1546747729232	0	baseline	9D,2S	3D,KC	helper	human	14636	2S,3D	2	[{"name":"3D","gridX":1,"gridY":4},{"name":"KC","gridX":2,"gridY":4},{"name":"4S","gridX":1,"gridY":1},{"name":"QH","gridX":4,"gridY":2},{"name":"2S","gridX":2,"gridY":1},{"name":"7H","gridX":4,"gridY":1},{"name":"9D","gridX":3,"gridY":1}]	reveal
single_player_sample	8085-9c540cc8-3455-43de-9060-a6defffb0874	1546747763302	1	overlap	7H,8H	10C,8H	helper	human	24947	7H,8H	2	[{"name":"9D","gridX":4,"gridY":1},{"name":"2D","gridX":1,"gridY":3},{"name":"8H","gridX":2,"gridY":1},{"name":"5D","gridX":1,"gridY":1},{"name":"10C","gridX":1,"gridY":4},{"name":"KC","gridX":1,"gridY":2},{"name":"10S","gridX":3,"gridY":3},{"name":"7H","gridX":3,"gridY":1}]	reveal
single_player_sample	8085-9c540cc8-3455-43de-9060-a6defffb0874	1546747781422	2	catch	8H	3D	helper	human	8961	8H,3D	2	[{"name":"10C","gridX":4,"gridY":1},{"name":"3C","gridX":3,"gridY":3},{"name":"3D","gridX":1,"gridY":2},{"name":"2D","gridX":1,"gridY":3},{"name":"8H","gridX":4,"gridY":2}]	reveal
single_player_sample	8085-9c540cc8-3455-43de-9060-a6defffb0874	1546747800441	3	catch	6D	QS	helper	bot	2500	QS	1	[{"name":"4C","gridX":2,"gridY":2},{"name":"7D","gridX":3,"gridY":1},{"name":"JH","gridX":2,"gridY":3},{"name":"6D","gridX":4,"gridY":2},{"name":"QS","gridX":4,"gridY":3}]	reveal
single_player_sample	8085-9c540cc8-3455-43de-9060-a6defffb0874	1546747826497	3	catch	6D	QS	helper	bot	2500	6D	1	[{"name":"4C","gridX":2,"gridY":2},{"name":"7D","gridX":3,"gridY":1},{"name":"JH","gridX":2,"gridY":3},{"name":"6D","gridX":4,"gridY":2},{"name":"QS","gridX":4,"gridY":3}]	reveal
single_player_sample	8085-9c540cc8-3455-43de-9060-a6defffb0874	1546747857451	4	baseline	4H,6S	QH,5H	helper	bot	2500	4H,6S	2	[{"name":"4H","gridX":4,"gridY":3},{"name":"6H","gridX":1,"gridY":4},{"name":"QS","gridX":4,"gridY":2},{"name":"9C","gridX":1,"gridY":3},{"name":"QH","gridX":2,"gridY":3},{"name":"5H","gridX":2,"gridY":1},{"name":"6S","gridX":3,"gridY":3}]	reveal
single_player_sample	8085-9c540cc8-3455-43de-9060-a6defffb0874	1546747878449	5	overlap	2C,2S	3H,2S	helper	bot	2500	2S	1	[{"name":"8S","gridX":3,"gridY":1},{"name":"3H","gridX":2,"gridY":3},{"name":"2S","gridX":4,"gridY":4},{"name":"2C","gridX":1,"gridY":4},{"name":"QD","gridX":1,"gridY":1}]	reveal
single_player_sample	8085-9c540cc8-3455-43de-9060-a6defffb0874	1546747894724	5	overlap	2C,2S	3H,2S	helper	bot	2500	2C,2S	2	[{"name":"8S","gridX":3,"gridY":1},{"name":"3H","gridX":2,"gridY":3},{"name":"2S","gridX":4,"gridY":4},{"name":"2C","gridX":1,"gridY":4},{"name":"QD","gridX":1,"gridY":1}]	reveal
