iterationName	gameid	time	trialNum	trialType	targetGoalSet	distractorGoalSet	firstRole	sender	timeFromMessage	revealedObjs	numRevealed	fullContext	eventType
single_player_sample	9371-a5f74377-67f3-4022-a60e-b75a54e03e18	1546807498914	0	overlap	AH,QH	2H,QH	seeker	bot	2500	QH	1	[{"name":"2S","gridX":3,"gridY":4},{"name":"2H","gridX":1,"gridY":2},{"name":"QH","gridX":1,"gridY":1},{"name":"3S","gridX":3,"gridY":1},{"name":"2D","gridX":2,"gridY":3},{"name":"AH","gridX":2,"gridY":1},{"name":"5H","gridX":1,"gridY":4}]	reveal
single_player_sample	9371-a5f74377-67f3-4022-a60e-b75a54e03e18	1546807513150	0	overlap	AH,QH	2H,QH	seeker	bot	2500	AH,QH	2	[{"name":"2S","gridX":3,"gridY":4},{"name":"2H","gridX":1,"gridY":2},{"name":"QH","gridX":1,"gridY":1},{"name":"3S","gridX":3,"gridY":1},{"name":"2D","gridX":2,"gridY":3},{"name":"AH","gridX":2,"gridY":1},{"name":"5H","gridX":1,"gridY":4}]	reveal
single_player_sample	9371-a5f74377-67f3-4022-a60e-b75a54e03e18	1546807530286	1	baseline	10H,AH	7C,QC	seeker	bot	2500	7C	1	[{"name":"QC","gridX":3,"gridY":2},{"name":"7C","gridX":3,"gridY":3},{"name":"AH","gridX":2,"gridY":2},{"name":"10H","gridX":2,"gridY":3},{"name":"4H","gridX":3,"gridY":1}]	reveal
single_player_sample	9371-a5f74377-67f3-4022-a60e-b75a54e03e18	1546807543072	1	baseline	10H,AH	7C,QC	seeker	bot	2500	QC	1	[{"name":"QC","gridX":3,"gridY":2},{"name":"7C","gridX":3,"gridY":3},{"name":"AH","gridX":2,"gridY":2},{"name":"10H","gridX":2,"gridY":3},{"name":"4H","gridX":3,"gridY":1}]	reveal
single_player_sample	9371-a5f74377-67f3-4022-a60e-b75a54e03e18	1546807556380	1	baseline	10H,AH	7C,QC	seeker	bot	2500	10H	1	[{"name":"QC","gridX":3,"gridY":2},{"name":"7C","gridX":3,"gridY":3},{"name":"AH","gridX":2,"gridY":2},{"name":"10H","gridX":2,"gridY":3},{"name":"4H","gridX":3,"gridY":1}]	reveal
single_player_sample	9371-a5f74377-67f3-4022-a60e-b75a54e03e18	1546807568596	1	baseline	10H,AH	7C,QC	seeker	bot	2500	10H,AH	2	[{"name":"QC","gridX":3,"gridY":2},{"name":"7C","gridX":3,"gridY":3},{"name":"AH","gridX":2,"gridY":2},{"name":"10H","gridX":2,"gridY":3},{"name":"4H","gridX":3,"gridY":1}]	reveal
single_player_sample	9371-a5f74377-67f3-4022-a60e-b75a54e03e18	1546807585120	2	catch	10D	10H	seeker	bot	2500	10D	1	[{"name":"8S","gridX":3,"gridY":1},{"name":"9D","gridX":4,"gridY":1},{"name":"AD","gridX":4,"gridY":4},{"name":"10H","gridX":2,"gridY":2},{"name":"KS","gridX":2,"gridY":1},{"name":"6C","gridX":4,"gridY":2},{"name":"AH","gridX":1,"gridY":1},{"name":"10D","gridX":3,"gridY":4}]	reveal
single_player_sample	9371-a5f74377-67f3-4022-a60e-b75a54e03e18	1546807608067	3	catch	2H	KH	seeker	human	13550	2H	1	[{"name":"10S","gridX":3,"gridY":3},{"name":"AH","gridX":4,"gridY":1},{"name":"2H","gridX":1,"gridY":3},{"name":"10D","gridX":3,"gridY":4},{"name":"8H","gridX":1,"gridY":1},{"name":"KH","gridX":2,"gridY":2},{"name":"7C","gridX":1,"gridY":2}]	reveal
single_player_sample	9371-a5f74377-67f3-4022-a60e-b75a54e03e18	1546807622601	4	overlap	5C,9D	2D,9D	seeker	human	5163	5C	1	[{"name":"QS","gridX":3,"gridY":4},{"name":"9H","gridX":1,"gridY":3},{"name":"10C","gridX":1,"gridY":4},{"name":"5C","gridX":1,"gridY":1},{"name":"9D","gridX":3,"gridY":2},{"name":"2D","gridX":4,"gridY":1},{"name":"4C","gridX":2,"gridY":4},{"name":"9S","gridX":4,"gridY":3}]	reveal
single_player_sample	9371-a5f74377-67f3-4022-a60e-b75a54e03e18	1546807632435	4	overlap	5C,9D	2D,9D	seeker	human	4595	9D	1	[{"name":"QS","gridX":3,"gridY":4},{"name":"9H","gridX":1,"gridY":3},{"name":"10C","gridX":1,"gridY":4},{"name":"5C","gridX":1,"gridY":1},{"name":"9D","gridX":3,"gridY":2},{"name":"2D","gridX":4,"gridY":1},{"name":"4C","gridX":2,"gridY":4},{"name":"9S","gridX":4,"gridY":3}]	reveal
single_player_sample	9371-a5f74377-67f3-4022-a60e-b75a54e03e18	1546807646136	5	baseline	KC,8H	8C,10C	seeker	human	4284	KC	1	[{"name":"8C","gridX":3,"gridY":2},{"name":"JC","gridX":2,"gridY":1},{"name":"3D","gridX":3,"gridY":3},{"name":"5S","gridX":3,"gridY":4},{"name":"10C","gridX":1,"gridY":2},{"name":"8H","gridX":4,"gridY":4},{"name":"KC","gridX":2,"gridY":4}]	reveal
single_player_sample	9371-a5f74377-67f3-4022-a60e-b75a54e03e18	1546807655572	5	baseline	KC,8H	8C,10C	seeker	human	4211	8H	1	[{"name":"8C","gridX":3,"gridY":2},{"name":"JC","gridX":2,"gridY":1},{"name":"3D","gridX":3,"gridY":3},{"name":"5S","gridX":3,"gridY":4},{"name":"10C","gridX":1,"gridY":2},{"name":"8H","gridX":4,"gridY":4},{"name":"KC","gridX":2,"gridY":4}]	reveal
