iterationName	gameid	time	trialNum	trialType	targetGoalSet	distractorGoalSet	revealedObjs	numRevealed	fullContext	eventType
full_sample	5092-e5856c11-15f4-48ce-843c-fabc46e2e186	1546221122091	0	baseline	7C,QH	4S,10D	QH	1	[{"name":"QH","gridX":3,"gridY":3},{"name":"AC","gridX":2,"gridY":1},{"name":"7C","gridX":4,"gridY":3},{"name":"4S","gridX":3,"gridY":1},{"name":"10D","gridX":2,"gridY":4}]	reveal
full_sample	5092-e5856c11-15f4-48ce-843c-fabc46e2e186	1546221151074	0	baseline	7C,QH	4S,10D	7C	1	[{"name":"QH","gridX":3,"gridY":3},{"name":"AC","gridX":2,"gridY":1},{"name":"7C","gridX":4,"gridY":3},{"name":"4S","gridX":3,"gridY":1},{"name":"10D","gridX":2,"gridY":4}]	reveal
full_sample	5092-e5856c11-15f4-48ce-843c-fabc46e2e186	1546221175703	1	catch	KS	6S	KS	1	[{"name":"JS","gridX":2,"gridY":4},{"name":"KS","gridX":3,"gridY":2},{"name":"6S","gridX":1,"gridY":1},{"name":"2C","gridX":2,"gridY":2},{"name":"5D","gridX":4,"gridY":2},{"name":"AS","gridX":1,"gridY":4},{"name":"4D","gridX":4,"gridY":1},{"name":"KD","gridX":4,"gridY":4}]	reveal
full_sample	5092-e5856c11-15f4-48ce-843c-fabc46e2e186	1546221231863	2	overlap	2D,AD	3C,AD	AD,2D	2	[{"name":"7H","gridX":1,"gridY":3},{"name":"8D","gridX":3,"gridY":4},{"name":"2D","gridX":1,"gridY":2},{"name":"3C","gridX":2,"gridY":2},{"name":"10D","gridX":3,"gridY":1},{"name":"5H","gridX":4,"gridY":2},{"name":"AD","gridX":1,"gridY":4}]	reveal
full_sample	5092-e5856c11-15f4-48ce-843c-fabc46e2e186	1546221263122	3	baseline	10D,3S	7D,2C	10D,3S	2	[{"name":"9S","gridX":2,"gridY":3},{"name":"7S","gridX":4,"gridY":3},{"name":"7D","gridX":1,"gridY":4},{"name":"10D","gridX":1,"gridY":2},{"name":"2C","gridX":3,"gridY":2},{"name":"3S","gridX":1,"gridY":3}]	reveal
full_sample	5092-e5856c11-15f4-48ce-843c-fabc46e2e186	1546221285299	4	catch	9D	7H	9D	1	[{"name":"9D","gridX":2,"gridY":1},{"name":"7H","gridX":2,"gridY":4},{"name":"AC","gridX":1,"gridY":4},{"name":"8D","gridX":4,"gridY":1},{"name":"10D","gridX":1,"gridY":2}]	reveal
full_sample	5092-e5856c11-15f4-48ce-843c-fabc46e2e186	1546221323419	5	overlap	KD,9S	JD,9S	9S,KD	2	[{"name":"KD","gridX":1,"gridY":1},{"name":"AS","gridX":2,"gridY":4},{"name":"JD","gridX":2,"gridY":2},{"name":"10S","gridX":2,"gridY":1},{"name":"QH","gridX":2,"gridY":3},{"name":"5D","gridX":1,"gridY":4},{"name":"JC","gridX":4,"gridY":1},{"name":"9S","gridX":3,"gridY":3}]	reveal
