iterationName	gameid	time	trialNum	trialType	targetGoalSet	distractorGoalSet	revealedObjs	numRevealed	fullContext	eventType
full_sample	7014-a164176a-35ae-48c2-a651-b0c33c4c605d	1546220816723	0	catch	KS	7C	KS	1	[{"name":"KS","gridX":2,"gridY":4},{"name":"7C","gridX":3,"gridY":3},{"name":"KH","gridX":3,"gridY":4},{"name":"9S","gridX":4,"gridY":1},{"name":"AD","gridX":4,"gridY":4}]	reveal
full_sample	7014-a164176a-35ae-48c2-a651-b0c33c4c605d	1546220842846	1	baseline	5S,QC	8C,AS	5S	1	[{"name":"8C","gridX":1,"gridY":2},{"name":"QC","gridX":3,"gridY":3},{"name":"2D","gridX":2,"gridY":3},{"name":"5S","gridX":2,"gridY":4},{"name":"4H","gridX":2,"gridY":2},{"name":"AS","gridX":2,"gridY":1},{"name":"5D","gridX":4,"gridY":4},{"name":"6C","gridX":1,"gridY":3}]	reveal
full_sample	7014-a164176a-35ae-48c2-a651-b0c33c4c605d	1546220888705	1	baseline	5S,QC	8C,AS	QC	1	[{"name":"8C","gridX":1,"gridY":2},{"name":"QC","gridX":3,"gridY":3},{"name":"2D","gridX":2,"gridY":3},{"name":"5S","gridX":2,"gridY":4},{"name":"4H","gridX":2,"gridY":2},{"name":"AS","gridX":2,"gridY":1},{"name":"5D","gridX":4,"gridY":4},{"name":"6C","gridX":1,"gridY":3}]	reveal
full_sample	7014-a164176a-35ae-48c2-a651-b0c33c4c605d	1546220916973	2	baseline	10C,7D	AD,JD	7D	1	[{"name":"AD","gridX":4,"gridY":3},{"name":"6H","gridX":4,"gridY":4},{"name":"10C","gridX":4,"gridY":2},{"name":"AC","gridX":4,"gridY":1},{"name":"5S","gridX":1,"gridY":1},{"name":"8D","gridX":3,"gridY":2},{"name":"7D","gridX":2,"gridY":3},{"name":"JD","gridX":1,"gridY":3}]	reveal
full_sample	7014-a164176a-35ae-48c2-a651-b0c33c4c605d	1546220938307	2	baseline	10C,7D	AD,JD	10C	1	[{"name":"AD","gridX":4,"gridY":3},{"name":"6H","gridX":4,"gridY":4},{"name":"10C","gridX":4,"gridY":2},{"name":"AC","gridX":4,"gridY":1},{"name":"5S","gridX":1,"gridY":1},{"name":"8D","gridX":3,"gridY":2},{"name":"7D","gridX":2,"gridY":3},{"name":"JD","gridX":1,"gridY":3}]	reveal
full_sample	7014-a164176a-35ae-48c2-a651-b0c33c4c605d	1546220958832	3	overlap	6S,9S	QH,9S	QH	1	[{"name":"5C","gridX":3,"gridY":1},{"name":"6S","gridX":4,"gridY":4},{"name":"JD","gridX":2,"gridY":4},{"name":"JH","gridX":2,"gridY":3},{"name":"2D","gridX":1,"gridY":1},{"name":"QH","gridX":1,"gridY":4},{"name":"9S","gridX":2,"gridY":1}]	reveal
full_sample	7014-a164176a-35ae-48c2-a651-b0c33c4c605d	1546220986581	3	overlap	6S,9S	QH,9S	9S	1	[{"name":"5C","gridX":3,"gridY":1},{"name":"6S","gridX":4,"gridY":4},{"name":"JD","gridX":2,"gridY":4},{"name":"JH","gridX":2,"gridY":3},{"name":"2D","gridX":1,"gridY":1},{"name":"QH","gridX":1,"gridY":4},{"name":"9S","gridX":2,"gridY":1}]	reveal
full_sample	7014-a164176a-35ae-48c2-a651-b0c33c4c605d	1546221006487	3	overlap	6S,9S	QH,9S	6S	1	[{"name":"5C","gridX":3,"gridY":1},{"name":"6S","gridX":4,"gridY":4},{"name":"JD","gridX":2,"gridY":4},{"name":"JH","gridX":2,"gridY":3},{"name":"2D","gridX":1,"gridY":1},{"name":"QH","gridX":1,"gridY":4},{"name":"9S","gridX":2,"gridY":1}]	reveal
full_sample	7014-a164176a-35ae-48c2-a651-b0c33c4c605d	1546221029402	4	overlap	6D,9D	5C,9D	6D	1	[{"name":"5C","gridX":2,"gridY":4},{"name":"AH","gridX":3,"gridY":2},{"name":"6D","gridX":3,"gridY":4},{"name":"JS","gridX":2,"gridY":1},{"name":"9D","gridX":1,"gridY":4}]	reveal
full_sample	7014-a164176a-35ae-48c2-a651-b0c33c4c605d	1546221044246	4	overlap	6D,9D	5C,9D	9D	1	[{"name":"5C","gridX":2,"gridY":4},{"name":"AH","gridX":3,"gridY":2},{"name":"6D","gridX":3,"gridY":4},{"name":"JS","gridX":2,"gridY":1},{"name":"9D","gridX":1,"gridY":4}]	reveal
full_sample	7014-a164176a-35ae-48c2-a651-b0c33c4c605d	1546221065500	5	catch	QH	8H	QH,8H	2	[{"name":"9S","gridX":1,"gridY":2},{"name":"8H","gridX":2,"gridY":2},{"name":"6C","gridX":3,"gridY":1},{"name":"3H","gridX":4,"gridY":2},{"name":"QH","gridX":4,"gridY":3}]	reveal
