iterationName	gameid	time	trialNum	trialType	targetGoalSet	distractorGoalSet	firstRole	cardAskedAbout	sender	timeFromRoundStart	eventType
single_player_sample	2143-a43b7b59-62de-458b-99f4-ae3306b34123	1546803341004	0	overlap	10H,QC	7C,QC	seeker	10H	human	11602	chatMessage
single_player_sample	2143-a43b7b59-62de-458b-99f4-ae3306b34123	1546803355451	1	catch	KH	6D	seeker	KH	human	7706	chatMessage
single_player_sample	2143-a43b7b59-62de-458b-99f4-ae3306b34123	1546803368881	2	baseline	JS,7S	7D,3H	seeker	7D	human	6725	chatMessage
single_player_sample	2143-a43b7b59-62de-458b-99f4-ae3306b34123	1546803381163	2	baseline	JS,7S	7D,3H	seeker	3H	human	19009	chatMessage
single_player_sample	2143-a43b7b59-62de-458b-99f4-ae3306b34123	1546803392171	2	baseline	JS,7S	7D,3H	seeker	JS	human	30017	chatMessage
single_player_sample	2143-a43b7b59-62de-458b-99f4-ae3306b34123	1546803403893	3	baseline	KS,5D	JH,5H	seeker	KS	bot	5000	chatMessage
single_player_sample	2143-a43b7b59-62de-458b-99f4-ae3306b34123	1546803417096	3	baseline	KS,5D	JH,5H	seeker	5D	bot	5000	chatMessage
single_player_sample	2143-a43b7b59-62de-458b-99f4-ae3306b34123	1546803432401	4	catch	JD	3D	seeker	JD	bot	5000	chatMessage
single_player_sample	2143-a43b7b59-62de-458b-99f4-ae3306b34123	1546803445979	5	overlap	JC,8H	10C,8H	seeker	JC	bot	5000	chatMessage
single_player_sample	2143-a43b7b59-62de-458b-99f4-ae3306b34123	1546803457045	5	overlap	JC,8H	10C,8H	seeker	8H	bot	5000	chatMessage
