iterationName	gameid	time	trialNum	trialType	targetGoalSet	distractorGoalSet	firstRole	cardAskedAbout	sender	timeFromRoundStart	eventType
single-player-pilot	6711-0b510617-e0fd-4c05-874f-79ea51e45fd9	1546718273199	0	catch	JS	KD	seeker	JS		9370	chatMessage
single-player-pilot	6711-0b510617-e0fd-4c05-874f-79ea51e45fd9	1546718286826	1	baseline	10C,3D	AS,8C	seeker	10C		7037	chatMessage
single-player-pilot	6711-0b510617-e0fd-4c05-874f-79ea51e45fd9	1546718302653	2	overlap	8S,3C	5S,3C	seeker	5S		9240	chatMessage
single-player-pilot	6711-0b510617-e0fd-4c05-874f-79ea51e45fd9	1546718318428	2	overlap	8S,3C	5S,3C	seeker	3C		25016	chatMessage
single-player-pilot	6711-0b510617-e0fd-4c05-874f-79ea51e45fd9	1546718330256	2	overlap	8S,3C	5S,3C	seeker	8S		36845	chatMessage
single-player-pilot	6711-0b510617-e0fd-4c05-874f-79ea51e45fd9	1546718341863	3	overlap	JC,KD	5C,KD	seeker	JC	bot	5000	chatMessage
single-player-pilot	6711-0b510617-e0fd-4c05-874f-79ea51e45fd9	1546718353349	3	overlap	JC,KD	5C,KD	seeker	KD	bot	5000	chatMessage
single-player-pilot	6711-0b510617-e0fd-4c05-874f-79ea51e45fd9	1546718367764	4	catch	10C	QS	seeker	10C	bot	5000	chatMessage
single-player-pilot	6711-0b510617-e0fd-4c05-874f-79ea51e45fd9	1546718381921	5	baseline	5C,5D	KS,2H	seeker	5C	bot	5000	chatMessage
single-player-pilot	6711-0b510617-e0fd-4c05-874f-79ea51e45fd9	1546718393970	5	baseline	5C,5D	KS,2H	seeker	5D	bot	5000	chatMessage
