iterationName	gameid	time	trialNum	trialType	targetGoalSet	distractorGoalSet	firstRole	cardAskedAbout	sender	timeFromRoundStart	eventType
single_player_sample	8212-39758d48-a404-403f-902f-577c55699912	1546805412763	0	overlap	6H,3D	KD,3D	helper	6H	bot	5000	chatMessage
single_player_sample	8212-39758d48-a404-403f-902f-577c55699912	1546805459172	1	catch	4S	8H	helper	4S	bot	5000	chatMessage
single_player_sample	8212-39758d48-a404-403f-902f-577c55699912	1546805496803	2	baseline	8C,3D	8D,6S	helper	8C	bot	5000	chatMessage
single_player_sample	8212-39758d48-a404-403f-902f-577c55699912	1546805557033	3	catch	KH	8C	helper	4H	human	34033	chatMessage
single_player_sample	8212-39758d48-a404-403f-902f-577c55699912	1546805575903	3	catch	KH	8C	helper	4H	human	52901	chatMessage
single_player_sample	8212-39758d48-a404-403f-902f-577c55699912	1546805591441	3	catch	KH	8C	helper	8C	human	68440	chatMessage
single_player_sample	8212-39758d48-a404-403f-902f-577c55699912	1546805611410	4	baseline	JC,JS	QS,5S	helper	5S	human	12663	chatMessage
single_player_sample	8212-39758d48-a404-403f-902f-577c55699912	1546805623999	4	baseline	JC,JS	QS,5S	helper	9S	human	25252	chatMessage
single_player_sample	8212-39758d48-a404-403f-902f-577c55699912	1546805636504	4	baseline	JC,JS	QS,5S	helper	3C	human	37756	chatMessage
single_player_sample	8212-39758d48-a404-403f-902f-577c55699912	1546805654210	4	baseline	JC,JS	QS,5S	helper	8S	human	55460	chatMessage
single_player_sample	8212-39758d48-a404-403f-902f-577c55699912	1546805661649	4	baseline	JC,JS	QS,5S	helper	6H	human	62901	chatMessage
single_player_sample	8212-39758d48-a404-403f-902f-577c55699912	1546805667844	4	baseline	JC,JS	QS,5S	helper	4H	human	69097	chatMessage
single_player_sample	8212-39758d48-a404-403f-902f-577c55699912	1546805673978	4	baseline	JC,JS	QS,5S	helper	2C	human	75229	chatMessage
single_player_sample	8212-39758d48-a404-403f-902f-577c55699912	1546805686627	4	baseline	JC,JS	QS,5S	helper	3S	human	87860	chatMessage
single_player_sample	8212-39758d48-a404-403f-902f-577c55699912	1546805705102	5	overlap	JS,8H	6C,8H	helper	8H	human	11159	chatMessage
single_player_sample	8212-39758d48-a404-403f-902f-577c55699912	1546805717025	5	overlap	JS,8H	6C,8H	helper	6C	human	23085	chatMessage
single_player_sample	8212-39758d48-a404-403f-902f-577c55699912	1546805730266	5	overlap	JS,8H	6C,8H	helper	8S	human	36325	chatMessage
single_player_sample	8212-39758d48-a404-403f-902f-577c55699912	1546805740371	5	overlap	JS,8H	6C,8H	helper	3H	human	46429	chatMessage
