iterationName	gameid	time	trialNum	trialType	targetGoalSet	distractorGoalSet	text	timeFromRoundStart	eventType
pilot0	2142-a1f73180-db9f-4cd6-a418-12022541fd5e	1544546926594	0	overlap	8H,7S	6H,7S	Where is the 8 of hearts?	9283	chatMessage
pilot0	2142-a1f73180-db9f-4cd6-a418-12022541fd5e	1544546939648	0	overlap	8H,7S	6H,7S	Where is the 7 of spades?	3959	chatMessage
pilot0	2142-a1f73180-db9f-4cd6-a418-12022541fd5e	1544546963886	1	baseline	6C,4S	KD,AD	Where is the king of diamonds?	6893	chatMessage
pilot0	2142-a1f73180-db9f-4cd6-a418-12022541fd5e	1544546985200	1	baseline	6C,4S	KD,AD	Where is the Where is the Ace of Diamonds?	6825	chatMessage
pilot0	2142-a1f73180-db9f-4cd6-a418-12022541fd5e	1544547002089	1	baseline	6C,4S	KD,AD	Where is the Where is the four of spades?	4488	chatMessage
pilot0	2142-a1f73180-db9f-4cd6-a418-12022541fd5e	1544547020671	2	baseline	4H,10C	7H,8H	Where is the 10 of clubs?	2367	chatMessage
pilot0	2142-a1f73180-db9f-4cd6-a418-12022541fd5e	1544547031505	2	baseline	4H,10C	7H,8H	Where is the 4 of hearts?	4013	chatMessage
pilot0	2142-a1f73180-db9f-4cd6-a418-12022541fd5e	1544547047194	3	catch	4H	7C	Where is the where is the 4 of hearts?	5531	chatMessage
pilot0	2142-a1f73180-db9f-4cd6-a418-12022541fd5e	1544547060894	4	catch	6D	5C	Where is the 6 of diamonds?	2550	chatMessage
pilot0	2142-a1f73180-db9f-4cd6-a418-12022541fd5e	1544547075270	5	overlap	7S,KC	JC,KC	Where is the where is the 7 of spades?	3822	chatMessage
