iterationName	gameid	time	trialNum	trialType	targetGoalSet	distractorGoalSet	firstRole	cardAskedAbout	sender	timeFromRoundStart	eventType
single_player_sample	1356-b69a419d-4129-40ec-bc95-ef28172a8a58	1546809352659	0	baseline	6H,6C	4C,2C	seeker	3C	human	22589	chatMessage
single_player_sample	1356-b69a419d-4129-40ec-bc95-ef28172a8a58	1546809370793	0	baseline	6H,6C	4C,2C	seeker	5C	human	40723	chatMessage
single_player_sample	1356-b69a419d-4129-40ec-bc95-ef28172a8a58	1546809385622	0	baseline	6H,6C	4C,2C	seeker	6C	human	55552	chatMessage
single_player_sample	1356-b69a419d-4129-40ec-bc95-ef28172a8a58	1546809405648	1	catch	JH	5S	seeker	7H	human	12804	chatMessage
single_player_sample	1356-b69a419d-4129-40ec-bc95-ef28172a8a58	1546809419231	1	catch	JH	5S	seeker	9H	human	26384	chatMessage
single_player_sample	1356-b69a419d-4129-40ec-bc95-ef28172a8a58	1546809441516	2	overlap	JC,2S	4D,2S	seeker	3S	human	15053	chatMessage
single_player_sample	1356-b69a419d-4129-40ec-bc95-ef28172a8a58	1546809452566	2	overlap	JC,2S	4D,2S	seeker	4S	human	26103	chatMessage
single_player_sample	1356-b69a419d-4129-40ec-bc95-ef28172a8a58	1546809465302	2	overlap	JC,2S	4D,2S	seeker	6C	human	38806	chatMessage
single_player_sample	1356-b69a419d-4129-40ec-bc95-ef28172a8a58	1546809481313	2	overlap	JC,2S	4D,2S	seeker	9C	human	54849	chatMessage
single_player_sample	1356-b69a419d-4129-40ec-bc95-ef28172a8a58	1546809487349	2	overlap	JC,2S	4D,2S	seeker	10C	human	60885	chatMessage
single_player_sample	1356-b69a419d-4129-40ec-bc95-ef28172a8a58	1546809499689	3	baseline	8C,6S	AS,10D	seeker	8C	bot	5000	chatMessage
single_player_sample	1356-b69a419d-4129-40ec-bc95-ef28172a8a58	1546809533961	4	catch	KS	2C	seeker	KS	bot	5000	chatMessage
single_player_sample	1356-b69a419d-4129-40ec-bc95-ef28172a8a58	1546809546716	4	catch	KS	2C	seeker	KS	bot	5000	chatMessage
single_player_sample	1356-b69a419d-4129-40ec-bc95-ef28172a8a58	1546809563723	5	overlap	9C,7C	2D,7C	seeker	9C	bot	5000	chatMessage
single_player_sample	1356-b69a419d-4129-40ec-bc95-ef28172a8a58	1546809577312	5	overlap	9C,7C	2D,7C	seeker	7C	bot	5000	chatMessage
single_player_sample	1356-b69a419d-4129-40ec-bc95-ef28172a8a58	1546809585195	5	overlap	9C,7C	2D,7C	seeker	7C	bot	5000	chatMessage
single_player_sample	1356-b69a419d-4129-40ec-bc95-ef28172a8a58	1546809593418	5	overlap	9C,7C	2D,7C	seeker	7C	bot	5000	chatMessage
single_player_sample	1356-b69a419d-4129-40ec-bc95-ef28172a8a58	1546809601066	5	overlap	9C,7C	2D,7C	seeker	7C	bot	5000	chatMessage
