iterationName	gameid	time	trialNum	trialType	targetGoalSet	distractorGoalSet	text	timeFromRoundStart	eventType
full_sample	8637-f7bbd0b4-8865-4396-b120-f322dc363f6e	1545251532114	0	overlap	2C,4H	6D,4H	Where is the 2 of clubs?	9645	chatMessage
full_sample	8637-f7bbd0b4-8865-4396-b120-f322dc363f6e	1545251558133	0	overlap	2C,4H	6D,4H	Where is the 4 of hearts?	6088	chatMessage
full_sample	8637-f7bbd0b4-8865-4396-b120-f322dc363f6e	1545251576370	1	catch	3S	5H	Where is the 3 of aces?	5714	chatMessage
full_sample	8637-f7bbd0b4-8865-4396-b120-f322dc363f6e	1545251589402	1	catch	3S	5H	Where is the 5 of hears?	1408	chatMessage
full_sample	8637-f7bbd0b4-8865-4396-b120-f322dc363f6e	1545251592699	1	catch	3S	5H	Where is the hearts*?	1958	chatMessage
full_sample	8637-f7bbd0b4-8865-4396-b120-f322dc363f6e	1545251626319	2	catch	6C	QH	Where is the 6 of clubs?	4980	chatMessage
full_sample	8637-f7bbd0b4-8865-4396-b120-f322dc363f6e	1545251649258	3	overlap	8D,QD	10S,QD	Where is the queen of diamonds?	5045	chatMessage
full_sample	8637-f7bbd0b4-8865-4396-b120-f322dc363f6e	1545251655489	3	overlap	8D,QD	10S,QD	Where is the eight of diamonds?	4215	chatMessage
full_sample	8637-f7bbd0b4-8865-4396-b120-f322dc363f6e	1545251680344	4	baseline	QH,KS	4S,10C	Where is the Q of hearts?	6096	chatMessage
full_sample	8637-f7bbd0b4-8865-4396-b120-f322dc363f6e	1545251698765	4	baseline	QH,KS	4S,10C	Where is the K of spades?	5609	chatMessage
full_sample	8637-f7bbd0b4-8865-4396-b120-f322dc363f6e	1545251712998	5	baseline	5H,6C	AD,4S	Where is the 5 of hearts?	5640	chatMessage
full_sample	8637-f7bbd0b4-8865-4396-b120-f322dc363f6e	1545251720201	5	baseline	5H,6C	AD,4S	Where is the 6 of clubs?	2943	chatMessage
