iterationName	gameid	time	trialNum	trialType	targetGoalSet	distractorGoalSet	text	timeFromRoundStart	eventType	cardAskedAbout
pilot0	1712-efe2127a-4185-4560-83b5-21e662978ae7	1544484914337	0	catch	QS	10S	Where is the where is the queen of spades?	6589	chatMessage	QS
pilot0	1712-efe2127a-4185-4560-83b5-21e662978ae7	1544484931572	1	overlap	5C,2D	4C,2D	Where is the Where is the 5 of clubs??	3760	chatMessage	5C
pilot0	1712-efe2127a-4185-4560-83b5-21e662978ae7	1544484953144	1	overlap	5C,2D	4C,2D	Where is the Where is the 2 of diamonds??	3738	chatMessage	2D
pilot0	1712-efe2127a-4185-4560-83b5-21e662978ae7	1544484968579	2	baseline	10D,9H	QC,KS	Where is the nine of hearts?	1984	chatMessage	9H
pilot0	1712-efe2127a-4185-4560-83b5-21e662978ae7	1544484985988	3	catch	QS	4C	Where is the where is the queen of spades?	4259	chatMessage	QS
pilot0	1712-efe2127a-4185-4560-83b5-21e662978ae7	1544485005020	4	overlap	QS,2H	8D,2H	Where is the queen of spades?	3074	chatMessage	QS
pilot0	1712-efe2127a-4185-4560-83b5-21e662978ae7	1544485016987	4	overlap	QS,2H	8D,2H	Where is the two of hearts?	2832	chatMessage	2H
pilot0	1712-efe2127a-4185-4560-83b5-21e662978ae7	1544485034990	5	baseline	5D,KS	7S,3S	Where is the where is the 5 of diamonds?	8245	chatMessage	5D
pilot0	4088-9de6a0f7-018a-4f82-8776-cc0812be7927	1544485173514	0	catch	10H	2C	Where is the ten of hearts?	6414	chatMessage	10H
pilot0	4088-9de6a0f7-018a-4f82-8776-cc0812be7927	1544485188878	0	catch	10H	2C	Where is the two of clubs?	4493	chatMessage	2C
pilot0	4088-9de6a0f7-018a-4f82-8776-cc0812be7927	1544485273082	1	baseline	7S,7H	3S,5S	Where is the seven of club?	59347	chatMessage	7C
pilot0	4088-9de6a0f7-018a-4f82-8776-cc0812be7927	1544485283300	1	baseline	7S,7H	3S,5S	Where is the seven of hearts?	7258	chatMessage	7H
pilot0	4088-9de6a0f7-018a-4f82-8776-cc0812be7927	1544485309589	1	baseline	7S,7H	3S,5S	Where is the seven of spade?	5576	chatMessage	7S
pilot0	4088-9de6a0f7-018a-4f82-8776-cc0812be7927	1544485340187	2	baseline	6C,9C	5D,AH	Where is the where is the six of clubs?	4727	chatMessage	6C
pilot0	4088-9de6a0f7-018a-4f82-8776-cc0812be7927	1544485395094	3	overlap	5H,7S	8H,7S	Where is the five of hearts?	5334	chatMessage	5H
pilot0	4088-9de6a0f7-018a-4f82-8776-cc0812be7927	1544485468211	3	overlap	5H,7S	8H,7S	Where is the seven of spade?	19157	chatMessage	7S
