gameid, time, goal, objectSet, word, online
5536-6,1430253876511,siamese cat,4, where ,on
5536-6,1430253878564,siamese cat,4, is ,on
5536-6,1430253879854,siamese cat,4, pet ,on
5536-6,1430253908904,office,1, where ,on
5536-6,1430253910202,office,1, is ,on
5536-6,1430253911995,office,1, that ,on
5536-6,1430253914168,office,1, building ,on
