answererType,margLikelihood
explicit,-2191.125236124545
explicit,-2785.434897015258
explicit,-1913.6125699548184
explicit,-2192.5439426551443
explicit,-2842.712459829149
explicit,-2420.1925113672705
explicit,-2126.6650976733135
explicit,-2161.902458429768
explicit,-2108.249122030837
explicit,-1931.9257903795585
explicit,-2397.566715482028
explicit,-1890.6683113395743
explicit,-1894.3202447024953
explicit,-2622.568079539375
explicit,-3041.259888707768
explicit,-2054.0649217616387
pragmatic,-1524.3439295390426
pragmatic,-1692.1452317109063
pragmatic,-1843.849865077692
pragmatic,-1814.9330803107
pragmatic,-1560.9217131273065
pragmatic,-1625.6578559626455
pragmatic,-1787.3192544115661
pragmatic,-1616.7354782812777
pragmatic,-1831.294535370351
pragmatic,-1415.093322381961
pragmatic,-1836.2439623225996
pragmatic,-1427.5867837052506
pragmatic,-1677.1055167150591
pragmatic,-1620.702015548943
pragmatic,-1682.247283816423
pragmatic,-2087.795548776165
