iterationName	gameid	time	trialNum	trialType	questionNumber	firstRole	question	sender	gridState	timeFromMessage	goal	eventType
testing	5137-21b550ea-4c59-4091-8dc1-0bbd0215a090	1550778300755	1	practice	1	helper	B3	human	{"safe":["B1","B2"],"unsafe":[]}	6788	rows	question
testing	5137-21b550ea-4c59-4091-8dc1-0bbd0215a090	1550778328437	3	random	1	helper	C2	human	{"safe":["A1","A2","B2","C1"],"unsafe":[]}	6457	columns	question
testing	5137-21b550ea-4c59-4091-8dc1-0bbd0215a090	1550778400025	5	random	1	helper	C2	human	{"safe":["B1","C3"],"unsafe":[]}	8325	rows	question
testing	5137-21b550ea-4c59-4091-8dc1-0bbd0215a090	1550778409769	5	random	2	helper	B2	human	{"safe":["B1","C3","B3"],"unsafe":["C2"]}	18070	rows	question
testing	5137-21b550ea-4c59-4091-8dc1-0bbd0215a090	1550778437474	7	random	1	helper	A2	human	{"safe":["A1","A3","B2","C2","C3"],"unsafe":[]}	8308	columns	question
testing	5137-21b550ea-4c59-4091-8dc1-0bbd0215a090	1550778492075	9	random	1	helper	A1	human	{"safe":["A2","C3"],"unsafe":[]}	4146	rows	question
testing	5137-21b550ea-4c59-4091-8dc1-0bbd0215a090	1550778499926	9	random	2	helper	C2	human	{"safe":["A2","C3","C1"],"unsafe":["A1"]}	11995	rows	question
testing	5137-21b550ea-4c59-4091-8dc1-0bbd0215a090	1550778535319	11	random	1	helper	B3	human	{"safe":["B1","B2","C3"],"unsafe":[]}	10711	columns	question
testing	5137-21b550ea-4c59-4091-8dc1-0bbd0215a090	1550778543856	11	random	2	helper	C1	human	{"safe":["B1","B2","C3","A1"],"unsafe":["B3"]}	19242	columns	question
testing	5137-21b550ea-4c59-4091-8dc1-0bbd0215a090	1550778583272	13	pragmatic	1	helper	C1	human	{"safe":["C2"],"unsafe":[]}	3634	rows	question
testing	5137-21b550ea-4c59-4091-8dc1-0bbd0215a090	1550778616003	15	empty	1	helper	A1	human	{"safe":[],"unsafe":[]}	3710	columns	question
testing	5137-21b550ea-4c59-4091-8dc1-0bbd0215a090	1550778623217	15	empty	2	helper	B1	human	{"safe":["A1","C1"],"unsafe":[]}	10924	columns	question
testing	5137-21b550ea-4c59-4091-8dc1-0bbd0215a090	1550778650621	17	blocked	1	helper	C2	human	{"safe":["C3"],"unsafe":[]}	4101	rows	question
testing	5137-21b550ea-4c59-4091-8dc1-0bbd0215a090	1550778659681	17	blocked	2	helper	B1	human	{"safe":["C3","C2"],"unsafe":["C1"]}	13163	rows	question
testing	5137-21b550ea-4c59-4091-8dc1-0bbd0215a090	1550778667734	17	blocked	3	helper	A1	human	{"safe":["C3","C2","A2"],"unsafe":["C1","B1"]}	21215	rows	question
testing	5137-21b550ea-4c59-4091-8dc1-0bbd0215a090	1550778712132	19	random	1	helper	B3	human	{"safe":["A3","B1","B2"],"unsafe":[]}	5278	columns	question
testing	5137-21b550ea-4c59-4091-8dc1-0bbd0215a090	1550778721721	19	random	2	helper	C3	human	{"safe":["A3","B1","B2","B3"],"unsafe":["A1"]}	14867	columns	question
testing	5137-21b550ea-4c59-4091-8dc1-0bbd0215a090	1550778731835	19	random	3	helper	A2	human	{"safe":["A3","B1","B2","B3"],"unsafe":["A1","C3"]}	24978	columns	question
