iterationName	gameid	time	trialNum	trialType	questionNumber	firstRole	question	sender	gridState	timeFromMessage	goal	eventType
testing	3885-65dc02fa-a7d1-4d56-9452-b4248093315f	1550784425193	1	practice	1	helper	A2	human	{"safe":["B2","C2"],"unsafe":[]}	11023	columns	question
testing	3885-65dc02fa-a7d1-4d56-9452-b4248093315f	1550784467769	3	random	1	helper	C1	human	{"safe":["A2","B1","C2"],"unsafe":[]}	13074	rows	question
testing	3885-65dc02fa-a7d1-4d56-9452-b4248093315f	1550784481024	3	random	2	helper	B3	human	{"safe":["A2","B1","C2","B2"],"unsafe":["C1"]}	26329	rows	question
testing	3885-65dc02fa-a7d1-4d56-9452-b4248093315f	1550784511641	5	random	1	helper	B1	human	{"safe":["A1","B2","B3","C1"],"unsafe":[]}	6753	columns	question
testing	3885-65dc02fa-a7d1-4d56-9452-b4248093315f	1550784523027	5	random	2	helper	A3	human	{"safe":["A1","B2","B3","C1","C3"],"unsafe":["B1"]}	18137	columns	question
testing	3885-65dc02fa-a7d1-4d56-9452-b4248093315f	1550784621968	7	blocked	1	helper	B2	human	{"safe":["B3"],"unsafe":[]}	6253	rows	question
testing	3885-65dc02fa-a7d1-4d56-9452-b4248093315f	1550784633130	7	blocked	2	helper	A1	human	{"safe":["B3"],"unsafe":["B2"]}	17421	rows	question
testing	3885-65dc02fa-a7d1-4d56-9452-b4248093315f	1550784644372	7	blocked	3	helper	A2	human	{"safe":["B3","A1","C3"],"unsafe":["B2"]}	28661	rows	question
testing	3885-65dc02fa-a7d1-4d56-9452-b4248093315f	1550784681553	9	random	1	helper	A3	human	{"safe":["A1","A2","B2"],"unsafe":[]}	5403	rows	question
testing	3885-65dc02fa-a7d1-4d56-9452-b4248093315f	1550784690482	9	random	2	helper	B3	human	{"safe":["A1","A2","B2","B1"],"unsafe":["A3"]}	14395	rows	question
testing	3885-65dc02fa-a7d1-4d56-9452-b4248093315f	1550784726988	11	empty	1	helper	A1	human	{"safe":[],"unsafe":[]}	4699	columns	question
testing	3885-65dc02fa-a7d1-4d56-9452-b4248093315f	1550784740386	11	empty	2	helper	A2	human	{"safe":["A1"],"unsafe":["B1"]}	18099	columns	question
testing	3885-65dc02fa-a7d1-4d56-9452-b4248093315f	1550784748730	11	empty	3	helper	B2	human	{"safe":["A1","A2","C2"],"unsafe":["B1"]}	26443	columns	question
testing	3885-65dc02fa-a7d1-4d56-9452-b4248093315f	1550784820383	13	pragmatic	1	helper	B1	human	{"safe":["B2"],"unsafe":[]}	6398	rows	question
testing	3885-65dc02fa-a7d1-4d56-9452-b4248093315f	1550784858852	15	random	1	helper	B1	human	{"safe":["A1","A3","C1"],"unsafe":[]}	8411	columns	question
testing	3885-65dc02fa-a7d1-4d56-9452-b4248093315f	1550784937523	17	random	1	helper	B2	human	{"safe":["A2"],"unsafe":[]}	6154	columns	question
testing	3885-65dc02fa-a7d1-4d56-9452-b4248093315f	1550784947957	17	random	2	helper	B1	human	{"safe":["A2","A1"],"unsafe":["B2"]}	16578	columns	question
testing	3885-65dc02fa-a7d1-4d56-9452-b4248093315f	1550784993796	19	random	1	helper	B1	human	{"safe":["A1","A3","C2"],"unsafe":[]}	6254	columns	question
testing	3885-65dc02fa-a7d1-4d56-9452-b4248093315f	1550785004877	19	random	2	helper	B2	human	{"safe":["A1","A3","C2","A2"],"unsafe":["B1"]}	17334	columns	question
