iterationName	gameid	time	trialNum	trialType	questionNumber	firstRole	question	sender	gridState	timeFromMessage	goal	eventType
pilot0	8449-02567a25-cd3d-411c-932b-aba378f36fe8	1550729142712	0	practice	1	leader	A1	human	{"safe":["B3","C3"],"unsafe":[]}	10805	columns	question
pilot0	8449-02567a25-cd3d-411c-932b-aba378f36fe8	1550729152254	0	practice	2	leader	B1	human	{"safe":["B3","C3","A1"],"unsafe":[]}	20348	columns	question
pilot0	8449-02567a25-cd3d-411c-932b-aba378f36fe8	1550729161650	0	practice	3	leader	C1	human	{"safe":["B3","C3","A1","B1"],"unsafe":[]}	29740	columns	question
pilot0	8449-02567a25-cd3d-411c-932b-aba378f36fe8	1550729201242	2	random	1	leader	C1	human	{"safe":["A2","B1","B3"],"unsafe":[]}	7063	rows	question
pilot0	8449-02567a25-cd3d-411c-932b-aba378f36fe8	1550729213505	2	random	2	leader	C2	human	{"safe":["A2","B1","B3","C1","A1"],"unsafe":[]}	19327	rows	question
pilot0	8449-02567a25-cd3d-411c-932b-aba378f36fe8	1550729223888	2	random	3	leader	A3	human	{"safe":["A2","B1","B3","C1","A1"],"unsafe":["C2","C3"]}	29710	rows	question
pilot0	8449-02567a25-cd3d-411c-932b-aba378f36fe8	1550729259537	4	random	1	leader	A1	human	{"safe":["A2","A3","B1","C3"],"unsafe":[]}	5975	rows	question
pilot0	8449-02567a25-cd3d-411c-932b-aba378f36fe8	1550729294791	6	pragmatic	1	leader	A1	human	{"safe":["C1"],"unsafe":[]}	7229	columns	question
pilot0	8449-02567a25-cd3d-411c-932b-aba378f36fe8	1550729359265	8	random	1	leader	A1	human	{"safe":["B1","B3"],"unsafe":[]}	6298	columns	question
pilot0	8449-02567a25-cd3d-411c-932b-aba378f36fe8	1550729439263	10	empty	1	leader	C1	human	{"safe":[],"unsafe":[]}	6999	rows	question
pilot0	8449-02567a25-cd3d-411c-932b-aba378f36fe8	1550729449193	10	empty	2	leader	C2	human	{"safe":["C1","C3"],"unsafe":[]}	16926	rows	question
pilot0	8449-02567a25-cd3d-411c-932b-aba378f36fe8	1550729478586	12	random	1	leader	B3	human	{"safe":["A3"],"unsafe":[]}	6557	columns	question
pilot0	8449-02567a25-cd3d-411c-932b-aba378f36fe8	1550729507862	14	blocked	1	leader	A3	human	{"safe":["C3"],"unsafe":[]}	5730	columns	question
pilot0	8449-02567a25-cd3d-411c-932b-aba378f36fe8	1550729519892	14	blocked	2	leader	A1	human	{"safe":["C3","B1"],"unsafe":["A3"]}	17762	columns	question
pilot0	8449-02567a25-cd3d-411c-932b-aba378f36fe8	1550729555677	16	random	1	leader	A3	human	{"safe":["A1","B3","C3"],"unsafe":[]}	5185	columns	question
pilot0	8449-02567a25-cd3d-411c-932b-aba378f36fe8	1550729584762	18	random	1	leader	A2	human	{"safe":["A1","A3"],"unsafe":[]}	3851	rows	question
pilot0	8449-02567a25-cd3d-411c-932b-aba378f36fe8	1550729596522	18	random	2	leader	C2	human	{"safe":["A1","A3","C3"],"unsafe":["A2"]}	15612	rows	question
