iterationName	gameid	time	trialNum	trialType	questionNumber	firstRole	question	sender	gridState	timeFromMessage	goal	eventType
testing	4636-2a3b0932-5e49-4db4-8c19-a9949c186431	1550790054401	0	practice	1	leader	C3	human	{"safe":["C1","C2"],"unsafe":[]}	23304	rows	question
testing	4636-2a3b0932-5e49-4db4-8c19-a9949c186431	1550790090251	2	random	1	leader	C2	human	{"safe":["A1","A2","B2","C1","C3"],"unsafe":[]}	9685	columns	question
testing	4636-2a3b0932-5e49-4db4-8c19-a9949c186431	1550790132652	4	random	1	leader	A1	human	{"safe":["B1","B3","C1"],"unsafe":[]}	7712	rows	question
testing	4636-2a3b0932-5e49-4db4-8c19-a9949c186431	1550790151928	4	random	2	leader	B2	human	{"safe":["B1","B3","C1","A1"],"unsafe":["A3"]}	26986	rows	question
testing	4636-2a3b0932-5e49-4db4-8c19-a9949c186431	1550790198541	6	blocked	1	leader	C1	human	{"safe":["A1"],"unsafe":[]}	9120	columns	question
testing	4636-2a3b0932-5e49-4db4-8c19-a9949c186431	1550790240854	8	random	1	leader	A3	human	{"safe":["A1","A2","B2","B3","C3"],"unsafe":[]}	6056	columns	question
testing	4636-2a3b0932-5e49-4db4-8c19-a9949c186431	1550790344141	10	empty	1	leader	B2	human	{"safe":[],"unsafe":[]}	6308	rows	question
testing	4636-2a3b0932-5e49-4db4-8c19-a9949c186431	1550790356602	10	empty	2	leader	C1	human	{"safe":["C3"],"unsafe":["B2"]}	18778	rows	question
testing	4636-2a3b0932-5e49-4db4-8c19-a9949c186431	1550790438277	12	random	1	leader	C3	human	{"safe":["B2","B3","C1","C2"],"unsafe":[]}	5637	rows	question
testing	4636-2a3b0932-5e49-4db4-8c19-a9949c186431	1550790484218	14	random	1	leader	C1	human	{"safe":["C2","C3"],"unsafe":[]}	4631	columns	question
testing	4636-2a3b0932-5e49-4db4-8c19-a9949c186431	1550790495035	14	random	2	leader	A2	human	{"safe":["C2","C3"],"unsafe":["C1"]}	15447	columns	question
testing	4636-2a3b0932-5e49-4db4-8c19-a9949c186431	1550790548324	16	random	1	leader	A3	human	{"safe":["B3","C2","C3"],"unsafe":[]}	7695	rows	question
testing	4636-2a3b0932-5e49-4db4-8c19-a9949c186431	1550790562101	16	random	2	leader	C1	human	{"safe":["B3","C2","C3","A3"],"unsafe":["A2"]}	21465	rows	question
testing	4636-2a3b0932-5e49-4db4-8c19-a9949c186431	1550790592995	18	pragmatic	1	leader	B2	human	{"safe":["B1"],"unsafe":[]}	7333	columns	question
testing	4636-2a3b0932-5e49-4db4-8c19-a9949c186431	1550790604541	18	pragmatic	2	leader	A2	human	{"safe":["B1","B2","B3"],"unsafe":[]}	18876	columns	question
testing	4636-2a3b0932-5e49-4db4-8c19-a9949c186431	1550790615730	18	pragmatic	3	leader	C2	human	{"safe":["B1","B2","B3","A2"],"unsafe":["A3"]}	30065	columns	question
testing	4636-2a3b0932-5e49-4db4-8c19-a9949c186431	1550790625930	18	pragmatic	4	leader	C1	human	{"safe":["B1","B2","B3","A2"],"unsafe":["A3","C2"]}	40247	columns	question
