workerid	language	enjoyment	gender	age	comments	asses	education
0	English	2	Male	23		Yes	1
1	English	2	Female	22	This was interesting	Yes	2
2	English	2	Female	61		Yes	1
3	English	2	Male	24	Interesting study. It is always fun to play with language. Good luck!	Yes	2
4	English	2	Male	29		Yes	4
5	English	2	Male	33		Yes	2
6	ENGLISH	2	Male	24	THANK YOU :)	Yes	1
7	English	2	Female	33		Yes	2
8	English	1	Female	25		Yes	3
9	English	2	Female	31	Great HIT. Thanks!	Yes	1
10	english	2	Male	46		Yes	3
11	English	2	Male	23		Yes	1
12	english	2	Male	33		Yes	3
13	english	1	Female	22	nice survey:)	Yes	2
14	English	2	Male	30		Yes	2
15	ENGLISH	2	Male	59	NA	Yes	4
16	english	2	Male	26		Yes	4
17	English	2	Male	28		Yes	3
18	English	1	Female	44		Yes	3
19	english	2	Male	29		Yes	3
20	English	2	Female	53		Yes	3
21	English	2	Male	34		Yes	1
22	english	2	Male	34		Yes	2
23	English	2	Male	34	No comments.	Yes	3
24	English 	2	Female	27		Yes	3
25	English	2	Female	29		Yes	2
26	english	2	Female	44	Easy and enjoyable, thank you.	Yes	2
27	English	2	Male	22	None, thanks!	Yes	3
28	English	2	Male	20	Interesting hit	Yes	0
29	English	2	Male	47	Thanks, this was fun and interesting!	Yes	3
