alpha,beta,modelType,logLikelihood,posteriorProb
14.9,1,Q2_emp,-803.1365877132697,-499.0578971924188
14.9,0.9,Q2_emp,-735.8098293873675,-431.7311388665165
14.9,0.8,Q2_emp,-673.3622800639581,-369.2835895431072
14.9,0.7,Q2_emp,-637.3139180287461,-333.2352275078952
14.9,0.6,Q2_emp,-651.4425814187716,-347.3638908979206
14.9,0.5,Q2_emp,-671.0164670729932,-366.9377765521422
14.9,0.4,Q2_emp,-704.0750098234719,-399.99631930262086
14.9,0.3,Q2_emp,-757.6319581504224,-453.5532676295714
14.9,0.2,Q2_emp,-785.4277572924876,-481.3490667716367
14.9,0.1,Q2_emp,-794.8804271398042,-490.8017366189532
14.9,0,Q2_emp,-819.6850228331281,-515.6063323122771
14.8,1,Q2_emp,-796.2311579520059,-492.15246743115506
14.8,0.9,Q2_emp,-729.3758363608437,-425.2971458399928
14.8,0.8,Q2_emp,-667.7327535392293,-363.6540630183784
14.8,0.7,Q2_emp,-632.3679855166074,-328.2892949957564
14.8,0.6,Q2_emp,-646.2053716869714,-342.12668116612036
14.8,0.5,Q2_emp,-665.5575619879166,-361.4788714670657
14.8,0.4,Q2_emp,-698.093237072614,-394.0145465517631
14.8,0.3,Q2_emp,-751.1309211631857,-447.0522306423348
14.8,0.2,Q2_emp,-778.9652732947831,-474.88658277393216
14.8,0.1,Q2_emp,-788.7615568548631,-484.68286633401215
14.8,0,Q2_emp,-813.6931007606796,-509.61441023982877
14.7,1,Q2_emp,-789.3550453355033,-485.27635481465234
14.7,0.9,Q2_emp,-722.9733163363951,-418.8946258155441
14.7,0.8,Q2_emp,-662.1336346262382,-358.0549441053873
14.7,0.7,Q2_emp,-627.439913084537,-323.36122256368606
14.7,0.6,Q2_emp,-640.980919226617,-336.90222870576605
14.7,0.5,Q2_emp,-660.1077056745528,-356.0290151537018
14.7,0.4,Q2_emp,-692.1253520206263,-388.04666149977544
14.7,0.3,Q2_emp,-744.6372370783913,-440.5585465575403
14.7,0.2,Q2_emp,-772.5057283180043,-468.4270377971535
14.7,0.1,Q2_emp,-782.6419345007387,-478.56324397988766
14.7,0,Q2_emp,-807.6943982415125,-503.61570772066153
14.6,1,Q2_emp,-782.5087884409659,-478.43009792011486
14.6,0.9,Q2_emp,-716.6027822146959,-412.5240916938449
14.6,0.8,Q2_emp,-656.565110471568,-352.486419950717
14.6,0.7,Q2_emp,-622.5297673942338,-318.4510768733829
14.6,0.6,Q2_emp,-635.7694564874124,-331.69076596656157
14.6,0.5,Q2_emp,-654.66710341545,-350.5884128945991
14.6,0.4,Q2_emp,-686.1715068257029,-382.09281630485185
14.6,0.3,Q2_emp,-738.1510939492185,-434.0724034283677
14.6,0.2,Q2_emp,-766.0492512014938,-461.97056068064296
14.6,0.1,Q2_emp,-776.5215829344738,-472.4428924136228
14.6,0,Q2_emp,-801.6889270664483,-497.6102365455973
14.5,1,Q2_emp,-775.692932948566,-471.61424242771506
14.5,0.9,Q2_emp,-710.2647531298583,-406.18606260900725
14.5,0.8,Q2_emp,-651.0273660570848,-346.9486755362339
14.5,0.7,Q2_emp,-617.6376223761443,-313.5589318552935
14.5,0.6,Q2_emp,-630.5712227427077,-326.4925322218567
14.5,0.5,Q2_emp,-649.2359687100616,-345.15727818921056
14.5,0.4,Q2_emp,-680.2318546523614,-376.15316413151055
14.5,0.3,Q2_emp,-731.6726882808817,-427.59399776003085
14.5,0.2,Q2_emp,-759.5959773072813,-455.51728678643036
14.5,0.1,Q2_emp,-770.4005290693066,-466.3218385484557
14.5,0,Q2_emp,-795.6767043717657,-491.59801385091475
14.4,1,Q2_emp,-768.9080315058947,-464.82934098504376
14.4,0.9,Q2_emp,-703.9597541803467,-399.88106365949585
14.4,0.8,Q2_emp,-645.5205844239979,-341.4418939031469
14.4,0.7,Q2_emp,-612.7635595493415,-308.6848690284906
14.4,0.6,Q2_emp,-625.3864643340353,-321.30777381318427
14.4,0.5,Q2_emp,-643.8145235551202,-339.7358330342693
14.4,0.4,Q2_emp,-674.3065499465139,-370.227859425663
14.4,0.3,Q2_emp,-725.2022254773314,-421.1235349564805
14.4,0.2,Q2_emp,-753.1460488094142,-449.0673582885632
14.4,0.1,Q2_emp,-764.2788041369331,-460.2001136160821
14.4,0,Q2_emp,-789.6577529330741,-485.5790624122231
14.3,1,Q2_emp,-762.1546435666429,-458.075953045792
14.3,0.9,Q2_emp,-697.6883161321942,-393.6096256113434
14.3,0.8,Q2_emp,-640.0449469293667,-335.9662564085157
14.3,0.7,Q2_emp,-607.9076683525209,-303.8289778316699
14.3,0.6,Q2_emp,-620.2154349304218,-316.1367444095709
14.3,0.5,Q2_emp,-638.4029987392412,-334.3243082183902
14.3,0.4,Q2_emp,-668.3957487519481,-364.31705823109706
14.3,0.3,Q2_emp,-718.7399203076798,-414.66122978682876
14.3,0.2,Q2_emp,-746.6996150002043,-442.6209244793534
14.3,0.1,Q2_emp,-758.1564439671552,-454.07775344630414
14.3,0,Q2_emp,-783.6321014746159,-479.55341095376485
14.2,1,Q2_emp,-755.4333352028342,-451.3546446819833
14.2,0.9,Q2_emp,-691.4509750948794,-387.37228457402836
14.2,0.8,Q2_emp,-634.6006335356549,-330.52194301480387
14.2,0.7,Q2_emp,-603.0700464869943,-298.9913559661435
14.2,0.6,Q2_emp,-615.058395803584,-310.97970528273305
14.2,0.5,Q2_emp,-633.0016341529124,-328.92294363206145
14.2,0.4,Q2_emp,-662.4996090702629,-358.42091854941197
14.2,0.3,Q2_emp,-712.2859973931048,-408.2073068722539
14.2,0.2,Q2_emp,-740.256832614814,-436.1781420939631
14.2,0.1,Q2_emp,-752.033489286315,-447.954798765464
14.2,0,Q2_emp,-777.5997849952078,-473.52109447435674
14.1,1,Q2_emp,-748.7446788901016,-444.66598836925056
14.1,0.9,Q2_emp,-685.2482721705582,-381.16958164970725
14.1,0.8,Q2_emp,-629.1878231337955,-325.1091326129445
14.1,0.7,Q2_emp,-598.2508002726629,-294.1721097518119
14.1,0.6,Q2_emp,-609.915616120151,-305.83692559930006
14.1,0.5,Q2_emp,-627.610679115173,-323.5319885943221
14.1,0.4,Q2_emp,-656.6182912663005,-352.5396007454495
14.1,0.3,Q2_emp,-705.8406917151132,-401.7620011942623
14.1,0.2,Q2_emp,-733.8178661757521,-429.73917565490126
14.1,0.1,Q2_emp,-745.9099860360163,-441.8312955151653
14.1,0,Q2_emp,-771.5608451121262,-467.48215459127533
14,1,Q2_emp,-742.0892532658119,-438.010562744961
14,0.9,Q2_emp,-679.0807530776698,-375.0020625568189
14,0.8,Q2_emp,-623.8066939000901,-319.72800337923906
14,0.7,Q2_emp,-593.450045017901,-289.37135449705
14,0.6,Q2_emp,-604.7873732521434,-300.70868273129247
14,0.5,Q2_emp,-622.2303927183854,-318.15170219753446
14,0.4,Q2_emp,-650.7519585210501,-346.67326800019924
14,0.3,Q2_emp,-699.4042491460352,-395.3255586251842
14,0.2,Q2_emp,-727.3828883590048,-423.304197838154
14,0.1,Q2_emp,-739.7859857138064,-435.7072951929554
14,0,Q2_emp,-765.5153304244338,-461.4366399035829
13.9,1,Q2_emp,-735.4676428601601,-431.3889523393091
13.9,0.9,Q2_emp,-672.9489677502914,-368.87027722944055
13.9,0.8,Q2_emp,-618.4574236871707,-314.3787331663199
13.9,0.7,Q2_emp,-588.6679054044192,-284.58921488356833
13.9,0.6,Q2_emp,-599.673953107035,-295.595262586184
13.9,0.5,Q2_emp,-616.8610441926121,-312.7823536717611
13.9,0.4,Q2_emp,-644.9007773339519,-340.82208681310095
13.9,0.3,Q2_emp,-692.976927002761,-388.89823648191015
13.9,0.2,Q2_emp,-720.9520803836712,-416.87338986282026
13.9,0.1,Q2_emp,-733.6615457376347,-429.5828552167837
13.9,0,Q2_emp,-759.4632968973735,-455.3846063765226
13.8,1,Q2_emp,-728.8804378006857,-424.80174727983473
13.8,0.9,Q2_emp,-666.8534699149908,-362.7747793941399
13.8,0.8,Q2_emp,-613.1401904491062,-309.0614999282553
13.8,0.7,Q2_emp,-583.9045158881296,-279.8258253672787
13.8,0.6,Q2_emp,-594.5756504787413,-290.4969599578904
13.8,0.5,Q2_emp,-611.5029132912623,-307.42422277041135
13.8,0.4,Q2_emp,-639.0649180764435,-334.9862275555925
13.8,0.3,Q2_emp,-686.5589946247607,-382.48030410390976
13.8,0.2,Q2_emp,-714.5256324271618,-410.44694190631077
13.8,0.1,Q2_emp,-727.5367298360898,-423.45803931523875
13.8,0,Q2_emp,-753.4048082696573,-449.32611774880644
13.7,1,Q2_emp,-722.328233491161,-418.24954297031
13.7,0.9,Q2_emp,-660.7948166473727,-356.7161261265217
13.7,0.8,Q2_emp,-607.8551727006455,-303.77648217979464
13.7,0.7,Q2_emp,-579.1600211171647,-275.0813305963137
13.7,0.6,Q2_emp,-589.4927694210526,-285.41407890020156
13.7,0.5,Q2_emp,-606.156290699814,-302.077600178963
13.7,0.4,Q2_emp,-633.2445555986081,-329.16586507775725
13.7,0.3,Q2_emp,-680.1507339775677,-376.0720434567168
13.7,0.2,Q2_emp,-708.1037440682028,-404.0250535473518
13.7,0.1,Q2_emp,-721.4116084665899,-417.332917945739
13.7,0,Q2_emp,-747.3399364856618,-443.2612459648108
13.6,1,Q2_emp,-715.8116302662116,-411.73293974536074
13.6,0.9,Q2_emp,-654.7735679109392,-350.69487739008815
13.6,0.8,Q2_emp,-602.6025500105214,-298.52385948967054
13.6,0.7,Q2_emp,-574.434576368182,-270.35588584733097
13.6,0.6,Q2_emp,-584.4256236450454,-280.34693312419455
13.6,0.5,Q2_emp,-600.8214784695502,-296.74278794869934
13.6,0.4,Q2_emp,-627.4398698906627,-323.3611793698118
13.6,0.3,Q2_emp,-673.7524402829683,-369.6737497621173
13.6,0.2,Q2_emp,-701.686624760103,-397.6079342392521
13.6,0.1,Q2_emp,-715.2862592639644,-411.2075687431134
13.6,0,Q2_emp,-741.2687621547814,-437.19007163393036
13.5,1,Q2_emp,-709.3312330235741,-405.2525425027232
13.5,0.9,Q2_emp,-648.7902860812984,-344.7115955604475
13.5,0.8,Q2_emp,-597.3825035285948,-293.30381300774394
