workerid	language	enjoyment	gender	age	comments	asses	education
0	English	2	Male	34		Yes	4
1	english	2	Female	24		Yes	2
2	English	2	Male	30		Yes	2
3	english	2	Male	55		Yes	2
4	English	2	Male	25		Yes	1
5		1	Female	23		Yes	2
6	English	2	Male	21	^w^	Yes	2
7	English	2	Male	23		Yes	3
8	English	2	Female	49	none thank you	Yes	2
9	English	2	Male	31	no	Yes	3
10	English	2	Male	25	Required some thought and was well designed. Kind of curious what the experiment was about now!	Yes	2
11	English	2	Female	22		Yes	3
12	English	2	Female	22	This was fun!	Yes	2
13	English	2	Male	23	Interesting HIT! I&quotecharm curious as to what the purpose of the study is for. I believe I did it correctly, though the instructions could be tidied up a bit, I think. 	Yes	2
14	English	2	Female	61	thank you for the survey	Yes	2
15	English	2	Female	53	This was fun. Wish it had lasted longer!	Yes	4
16	english	1	Female	55		Yes	1
17	english	1	Female	35	I was very oonfused	Confused	3
18	English	2	Male	34	no comments	Yes	3
19	English	2	Male	35		Yes	3
20	English	1	Male	52	no comments	Yes	2
21	English	1	Female	26	It was a little confusing but I&quotechard be interested to see if I was right at all.	Yes	3
22	english	2	Male	23		Yes	3
23	English	2	Male	26		Yes	2
24	english	2	Male	28		Yes	1
